=== environment-table14.xlsx ===
Cell A1 | value='June 2008 Agricultural and Horticultural Survey - England' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell AX24 | value='469728.143' | fill=52 | rows=[23] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY24 | value='600886.114' | fill=52 | rows=[23] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ24 | value='27.9221019550451' | fill=52 | rows=[23] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA24 | value='768.94' | fill=52 | rows=[23] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB24 | value='756.546' | fill=52 | rows=[23] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC24 | value='-1.61182927146461' | fill=52 | rows=[23] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD24 | value='403.449' | fill=52 | rows=[23] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE24 | value='380.609' | fill=52 | rows=[23] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF24 | value='-5.66118642009276' | fill=52 | rows=[23] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG24 | value='537.415' | fill=52 | rows=[23] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH24 | value='325.847' | fill=52 | rows=[23] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI24 | value='-39.3677139640687' | fill=52 | rows=[23] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ24 | value='1650.289' | fill=52 | rows=[23] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK24 | value='1641.01' | fill=52 | rows=[23] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL24 | value='-0.562265154769861' | fill=52 | rows=[23] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM24 | value='473088.227' | fill=52 | rows=[23] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN24 | value='603990.122' | fill=52 | rows=[23] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO24 | value='27.6696581164342' | fill=52 | rows=[23] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell A25 | value='BLACKBURN WITH DARWEN' | fill=00000000 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='6969.5307' | fill=46 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='7180.7718' | fill=46 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='3.03092287117697' | fill=46 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='866.1738' | fill=46 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='739.3578' | fill=46 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='-14.6409415754667' | fill=46 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='7835.7045' | fill=46 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='7920.1296' | fill=46 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='1.07744109033209' | fill=46 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='430.3564' | fill=46 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='428.5615' | fill=46 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='-0.417072919096819' | fill=46 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='696.2783' | fill=46 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='941.3843' | fill=46 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='35.2023034467684' | fill=46 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='8962.3392' | fill=46 | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='9290.0754' | fill=46 | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='3.6568153992654' | fill=46 | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='7695.0931' | fill=46 | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U25 | value='7992.9111' | fill=46 | rows=[24] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V25 | value='3.87023257717311' | fill=46 | rows=[24] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W25 | value='16657.4323' | fill=46 | rows=[24] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X25 | value='17282.9863' | fill=46 | rows=[24] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y25 | value='3.75540472705388' | fill=46 | rows=[24] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z25 | value='10675.258' | fill=52 | rows=[24] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA25 | value='11121.124' | fill=52 | rows=[24] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB25 | value='4.17662973578718' | fill=52 | rows=[24] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC25 | value='1463.687' | fill=52 | rows=[24] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD25 | value='1798.063' | fill=52 | rows=[24] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE25 | value='22.8447748733165' | fill=52 | rows=[24] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF25 | value='12138.945' | fill=52 | rows=[24] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG25 | value='12919.187' | fill=52 | rows=[24] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH25 | value='6.42759317222378' | fill=52 | rows=[24] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI25 | value='36.43' | fill=52 | rows=[24] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ25 | value='#' | fill=52 | rows=[24] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK25 | value='-' | fill=52 | rows=[24] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL25 | value='0' | fill=52 | rows=[24] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM25 | value='0' | fill=52 | rows=[24] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN25 | value='-' | fill=52 | rows=[24] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO25 | value='27.166' | fill=52 | rows=[24] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP25 | value='#' | fill=52 | rows=[24] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ25 | value='-' | fill=52 | rows=[24] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR25 | value='#' | fill=52 | rows=[24] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS25 | value='#' | fill=52 | rows=[24] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT25 | value='-' | fill=52 | rows=[24] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU25 | value='#' | fill=52 | rows=[24] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV25 | value='#' | fill=52 | rows=[24] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW25 | value='-' | fill=52 | rows=[24] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX25 | value='147054.809' | fill=52 | rows=[24] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY25 | value='145054.215' | fill=52 | rows=[24] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ25 | value='-1.36044105840837' | fill=52 | rows=[24] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA25 | value='218.77' | fill=52 | rows=[24] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB25 | value='227.216' | fill=52 | rows=[24] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC25 | value='3.86067559537414' | fill=52 | rows=[24] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD25 | value='105.237' | fill=52 | rows=[24] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE25 | value='107.047' | fill=52 | rows=[24] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF25 | value='1.71992740195939' | fill=52 | rows=[24] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG25 | value='2568.991' | fill=52 | rows=[24] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH25 | value='4009.397' | fill=52 | rows=[24] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI25 | value='56.0689391282414' | fill=52 | rows=[24] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ25 | value='87.433' | fill=52 | rows=[24] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK25 | value='45.312' | fill=52 | rows=[24] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL25 | value='-48.1751741333364' | fill=52 | rows=[24] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM25 | value='150035.245' | fill=52 | rows=[24] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN25 | value='149443.187' | fill=52 | rows=[24] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO25 | value='-0.394612612523138' | fill=52 | rows=[24] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell A26 | value='BLACKPOOL' | fill=00000000 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='0' | fill=46 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='0' | fill=46 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='-' | fill=46 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='0' | fill=46 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='0' | fill=46 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='-' | fill=46 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='0' | fill=46 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='0' | fill=46 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='-' | fill=46 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='0' | fill=46 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='0' | fill=46 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='-' | fill=46 | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='#' | fill=46 | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='#' | fill=46 | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='-' | fill=46 | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='#' | fill=46 | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='#' | fill=46 | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='-' | fill=46 | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='0' | fill=46 | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U26 | value='0' | fill=46 | rows=[25] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V26 | value='-' | fill=46 | rows=[25] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W26 | value='#' | fill=46 | rows=[25] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X26 | value='#' | fill=46 | rows=[25] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y26 | value='-' | fill=46 | rows=[25] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z26 | value='#' | fill=52 | rows=[25] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA26 | value='0' | fill=52 | rows=[25] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB26 | value='-' | fill=52 | rows=[25] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC26 | value='#' | fill=52 | rows=[25] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD26 | value='171.443' | fill=52 | rows=[25] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE26 | value='-' | fill=52 | rows=[25] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF26 | value='80.656' | fill=52 | rows=[25] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG26 | value='171.443' | fill=52 | rows=[25] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH26 | value='112.560751834953' | fill=52 | rows=[25] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI26 | value='#' | fill=52 | rows=[25] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ26 | value='0' | fill=52 | rows=[25] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK26 | value='-' | fill=52 | rows=[25] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL26 | value='0' | fill=52 | rows=[25] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM26 | value='0' | fill=52 | rows=[25] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN26 | value='-' | fill=52 | rows=[25] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO26 | value='#' | fill=52 | rows=[25] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP26 | value='#' | fill=52 | rows=[25] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ26 | value='-' | fill=52 | rows=[25] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR26 | value='#' | fill=52 | rows=[25] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS26 | value='#' | fill=52 | rows=[25] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT26 | value='-' | fill=52 | rows=[25] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU26 | value='0' | fill=52 | rows=[25] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV26 | value='0' | fill=52 | rows=[25] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW26 | value='-' | fill=52 | rows=[25] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX26 | value='#' | fill=52 | rows=[25] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY26 | value='#' | fill=52 | rows=[25] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ26 | value='-' | fill=52 | rows=[25] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA26 | value='#' | fill=52 | rows=[25] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB26 | value='29.323' | fill=52 | rows=[25] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC26 | value='-' | fill=52 | rows=[25] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD26 | value='#' | fill=52 | rows=[25] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE26 | value='#' | fill=52 | rows=[25] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF26 | value='-' | fill=52 | rows=[25] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG26 | value='#' | fill=52 | rows=[25] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH26 | value='#' | fill=52 | rows=[25] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI26 | value='-' | fill=52 | rows=[25] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ26 | value='#' | fill=52 | rows=[25] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK26 | value='#' | fill=52 | rows=[25] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL26 | value='-' | fill=52 | rows=[25] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM26 | value='#' | fill=52 | rows=[25] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN26 | value='#' | fill=52 | rows=[25] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO26 | value='-' | fill=52 | rows=[25] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell A27 | value='LANCASHIRE CC' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='269812.0745' | fill=46 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='272758.9061' | fill=46 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='1.09217929014516' | fill=46 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='32219.1294' | fill=46 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='32714.5373' | fill=46 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='1.53762038027011' | fill=46 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='302031.2039' | fill=46 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='305473.4434' | fill=46 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='1.13969664576103' | fill=46 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='7599.7844' | fill=46 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='7592.6894' | fill=46 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='-0.0933579115744303' | fill=46 | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='12913.4709' | fill=46 | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='11442.7048' | fill=46 | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='-11.3893941558346' | fill=46 | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='322544.4592' | fill=46 | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R27 | value='324508.8376' | fill=46 | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='0.609025622350559' | fill=46 | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T27 | value='363238.8447' | fill=46 | rows=[26] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U27 | value='362122.6106' | fill=46 | rows=[26] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V27 | value='-0.307300311155296' | fill=46 | rows=[26] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W27 | value='685783.3039' | fill=46 | rows=[26] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X27 | value='686631.4457' | fill=46 | rows=[26] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y27 | value='0.123674897766782' | fill=46 | rows=[26] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z27 | value='239013.088' | fill=52 | rows=[26] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA27 | value='202963.498' | fill=52 | rows=[26] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB27 | value='-15.0826845097286' | fill=52 | rows=[26] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC27 | value='786273.378' | fill=52 | rows=[26] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD27 | value='750015.652' | fill=52 | rows=[26] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE27 | value='-4.6113383734582' | fill=52 | rows=[26] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF27 | value='1025286.466' | fill=52 | rows=[26] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG27 | value='952979.15' | fill=52 | rows=[26] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH27 | value='-7.05240129444955' | fill=52 | rows=[26] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI27 | value='40490.637' | fill=52 | rows=[26] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ27 | value='43951.587' | fill=52 | rows=[26] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK27 | value='8.54753161823559' | fill=52 | rows=[26] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL27 | value='24511.86' | fill=52 | rows=[26] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM27 | value='151724.948' | fill=52 | rows=[26] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN27 | value='518.985862353979' | fill=52 | rows=[26] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO27 | value='3138.23' | fill=52 | rows=[26] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP27 | value='3471.803' | fill=52 | rows=[26] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ27 | value='10.629335644615' | fill=52 | rows=[26] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR27 | value='68140.727' | fill=52 | rows=[26] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS27 | value='199148.338' | fill=52 | rows=[26] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT27 | value='192.260365816173' | fill=52 | rows=[26] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU27 | value='1444767.754' | fill=52 | rows=[26] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV27 | value='1383301.404' | fill=52 | rows=[26] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW27 | value='-4.25441042893042' | fill=52 | rows=[26] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX27 | value='2538194.947' | fill=52 | rows=[26] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY27 | value='2535428.892' | fill=52 | rows=[26] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ27 | value='-0.108977247916654' | fill=52 | rows=[26] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA27 | value='25420.065' | fill=52 | rows=[26] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB27 | value='38782.327' | fill=52 | rows=[26] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC27 | value='52.565805791606' | fill=52 | rows=[26] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD27 | value='5213.965' | fill=52 | rows=[26] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE27 | value='5831.277' | fill=52 | rows=[26] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF27 | value='11.8395884897578' | fill=52 | rows=[26] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell BG27 | value='11820.774' | fill=52 | rows=[26] | cols=[58] | col_header=False | row_header=False | metadata=False
Cell BH27 | value='19732.973' | fill=52 | rows=[26] | cols=[59] | col_header=False | row_header=False | metadata=False
Cell BI27 | value='66.934694800865' | fill=52 | rows=[26] | cols=[60] | col_header=False | row_header=False | metadata=False
Cell BJ27 | value='237249.111' | fill=52 | rows=[26] | cols=[61] | col_header=False | row_header=False | metadata=False
Cell BK27 | value='267875.526' | fill=52 | rows=[26] | cols=[62] | col_header=False | row_header=False | metadata=False
Cell BL27 | value='12.9089693406691' | fill=52 | rows=[26] | cols=[63] | col_header=False | row_header=False | metadata=False
Cell BM27 | value='2817898.853' | fill=52 | rows=[26] | cols=[64] | col_header=False | row_header=False | metadata=False
Cell BN27 | value='2867650.989' | fill=52 | rows=[26] | cols=[65] | col_header=False | row_header=False | metadata=False
Cell BO27 | value='1.76557565034787' | fill=52 | rows=[26] | cols=[66] | col_header=False | row_header=False | metadata=False
Cell A28 | value='EAST MERSEYSIDE' | fill=00000000 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='2478.3252' | fill=46 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='2463.2383' | fill=46 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='-0.608753847154532' | fill=46 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='364.7808' | fill=46 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='342.3394' | fill=46 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='-6.15202335210625' | fill=46 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='2843.106' | fill=46 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='2805.5777' | fill=46 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='-1.31997540717794' | fill=46 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='54.4488' | fill=46 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='52.4246' | fill=46 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='-3.71762095767033' | fill=46 | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='107.7524' | fill=46 | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='83.2967' | fill=46 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='-22.6961998062224' | fill=46 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='3005.3072' | fill=46 | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='2941.299' | fill=46 | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='-2.12983883976986' | fill=46 | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='4124.8613' | fill=46 | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U28 | value='4128.2798' | fill=46 | rows=[27] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V28 | value='0.0828755138991141' | fill=46 | rows=[27] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W28 | value='7130.1685' | fill=46 | rows=[27] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X28 | value='7069.5784' | fill=46 | rows=[27] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y28 | value='-0.849770941598357' | fill=46 | rows=[27] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z28 | value='2160.153' | fill=52 | rows=[27] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA28 | value='2129.448' | fill=52 | rows=[27] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB28 | value='-1.42142709335866' | fill=52 | rows=[27] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC28 | value='665.061' | fill=52 | rows=[27] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD28 | value='970.111' | fill=52 | rows=[27] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE28 | value='45.8679730130018' | fill=52 | rows=[27] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF28 | value='2825.214' | fill=52 | rows=[27] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG28 | value='3099.559' | fill=52 | rows=[27] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH28 | value='9.71059183481323' | fill=52 | rows=[27] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI28 | value='#' | fill=52 | rows=[27] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ28 | value='#' | fill=52 | rows=[27] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK28 | value='-' | fill=52 | rows=[27] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL28 | value='#' | fill=52 | rows=[27] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM28 | value='#' | fill=52 | rows=[27] | cols=[38] | col_header=False | row_header=False | metadata=False
