=== economy-table101.xlsx ===
Cell A1 | value='Table 3a: Bankruptcies by petition type, England and Wales, seasonally adjusted, 1 January 2013 to 30 June 2023 [p][note 1]' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell H46 | value='[r]' | fill=00000000 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A47 | value='2020' | fill=00000000 | rows=[46] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B47 | value='Q3' | fill=00000000 | rows=[46] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C47 | value='2900' | fill=00000000 | rows=[46] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E47 | value='280' | fill=00000000 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F47 | value='[r]' | fill=00000000 | rows=[46] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G47 | value='2586' | fill=00000000 | rows=[46] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H47 | value='[r]' | fill=00000000 | rows=[46] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A48 | value='2020' | fill=00000000 | rows=[47] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B48 | value='Q4' | fill=00000000 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C48 | value='3083' | fill=00000000 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D48 | value='[r]' | fill=00000000 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E48 | value='309' | fill=00000000 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F48 | value='[r]' | fill=00000000 | rows=[47] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G48 | value='2711' | fill=00000000 | rows=[47] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A49 | value='2021' | fill=00000000 | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B49 | value='Q1' | fill=00000000 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='2589' | fill=00000000 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='[r]' | fill=00000000 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='296' | fill=00000000 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F49 | value='[r]' | fill=00000000 | rows=[48] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G49 | value='2321' | fill=00000000 | rows=[48] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H49 | value='[r]' | fill=00000000 | rows=[48] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A50 | value='2021' | fill=00000000 | rows=[49] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B50 | value='Q2' | fill=00000000 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='2314' | fill=00000000 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D50 | value='[r]' | fill=00000000 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='280' | fill=00000000 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F50 | value='[r]' | fill=00000000 | rows=[49] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G50 | value='2073' | fill=00000000 | rows=[49] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A51 | value='2021' | fill=00000000 | rows=[50] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B51 | value='Q3' | fill=00000000 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='1963' | fill=00000000 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E51 | value='259' | fill=00000000 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F51 | value='[r]' | fill=00000000 | rows=[50] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G51 | value='1681' | fill=00000000 | rows=[50] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H51 | value='[r]' | fill=00000000 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A52 | value='2021' | fill=00000000 | rows=[51] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B52 | value='Q4' | fill=00000000 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C52 | value='1856' | fill=00000000 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D52 | value='[r]' | fill=00000000 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E52 | value='278' | fill=00000000 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F52 | value='[r]' | fill=00000000 | rows=[51] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G52 | value='1535' | fill=00000000 | rows=[51] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A53 | value='2022' | fill=00000000 | rows=[52] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B53 | value='Q1' | fill=00000000 | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C53 | value='1675' | fill=00000000 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D53 | value='[r]' | fill=00000000 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E53 | value='268' | fill=00000000 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F53 | value='[r]' | fill=00000000 | rows=[52] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G53 | value='1438' | fill=00000000 | rows=[52] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A54 | value='2022' | fill=00000000 | rows=[53] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B54 | value='Q2' | fill=00000000 | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C54 | value='1651' | fill=00000000 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D54 | value='[r]' | fill=00000000 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E54 | value='288' | fill=00000000 | rows=[53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F54 | value='[r]' | fill=00000000 | rows=[53] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G54 | value='1384' | fill=00000000 | rows=[53] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H54 | value='[r]' | fill=00000000 | rows=[53] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A55 | value='2022' | fill=00000000 | rows=[54] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B55 | value='Q3' | fill=00000000 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='1731' | fill=00000000 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='[r]' | fill=00000000 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='298' | fill=00000000 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G55 | value='1417' | fill=00000000 | rows=[54] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H55 | value='[r]' | fill=00000000 | rows=[54] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A56 | value='2022' | fill=00000000 | rows=[55] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B56 | value='Q4' | fill=00000000 | rows=[55] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C56 | value='1622' | fill=00000000 | rows=[55] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D56 | value='[r]' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='285' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F56 | value='[r]' | fill=00000000 | rows=[55] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G56 | value='1301' | fill=00000000 | rows=[55] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A57 | value='2023' | fill=00000000 | rows=[56] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B57 | value='Q1' | fill=00000000 | rows=[56] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C57 | value='1759' | fill=00000000 | rows=[56] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D57 | value='[r]' | fill=00000000 | rows=[56] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E57 | value='342' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F57 | value='[r]' | fill=00000000 | rows=[56] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G57 | value='1450' | fill=00000000 | rows=[56] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H57 | value='[r]' | fill=00000000 | rows=[56] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A58 | value='2023' | fill=00000000 | rows=[57] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B58 | value='Q2' | fill=00000000 | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C58 | value='1826' | fill=00000000 | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E58 | value='375' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G58 | value='1471' | fill=00000000 | rows=[57] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A59 | value='Percentage change, latest quarter (2023 Q2) compared with:' | fill=FFFFFF00 | rows=[58] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell A60 | value='2023' | fill=00000000 | rows=[59] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B60 | value='Q1' | fill=00000000 | rows=[59] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C60 | value='0.0380898237635019' | fill=00000000 | rows=[59] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E60 | value='0.0964912280701755' | fill=00000000 | rows=[59] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G60 | value='0.0144827586206897' | fill=00000000 | rows=[59] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell A61 | value='2022' | fill=00000000 | rows=[60] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B61 | value='Q2' | fill=00000000 | rows=[60] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C61 | value='0.105996365838886' | fill=00000000 | rows=[60] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E61 | value='0.302083333333333' | fill=00000000 | rows=[60] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G61 | value='0.0628612716763006' | fill=00000000 | rows=[60] | cols=[6] | col_header=False | row_header=False | metadata=False

