=== economy-table30.xlsx ===
Cell A1 | value='Column1' | fill=FFFFFF00 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell B122 | value='17482032.61' | fill=00000000 | rows=[121] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E122 | value='17482032.61' | fill=00000000 | rows=[121] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A123 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[122] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B123 | value='32779.595' | fill=00000000 | rows=[122] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E123 | value='32779.595' | fill=00000000 | rows=[122] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A124 | value='Die Cut' | fill=FFAAAAAA | rows=[123] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B124 | value='17449253.015' | fill=00000000 | rows=[123] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E124 | value='17449253.015' | fill=00000000 | rows=[123] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A125 | value='Lotus Footwear Enterprises Limited (India Branch) - Unit 2' | fill=FFAAAAAA | rows=[124] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B125 | value='670306.27' | fill=00000000 | rows=[124] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E125 | value='670306.27' | fill=00000000 | rows=[124] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A126 | value='India' | fill=FFAAAAAA | rows=[125] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B126 | value='670306.27' | fill=00000000 | rows=[125] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E126 | value='670306.27' | fill=00000000 | rows=[125] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A127 | value='Die Cut' | fill=FFAAAAAA | rows=[126] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B127 | value='670306.27' | fill=00000000 | rows=[126] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E127 | value='670306.27' | fill=00000000 | rows=[126] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A128 | value='Maxking (India) Footwear Private Limited' | fill=FFAAAAAA | rows=[127] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B128 | value='2821391.93' | fill=00000000 | rows=[127] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E128 | value='2821391.93' | fill=00000000 | rows=[127] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A129 | value='India' | fill=FFAAAAAA | rows=[128] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B129 | value='2821391.93' | fill=00000000 | rows=[128] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E129 | value='2821391.93' | fill=00000000 | rows=[128] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A130 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[129] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B130 | value='1774810.87' | fill=00000000 | rows=[129] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E130 | value='1774810.87' | fill=00000000 | rows=[129] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A131 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[130] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B131 | value='1046581.06' | fill=00000000 | rows=[130] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E131 | value='1046581.06' | fill=00000000 | rows=[130] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A132 | value='Mochiko Shoes Private Limited1' | fill=FFAAAAAA | rows=[131] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B132 | value='10230972.9' | fill=00000000 | rows=[131] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E132 | value='10230972.9' | fill=00000000 | rows=[131] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A133 | value='India' | fill=FFAAAAAA | rows=[132] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B133 | value='10230972.9' | fill=00000000 | rows=[132] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E133 | value='10230972.9' | fill=00000000 | rows=[132] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A134 | value='DIECUT' | fill=FFAAAAAA | rows=[133] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B134 | value='5972640.7' | fill=00000000 | rows=[133] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E134 | value='5972640.7' | fill=00000000 | rows=[133] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A135 | value='Die Cut' | fill=FFAAAAAA | rows=[134] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B135 | value='3080700' | fill=00000000 | rows=[134] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E135 | value='3080700' | fill=00000000 | rows=[134] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A136 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[135] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B136 | value='1177632.2' | fill=00000000 | rows=[135] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E136 | value='1177632.2' | fill=00000000 | rows=[135] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A137 | value='Mosons Enterprises' | fill=FFAAAAAA | rows=[136] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B137 | value='27200' | fill=00000000 | rows=[136] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E137 | value='27200' | fill=00000000 | rows=[136] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A138 | value='India' | fill=FFAAAAAA | rows=[137] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B138 | value='27200' | fill=00000000 | rows=[137] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E138 | value='27200' | fill=00000000 | rows=[137] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A139 | value='Die Cut' | fill=FFAAAAAA | rows=[138] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B139 | value='27200' | fill=00000000 | rows=[138] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E139 | value='27200' | fill=00000000 | rows=[138] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A140 | value='N M Zackriah LLP' | fill=FFAAAAAA | rows=[139] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B140 | value='415903.62' | fill=00000000 | rows=[139] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E140 | value='415903.62' | fill=00000000 | rows=[139] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A141 | value='India' | fill=FFAAAAAA | rows=[140] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B141 | value='415903.62' | fill=00000000 | rows=[140] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E141 | value='415903.62' | fill=00000000 | rows=[140] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A142 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[141] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B142 | value='415903.62' | fill=00000000 | rows=[141] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E142 | value='415903.62' | fill=00000000 | rows=[141] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A143 | value='Naagu International' | fill=FFAAAAAA | rows=[142] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B143 | value='53490' | fill=00000000 | rows=[142] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E143 | value='53490' | fill=00000000 | rows=[142] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A144 | value='India' | fill=FFAAAAAA | rows=[143] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B144 | value='53490' | fill=00000000 | rows=[143] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E144 | value='53490' | fill=00000000 | rows=[143] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A145 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[144] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B145 | value='53490' | fill=00000000 | rows=[144] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E145 | value='53490' | fill=00000000 | rows=[144] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A146 | value='Nuova Shoes' | fill=FFAAAAAA | rows=[145] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B146 | value='86952.11' | fill=00000000 | rows=[145] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E146 | value='86952.11' | fill=00000000 | rows=[145] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A147 | value='India' | fill=FFAAAAAA | rows=[146] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B147 | value='86952.11' | fill=00000000 | rows=[146] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E147 | value='86952.11' | fill=00000000 | rows=[146] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A148 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[147] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B148 | value='86952.11' | fill=00000000 | rows=[147] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E148 | value='86952.11' | fill=00000000 | rows=[147] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A149 | value='Olive Shoes Private Limited' | fill=FFAAAAAA | rows=[148] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B149 | value='1159338' | fill=00000000 | rows=[148] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E149 | value='1159338' | fill=00000000 | rows=[148] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A150 | value='India' | fill=FFAAAAAA | rows=[149] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B150 | value='1159338' | fill=00000000 | rows=[149] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E150 | value='1159338' | fill=00000000 | rows=[149] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A151 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[150] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B151 | value='1159338' | fill=00000000 | rows=[150] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E151 | value='1159338' | fill=00000000 | rows=[150] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A152 | value='P A Footwear Private Limited' | fill=FFAAAAAA | rows=[151] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B152 | value='3674688.55' | fill=00000000 | rows=[151] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E152 | value='3674688.55' | fill=00000000 | rows=[151] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A153 | value='India' | fill=FFAAAAAA | rows=[152] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B153 | value='3674688.55' | fill=00000000 | rows=[152] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E153 | value='3674688.55' | fill=00000000 | rows=[152] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A154 | value='DIECUT' | fill=FFAAAAAA | rows=[153] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B154 | value='1336010' | fill=00000000 | rows=[153] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E154 | value='1336010' | fill=00000000 | rows=[153] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A155 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[154] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B155 | value='2338678.55' | fill=00000000 | rows=[154] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E155 | value='2338678.55' | fill=00000000 | rows=[154] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A156 | value='Pakkar Leather Exports Private Limited' | fill=FFAAAAAA | rows=[155] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B156 | value='17475.15' | fill=00000000 | rows=[155] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E156 | value='17475.15' | fill=00000000 | rows=[155] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A157 | value='India' | fill=FFAAAAAA | rows=[156] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B157 | value='17475.15' | fill=00000000 | rows=[156] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E157 | value='17475.15' | fill=00000000 | rows=[156] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A158 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[157] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B158 | value='17475.15' | fill=00000000 | rows=[157] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E158 | value='17475.15' | fill=00000000 | rows=[157] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A159 | value='R S V World Wide (Rb International)' | fill=FFAAAAAA | rows=[158] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B159 | value='377840' | fill=00000000 | rows=[158] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E159 | value='377840' | fill=00000000 | rows=[158] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A160 | value='India' | fill=FFAAAAAA | rows=[159] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B160 | value='377840' | fill=00000000 | rows=[159] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E160 | value='377840' | fill=00000000 | rows=[159] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A161 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[160] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B161 | value='377840' | fill=00000000 | rows=[160] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E161 | value='377840' | fill=00000000 | rows=[160] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A162 | value='Raadhika Shoecrafts Private Limited' | fill=FFAAAAAA | rows=[161] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B162 | value='115834.6' | fill=00000000 | rows=[161] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E162 | value='115834.6' | fill=00000000 | rows=[161] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A163 | value='India' | fill=FFAAAAAA | rows=[162] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B163 | value='115834.6' | fill=00000000 | rows=[162] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E163 | value='115834.6' | fill=00000000 | rows=[162] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A164 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[163] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B164 | value='115834.6' | fill=00000000 | rows=[163] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E164 | value='115834.6' | fill=00000000 | rows=[163] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A165 | value='Raj Overseas' | fill=FFAAAAAA | rows=[164] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B165 | value='19320' | fill=00000000 | rows=[164] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E165 | value='19320' | fill=00000000 | rows=[164] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A166 | value='India' | fill=FFAAAAAA | rows=[165] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B166 | value='19320' | fill=00000000 | rows=[165] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E166 | value='19320' | fill=00000000 | rows=[165] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A167 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[166] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B167 | value='19320' | fill=00000000 | rows=[166] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E167 | value='19320' | fill=00000000 | rows=[166] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A168 | value='Sara Suole Private Limited' | fill=FFAAAAAA | rows=[167] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B168 | value='1364006.64' | fill=00000000 | rows=[167] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E168 | value='1364006.64' | fill=00000000 | rows=[167] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A169 | value='India' | fill=FFAAAAAA | rows=[168] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B169 | value='1364006.64' | fill=00000000 | rows=[168] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E169 | value='1364006.64' | fill=00000000 | rows=[168] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A170 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[169] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B170 | value='1364006.64' | fill=00000000 | rows=[169] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E170 | value='1364006.64' | fill=00000000 | rows=[169] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A171 | value='Shalimar Tanning Company' | fill=FFAAAAAA | rows=[170] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B171 | value='317130' | fill=00000000 | rows=[170] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E171 | value='317130' | fill=00000000 | rows=[170] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A172 | value='India' | fill=FFAAAAAA | rows=[171] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B172 | value='317130' | fill=00000000 | rows=[171] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E172 | value='317130' | fill=00000000 | rows=[171] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A173 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[172] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B173 | value='317130' | fill=00000000 | rows=[172] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E173 | value='317130' | fill=00000000 | rows=[172] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A174 | value='Shoe Line' | fill=FFAAAAAA | rows=[173] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B174 | value='5005' | fill=00000000 | rows=[173] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E174 | value='5005' | fill=00000000 | rows=[173] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A175 | value='India' | fill=FFAAAAAA | rows=[174] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B175 | value='5005' | fill=00000000 | rows=[174] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E175 | value='5005' | fill=00000000 | rows=[174] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A176 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[175] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B176 | value='5005' | fill=00000000 | rows=[175] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E176 | value='5005' | fill=00000000 | rows=[175] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A177 | value='Shoe Variants Private Limited' | fill=FFAAAAAA | rows=[176] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B177 | value='139863' | fill=00000000 | rows=[176] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E177 | value='139863' | fill=00000000 | rows=[176] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A178 | value='India' | fill=FFAAAAAA | rows=[177] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B178 | value='139863' | fill=00000000 | rows=[177] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E178 | value='139863' | fill=00000000 | rows=[177] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A179 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[178] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B179 | value='139863' | fill=00000000 | rows=[178] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E179 | value='139863' | fill=00000000 | rows=[178] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A180 | value='Sky Walk Shoe Industries' | fill=FFAAAAAA | rows=[179] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B180 | value='82432' | fill=00000000 | rows=[179] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E180 | value='82432' | fill=00000000 | rows=[179] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A181 | value='India' | fill=FFAAAAAA | rows=[180] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B181 | value='82432' | fill=00000000 | rows=[180] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E181 | value='82432' | fill=00000000 | rows=[180] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A182 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[181] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B182 | value='82432' | fill=00000000 | rows=[181] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E182 | value='82432' | fill=00000000 | rows=[181] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A183 | value='Sri Jati Shoes Pvt Ltd' | fill=FFAAAAAA | rows=[182] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B183 | value='402614.8' | fill=00000000 | rows=[182] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E183 | value='402614.8' | fill=00000000 | rows=[182] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A184 | value='India' | fill=FFAAAAAA | rows=[183] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B184 | value='402614.8' | fill=00000000 | rows=[183] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E184 | value='402614.8' | fill=00000000 | rows=[183] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A185 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[184] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B185 | value='22554' | fill=00000000 | rows=[184] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E185 | value='22554' | fill=00000000 | rows=[184] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A186 | value='Die Cut' | fill=FFAAAAAA | rows=[185] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B186 | value='46468.8' | fill=00000000 | rows=[185] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E186 | value='46468.8' | fill=00000000 | rows=[185] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A187 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[186] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B187 | value='333592' | fill=00000000 | rows=[186] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E187 | value='333592' | fill=00000000 | rows=[186] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A188 | value='Staby Footwear' | fill=FFAAAAAA | rows=[187] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B188 | value='128840' | fill=00000000 | rows=[187] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E188 | value='128840' | fill=00000000 | rows=[187] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A189 | value='India' | fill=FFAAAAAA | rows=[188] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B189 | value='128840' | fill=00000000 | rows=[188] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E189 | value='128840' | fill=00000000 | rows=[188] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A190 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[189] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B190 | value='64440' | fill=00000000 | rows=[189] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E190 | value='64440' | fill=00000000 | rows=[189] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A191 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[190] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B191 | value='64400' | fill=00000000 | rows=[190] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E191 | value='64400' | fill=00000000 | rows=[190] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A192 | value='Tata International Limited' | fill=FFAAAAAA | rows=[191] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B192 | value='9016' | fill=00000000 | rows=[191] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E192 | value='9016' | fill=00000000 | rows=[191] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A193 | value='India' | fill=FFAAAAAA | rows=[192] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B193 | value='9016' | fill=00000000 | rows=[192] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E193 | value='9016' | fill=00000000 | rows=[192] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A194 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[193] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B194 | value='9016' | fill=00000000 | rows=[193] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E194 | value='9016' | fill=00000000 | rows=[193] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A195 | value='Tej Shoe Tech' | fill=FFAAAAAA | rows=[194] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B195 | value='1102200' | fill=00000000 | rows=[194] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E195 | value='1102200' | fill=00000000 | rows=[194] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A196 | value='India' | fill=FFAAAAAA | rows=[195] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B196 | value='1102200' | fill=00000000 | rows=[195] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E196 | value='1102200' | fill=00000000 | rows=[195] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A197 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[196] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B197 | value='1102200' | fill=00000000 | rows=[196] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E197 | value='1102200' | fill=00000000 | rows=[196] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A198 | value='Ticomp Heels Private Limited' | fill=FFAAAAAA | rows=[197] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B198 | value='73566' | fill=00000000 | rows=[197] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E198 | value='73566' | fill=00000000 | rows=[197] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A199 | value='India' | fill=FFAAAAAA | rows=[198] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B199 | value='73566' | fill=00000000 | rows=[198] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E199 | value='73566' | fill=00000000 | rows=[198] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A200 | value='Uncovered Flat Sheet' | fill=FFAAAAAA | rows=[199] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B200 | value='73566' | fill=00000000 | rows=[199] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E200 | value='73566' | fill=00000000 | rows=[199] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A201 | value='Vrd Exports' | fill=FFAAAAAA | rows=[200] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B201 | value='112558' | fill=00000000 | rows=[200] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E201 | value='112558' | fill=00000000 | rows=[200] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A202 | value='India' | fill=FFAAAAAA | rows=[201] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B202 | value='112558' | fill=00000000 | rows=[201] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E202 | value='112558' | fill=00000000 | rows=[201] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell A203 | value='Covered Flat Sheet' | fill=FFAAAAAA | rows=[202] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B203 | value='92594' | fill=00000000 | rows=[202] | cols=[1] | col_header=False | row_header=False | metadata=False
