=== economy-table117.xlsx ===
Cell B1 | value='2007-08' | fill=31 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell H35 | value='2834' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='2735' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A36 | value='Total capital departmental AME' | fill=FF00B0F0 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B36 | value='6005' | fill=FF00B0F0 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C36 | value='90866' | fill=FF00B0F0 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D36 | value='47694' | fill=FF00B0F0 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E36 | value='3802' | fill=FF00B0F0 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F36 | value='3488' | fill=FF00B0F0 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G36 | value='10198' | fill=FF00B0F0 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H36 | value='12100' | fill=FF00B0F0 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I36 | value='13888' | fill=FF00B0F0 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A37 | value='Capital other AME' | fill=00000000 | rows=[36] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell A38 | value='Locally financed expenditure' | fill=00000000 | rows=[37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B38 | value='2120' | fill=00000000 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='7321' | fill=00000000 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='5241' | fill=00000000 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='5448' | fill=00000000 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='13641' | fill=00000000 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='5268' | fill=00000000 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='4921' | fill=00000000 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='4815' | fill=00000000 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A39 | value='Public corporations' own-financed capital expenditure' | fill=00000000 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='5439' | fill=00000000 | rows=[38] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='7294' | fill=00000000 | rows=[38] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='7983' | fill=00000000 | rows=[38] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='8137' | fill=00000000 | rows=[38] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='6115' | fill=00000000 | rows=[38] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='6244' | fill=00000000 | rows=[38] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='5734' | fill=00000000 | rows=[38] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='5339' | fill=00000000 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A40 | value='Accounting adjustments (4)' | fill=00000000 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='-11613' | fill=00000000 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='-88975' | fill=00000000 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='-50032' | fill=00000000 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='-8932' | fill=00000000 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='-16201' | fill=00000000 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='-46780' | fill=00000000 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='-17187' | fill=00000000 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='-18411' | fill=00000000 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A41 | value='Total capital other AME' | fill=FF00B0F0 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B41 | value='-4055' | fill=FF00B0F0 | rows=[40] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C41 | value='-74359' | fill=FF00B0F0 | rows=[40] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D41 | value='-36808' | fill=FF00B0F0 | rows=[40] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E41 | value='4653' | fill=FF00B0F0 | rows=[40] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F41 | value='3556' | fill=FF00B0F0 | rows=[40] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G41 | value='-35269' | fill=FF00B0F0 | rows=[40] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H41 | value='-6532' | fill=FF00B0F0 | rows=[40] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I41 | value='-8256' | fill=FF00B0F0 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A42 | value='Total capital AME' | fill=FF00B0F0 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B42 | value='1951' | fill=FF00B0F0 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C42 | value='16506' | fill=FF00B0F0 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D42 | value='10887' | fill=FF00B0F0 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E42 | value='8455' | fill=FF00B0F0 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F42 | value='7044' | fill=FF00B0F0 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G42 | value='-25071' | fill=FF00B0F0 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H42 | value='5568' | fill=FF00B0F0 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I42 | value='5632' | fill=FF00B0F0 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A43 | value='Public sector gross investment (5)' | fill=FF00B050 | rows=[42] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B43 | value='46772' | fill=31 | rows=[42] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='65017' | fill=31 | rows=[42] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='67846' | fill=31 | rows=[42] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='58270' | fill=31 | rows=[42] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='49200' | fill=31 | rows=[42] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='18600' | fill=31 | rows=[42] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='46400' | fill=31 | rows=[42] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='47000' | fill=31 | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A44 | value='less public sector depreciation (5)' | fill=FF00B050 | rows=[43] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B44 | value='17669' | fill=00000000 | rows=[43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C44 | value='18636' | fill=00000000 | rows=[43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D44 | value='19335' | fill=00000000 | rows=[43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E44 | value='20300' | fill=00000000 | rows=[43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F44 | value='21121' | fill=00000000 | rows=[43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G44 | value='22200' | fill=00000000 | rows=[43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H44 | value='23056' | fill=00000000 | rows=[43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I44 | value='23896' | fill=00000000 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A45 | value='Public sector net investment (5)' | fill=FF00B050 | rows=[44] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B45 | value='29103' | fill=31 | rows=[44] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='46381' | fill=31 | rows=[44] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='48511' | fill=31 | rows=[44] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='37970' | fill=31 | rows=[44] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='28079' | fill=31 | rows=[44] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='-3600' | fill=31 | rows=[44] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='23400' | fill=31 | rows=[44] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='23100' | fill=31 | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A46 | value='TOTAL MANAGED EXPENDITURE (5)' | fill=FF00B050 | rows=[45] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B46 | value='582937' | fill=31 | rows=[45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C46 | value='629745' | fill=31 | rows=[45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D46 | value='670150' | fill=31 | rows=[45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E46 | value='689634' | fill=31 | rows=[45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F46 | value='694888' | fill=31 | rows=[45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G46 | value='683400' | fill=31 | rows=[45] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H46 | value='720000' | fill=31 | rows=[45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I46 | value='733500' | fill=31 | rows=[45] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A47 | value='of which:' | fill=FF00B0F0 | rows=[46] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell A48 | value='Total DEL (6)' | fill=FF00B0F0 | rows=[47] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B48 | value='333142' | fill=FF00B0F0 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C48 | value='349396' | fill=FF00B0F0 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D48 | value='376288' | fill=FF00B0F0 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E48 | value='375061' | fill=FF00B0F0 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F48 | value='364015' | fill=FF00B0F0 | rows=[47] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G48 | value='371000' | fill=FF00B0F0 | rows=[47] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H48 | value='371100' | fill=FF00B0F0 | rows=[47] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I48 | value='368300' | fill=FF00B0F0 | rows=[47] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A49 | value='Departmental AME' | fill=FF00B0F0 | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B49 | value='224156' | fill=FF00B0F0 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C49 | value='361039' | fill=FF00B0F0 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D49 | value='264918' | fill=FF00B0F0 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E49 | value='170671' | fill=FF00B0F0 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F49 | value='254544' | fill=FF00B0F0 | rows=[48] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G49 | value='284721' | fill=FF00B0F0 | rows=[48] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H49 | value='274032' | fill=FF00B0F0 | rows=[48] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I49 | value='281090' | fill=FF00B0F0 | rows=[48] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A50 | value='Other AME' | fill=FF00B0F0 | rows=[49] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell B50 | value='25639' | fill=FF00B0F0 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell C50 | value='-80690' | fill=FF00B0F0 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=True
Cell D50 | value='28944' | fill=FF00B0F0 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=True
Cell E50 | value='143902' | fill=FF00B0F0 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=True
Cell F50 | value='76329' | fill=FF00B0F0 | rows=[49] | cols=[5] | col_header=False | row_header=False | metadata=True
Cell G50 | value='27665' | fill=FF00B0F0 | rows=[49] | cols=[6] | col_header=False | row_header=False | metadata=True
Cell H50 | value='74797' | fill=FF00B0F0 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=True
Cell I50 | value='83775' | fill=FF00B0F0 | rows=[49] | cols=[8] | col_header=False | row_header=False | metadata=True
Cell A51 | value='(1) As part of the Spending Review 2010 DEL was presented less depreciation. This is continued in this table to allow comparison' | fill=FF00B0F0 | rows=[50] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=False | row_header=False | metadata=True
Cell A52 | value='(2) Tax credits include working tax credits, stakeholder pension credits and Child Tax Credits. Child allowances paid as part of Income Support and Jobseekers' Allowance are shown within social security benefits. Tax credits include elements that are treated as negative tax in National Accounts, see Box 1.A.' | fill=FF00B0F0 | rows=[51] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=False | row_header=False | metadata=True
Cell A53 | value='(3) The main pension schemes are reported under FRS17 accounting requirements, the reconciliation to National Accounts is explained in Annex D. In the 2010 Budget Statement it was announced that the Government would use the CPI rather than the RPI for the indexation of public service pensions. This change has been recognised as a negative past service c ost in 2010-11 in accordance with IAS19.' | fill=FF00B0F0 | rows=[52] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=False | row_header=False | metadata=True
Cell A54 | value='(4) Transactions from 2008-09 onwards have been affected by financial sector interventions, see Box 2.A in Chapter 2.' | fill=FF00B0F0 | rows=[53] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=False | row_header=False | metadata=True
Cell A55 | value='(5) This excludes the temporary effects of banks being classified to the public sector. See Box 2.A in Chapter 2.' | fill=FF00B0F0 | rows=[54] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=False | row_header=False | metadata=True
Cell A56 | value='(6) Total DEL is given by resource DEL excluding depreciation plus capital DEL' | fill=FF00B0F0 | rows=[55] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8] | col_header=False | row_header=False | metadata=True

