=== economy-table81.xlsx ===
Cell F1 | value='Betfair Odds' | fill=FFFFFF00 | rows=[0] | cols=[5, 6, 7] | col_header=True | row_header=False | metadata=False
Cell E19 | value='Hannover' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='2.62' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='3.4' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='3' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='2' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='8' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='2.67' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='11.8320610687023' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='-16.9117647058824' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='4.11985018726592' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A20 | value='2015-08-15 00:00:00' | fill=00000000 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='2015-08-15 14:30:00' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='Bundesliga 1' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='W Bremen' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='Schalke' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='3.2' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='3.6' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='2.4' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='2.64' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='3.6' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='2.9' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='6.62878787878788' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='0' | fill=00000000 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='-7.18390804597701' | fill=00000000 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A21 | value='2015-08-15 00:00:00' | fill=00000000 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='2015-08-15 15:00:00' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='English Premier League' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='Sunderland' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='Norwich' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='2.6' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='3.35' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='3.1' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='2.29' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='4' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='3.2' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='5.2065838092039' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='-4.85074626865672' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='-1.00806451612903' | fill=00000000 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A22 | value='2015-08-15 00:00:00' | fill=00000000 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='2015-08-15 15:00:00' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='English Premier League' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='Swansea' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='Newcastle' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='1.96' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='3.7' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='4.4' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='1.94' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='3.67' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='4.71' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='0.525983589312013' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='0.220929376242729' | fill=00000000 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='-1.49585022196487' | fill=00000000 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A23 | value='2015-08-15 00:00:00' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='2015-08-15 15:00:00' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='English Premier League' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='Tottenham' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='Stoke' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='1.81' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='3.8' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='5.3' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='1.58' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='7.5' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='4.29' | fill=00000000 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='8.04252045597594' | fill=00000000 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='-12.9824561403509' | fill=00000000 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='4.44209878172142' | fill=00000000 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A24 | value='2015-08-15 00:00:00' | fill=00000000 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='2015-08-15 15:00:00' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='English Premier League' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='Watford' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='West Brom' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='2.34' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='3.45' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='3.45' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='2.25' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='4.5' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='3' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='1.7094017094017' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='-6.76328502415459' | fill=00000000 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='4.34782608695653' | fill=00000000 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A25 | value='2015-08-15 00:00:00' | fill=00000000 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='2015-08-15 15:00:00' | fill=00000000 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='English Premier League' | fill=00000000 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='West Ham' | fill=00000000 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='Leicester' | fill=00000000 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='2.3' | fill=00000000 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='3.5' | fill=00000000 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='3.55' | fill=00000000 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='1.53' | fill=00000000 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='5.75' | fill=00000000 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='5.75' | fill=00000000 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='21.8812162546178' | fill=00000000 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='-11.1801242236025' | fill=00000000 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='-10.777709736681' | fill=00000000 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A26 | value='2015-08-15 00:00:00' | fill=00000000 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='2015-08-15 17:30:00' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='Bundesliga 1' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='Dortmund' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='Mgladbach' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='1.76' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='4' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='5.3' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='1.83' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='4.4' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='4.4' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='-2.17337307501242' | fill=00000000 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='-2.27272727272727' | fill=00000000 | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='3.85934819897084' | fill=00000000 | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A27 | value='2015-08-16 00:00:00' | fill=00000000 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='2015-08-16 13:30:00' | fill=00000000 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='English Premier League' | fill=00000000 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='C Palace' | fill=00000000 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='Arsenal' | fill=00000000 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='5.4' | fill=00000000 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='4' | fill=00000000 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='1.76' | fill=00000000 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='5.2' | fill=00000000 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='13' | fill=00000000 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='1.37' | fill=00000000 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='0.712250712250711' | fill=00000000 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='-17.3076923076923' | fill=00000000 | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='16.1745189117452' | fill=00000000 | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A28 | value='2015-08-16 00:00:00' | fill=00000000 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='2015-08-16 14:30:00' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='Bundesliga 1' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='Wolfsburg' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='Eintracht Frankfurt' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='1.51' | fill=00000000 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='5' | fill=00000000 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='7.2' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='1.63' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='3.71' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='8.67' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='-4.87547231138016' | fill=00000000 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='6.95417789757412' | fill=00000000 | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='-2.35486351403306' | fill=00000000 | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A29 | value='2015-08-16 00:00:00' | fill=00000000 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='2015-08-16 16:00:00' | fill=00000000 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='English Premier League' | fill=00000000 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='Man City' | fill=00000000 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Chelsea' | fill=00000000 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='2.16' | fill=00000000 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='3.55' | fill=00000000 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='3.85' | fill=00000000 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='2' | fill=00000000 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='4.4' | fill=00000000 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='3.67' | fill=00000000 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='3.70370370370371' | fill=00000000 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='-5.44174135723432' | fill=00000000 | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='1.27393042924378' | fill=00000000 | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A30 | value='2015-08-16 00:00:00' | fill=00000000 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='2015-08-16 16:30:00' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='Bundesliga 1' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='Stuttgart' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='FC Koln' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='2.12' | fill=00000000 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='3.55' | fill=00000000 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='3.9' | fill=00000000 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='2.3' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='4.6' | fill=00000000 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='2.88' | fill=00000000 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='-3.6915504511895' | fill=00000000 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='-6.42988364972443' | fill=00000000 | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='9.08119658119658' | fill=00000000 | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A31 | value='2015-08-17 00:00:00' | fill=00000000 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B31 | value='2015-08-17 20:00:00' | fill=00000000 | rows=[30] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='English Premier League' | fill=00000000 | rows=[30] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='Liverpool' | fill=00000000 | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='Bournemouth' | fill=00000000 | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='1.49' | fill=00000000 | rows=[30] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='4.6' | fill=00000000 | rows=[30] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='8.4' | fill=00000000 | rows=[30] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='1.2' | fill=00000000 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='9' | fill=00000000 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='18' | fill=00000000 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='16.2192393736018' | fill=00000000 | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='-10.6280193236715' | fill=00000000 | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='-6.34920634920635' | fill=00000000 | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A32 | value='2015-08-21 00:00:00' | fill=00000000 | rows=[31] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B32 | value='2015-08-21 19:30:00' | fill=00000000 | rows=[31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C32 | value='Bundesliga 1' | fill=00000000 | rows=[31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='Hertha Berlin' | fill=00000000 | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='W Bremen' | fill=00000000 | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F32 | value='2.12' | fill=00000000 | rows=[31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G32 | value='3.55' | fill=00000000 | rows=[31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H32 | value='3.9' | fill=00000000 | rows=[31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I32 | value='2' | fill=00000000 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='6' | fill=00000000 | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='3' | fill=00000000 | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L32 | value='2.83018867924528' | fill=00000000 | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M32 | value='-11.5023474178404' | fill=00000000 | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='7.69230769230769' | fill=00000000 | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A33 | value='2015-08-21 00:00:00' | fill=00000000 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='2015-08-21 19:30:00' | fill=00000000 | rows=[32] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='Primera Division' | fill=00000000 | rows=[32] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='Malaga' | fill=00000000 | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='Sevilla' | fill=00000000 | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='3.55' | fill=00000000 | rows=[32] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='3.55' | fill=00000000 | rows=[32] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='2.26' | fill=00000000 | rows=[32] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='2.58' | fill=00000000 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='6.2' | fill=00000000 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='2.21' | fill=00000000 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='10.5906758379736' | fill=00000000 | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='-12.0399818264425' | fill=00000000 | rows=[32] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='1.00108116766107' | fill=00000000 | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A34 | value='2015-08-22 00:00:00' | fill=00000000 | rows=[33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B34 | value='2015-08-22 12:45:00' | fill=00000000 | rows=[33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C34 | value='English Premier League' | fill=00000000 | rows=[33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D34 | value='Man Utd' | fill=00000000 | rows=[33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E34 | value='Newcastle' | fill=00000000 | rows=[33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F34 | value='1.4' | fill=00000000 | rows=[33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G34 | value='5.3' | fill=00000000 | rows=[33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H34 | value='9.8' | fill=00000000 | rows=[33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I34 | value='1.27' | fill=00000000 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='11' | fill=00000000 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='8.25' | fill=00000000 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L34 | value='7.31158605174353' | fill=00000000 | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M34 | value='-9.7770154373928' | fill=00000000 | rows=[33] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N34 | value='1.91713048855906' | fill=00000000 | rows=[33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A35 | value='2015-08-22 00:00:00' | fill=00000000 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='2015-08-22 14:30:00' | fill=00000000 | rows=[34] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='Bundesliga 1' | fill=00000000 | rows=[34] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='Eintracht Frankfurt' | fill=00000000 | rows=[34] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='Augsburg' | fill=00000000 | rows=[34] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='2.26' | fill=00000000 | rows=[34] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='3.7' | fill=00000000 | rows=[34] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='3.35' | fill=00000000 | rows=[34] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='1.76' | fill=00000000 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='5' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='4.29' | fill=00000000 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L35 | value='12.5703942075623' | fill=00000000 | rows=[34] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M35 | value='-7.02702702702702' | fill=00000000 | rows=[34] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N35 | value='-6.54072295863341' | fill=00000000 | rows=[34] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell A36 | value='2015-08-22 00:00:00' | fill=00000000 | rows=[35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B36 | value='2015-08-22 14:30:00' | fill=00000000 | rows=[35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C36 | value='Bundesliga 1' | fill=00000000 | rows=[35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D36 | value='FC Koln' | fill=00000000 | rows=[35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E36 | value='Wolfsburg' | fill=00000000 | rows=[35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F36 | value='4.4' | fill=00000000 | rows=[35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G36 | value='3.9' | fill=00000000 | rows=[35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H36 | value='1.9' | fill=00000000 | rows=[35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I36 | value='6' | fill=00000000 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='3.43' | fill=00000000 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='1.85' | fill=00000000 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L36 | value='-6.06060606060606' | fill=00000000 | rows=[35] | cols=[11] | col_header=False | row_header=False | metadata=False
