=== education-table13.xlsx ===
Cell A1 | value='Community Learning Participation by Narrow Age Band, Gender, Learners with Learning Difficulties and/ or Disabilities and Ethnicity (2015/16 to 2018/19)' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell H15 | value='125930' | fill=9 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='0.252' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='124480' | fill=9 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='0.254' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='127830' | fill=9 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='0.297' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='119920' | fill=9 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='0.29' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='116240' | fill=9 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='0.296' | fill=00000000 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='113830' | fill=9 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='0.296' | fill=00000000 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='9320' | fill=9 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='0.164' | fill=00000000 | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V15 | value='8230' | fill=9 | rows=[14] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W15 | value='0.165' | fill=00000000 | rows=[14] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X15 | value='7590' | fill=9 | rows=[14] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y15 | value='0.169' | fill=00000000 | rows=[14] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z15 | value='8560' | fill=9 | rows=[14] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA15 | value='0.189' | fill=00000000 | rows=[14] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB15 | value='1530' | fill=9 | rows=[14] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC15 | value='0.037' | fill=00000000 | rows=[14] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD15 | value='1010' | fill=9 | rows=[14] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE15 | value='0.03' | fill=00000000 | rows=[14] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF15 | value='900' | fill=9 | rows=[14] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG15 | value='0.031' | fill=00000000 | rows=[14] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH15 | value='900' | fill=9 | rows=[14] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI15 | value='0.034' | fill=00000000 | rows=[14] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ15 | value='2440' | fill=9 | rows=[14] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK15 | value='0.041' | fill=00000000 | rows=[14] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL15 | value='2410' | fill=9 | rows=[14] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM15 | value='0.045' | fill=00000000 | rows=[14] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN15 | value='2250' | fill=9 | rows=[14] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO15 | value='0.048' | fill=00000000 | rows=[14] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP15 | value='2650' | fill=9 | rows=[14] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ15 | value='0.057' | fill=00000000 | rows=[14] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C16 | value='Not Known' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='2520' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='-' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='1610' | fill=9 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='-' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='1930' | fill=9 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='-' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='1090' | fill=9 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='-' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='1640' | fill=9 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='-' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='940' | fill=9 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='-' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='1370' | fill=9 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='-' | fill=00000000 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='690' | fill=9 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='-' | fill=00000000 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='370' | fill=9 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='-' | fill=00000000 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V16 | value='190' | fill=9 | rows=[15] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W16 | value='-' | fill=00000000 | rows=[15] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X16 | value='170' | fill=9 | rows=[15] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y16 | value='-' | fill=00000000 | rows=[15] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z16 | value='140' | fill=9 | rows=[15] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA16 | value='-' | fill=00000000 | rows=[15] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB16 | value='110' | fill=9 | rows=[15] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC16 | value='-' | fill=00000000 | rows=[15] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD16 | value='140' | fill=9 | rows=[15] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE16 | value='-' | fill=00000000 | rows=[15] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF16 | value='100' | fill=9 | rows=[15] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG16 | value='-' | fill=00000000 | rows=[15] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH16 | value='80' | fill=9 | rows=[15] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI16 | value='-' | fill=00000000 | rows=[15] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ16 | value='410' | fill=9 | rows=[15] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK16 | value='-' | fill=00000000 | rows=[15] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL16 | value='350' | fill=9 | rows=[15] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM16 | value='-' | fill=00000000 | rows=[15] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN16 | value='300' | fill=9 | rows=[15] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO16 | value='-' | fill=00000000 | rows=[15] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP16 | value='190' | fill=9 | rows=[15] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ16 | value='-' | fill=00000000 | rows=[15] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C17 | value='Total' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='570600' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='1' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='535800' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='1' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='502100' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='1' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='490300' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='1' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='432700' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='1' | fill=00000000 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='414600' | fill=00000000 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='1' | fill=00000000 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='394100' | fill=00000000 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='1' | fill=00000000 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='385500' | fill=00000000 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='1' | fill=00000000 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='57300' | fill=00000000 | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='1' | fill=00000000 | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V17 | value='50200' | fill=00000000 | rows=[16] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W17 | value='1' | fill=00000000 | rows=[16] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X17 | value='45100' | fill=00000000 | rows=[16] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y17 | value='1' | fill=00000000 | rows=[16] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z17 | value='45500' | fill=00000000 | rows=[16] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA17 | value='1' | fill=00000000 | rows=[16] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB17 | value='41100' | fill=00000000 | rows=[16] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC17 | value='1' | fill=00000000 | rows=[16] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD17 | value='33600' | fill=00000000 | rows=[16] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE17 | value='1' | fill=00000000 | rows=[16] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF17 | value='29200' | fill=00000000 | rows=[16] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG17 | value='1' | fill=00000000 | rows=[16] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH17 | value='26500' | fill=00000000 | rows=[16] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI17 | value='1' | fill=00000000 | rows=[16] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ17 | value='59500' | fill=00000000 | rows=[16] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK17 | value='1' | fill=00000000 | rows=[16] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL17 | value='53500' | fill=00000000 | rows=[16] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM17 | value='1' | fill=00000000 | rows=[16] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN17 | value='47600' | fill=00000000 | rows=[16] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO17 | value='1' | fill=00000000 | rows=[16] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP17 | value='46900' | fill=00000000 | rows=[16] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ17 | value='1' | fill=00000000 | rows=[16] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Gender' | fill=00000000 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C19 | value='Female' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='412250' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='0.723' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='387420' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='0.723' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='365680' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='0.728' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='359310' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='0.733' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='304390' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='0.703' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='292410' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='0.705' | fill=00000000 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='280920' | fill=00000000 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='0.713' | fill=00000000 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='276550' | fill=00000000 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='0.717' | fill=00000000 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='37150' | fill=00000000 | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U19 | value='0.649' | fill=00000000 | rows=[18] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V19 | value='32590' | fill=00000000 | rows=[18] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W19 | value='0.649' | fill=00000000 | rows=[18] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X19 | value='29580' | fill=00000000 | rows=[18] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y19 | value='0.655' | fill=00000000 | rows=[18] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z19 | value='30590' | fill=00000000 | rows=[18] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA19 | value='0.673' | fill=00000000 | rows=[18] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB19 | value='36350' | fill=00000000 | rows=[18] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC19 | value='0.883' | fill=00000000 | rows=[18] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD19 | value='29900' | fill=00000000 | rows=[18] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE19 | value='0.889' | fill=00000000 | rows=[18] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF19 | value='25900' | fill=00000000 | rows=[18] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG19 | value='0.888' | fill=00000000 | rows=[18] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH19 | value='23430' | fill=00000000 | rows=[18] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI19 | value='0.884' | fill=00000000 | rows=[18] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ19 | value='51540' | fill=00000000 | rows=[18] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK19 | value='0.866' | fill=00000000 | rows=[18] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL19 | value='46310' | fill=00000000 | rows=[18] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM19 | value='0.865' | fill=00000000 | rows=[18] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN19 | value='41200' | fill=00000000 | rows=[18] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO19 | value='0.865' | fill=00000000 | rows=[18] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP19 | value='40730' | fill=00000000 | rows=[18] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ19 | value='0.867' | fill=00000000 | rows=[18] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C20 | value='Male' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='158330' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='0.277' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='148340' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='0.277' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='136390' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='0.272' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='130990' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='0.267' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='128350' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='0.297' | fill=00000000 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='122220' | fill=00000000 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='0.295' | fill=00000000 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='113170' | fill=00000000 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='0.287' | fill=00000000 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='108950' | fill=00000000 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='0.283' | fill=00000000 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='20130' | fill=00000000 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='0.351' | fill=00000000 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='17590' | fill=00000000 | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W20 | value='0.351' | fill=00000000 | rows=[19] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X20 | value='15560' | fill=00000000 | rows=[19] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y20 | value='0.345' | fill=00000000 | rows=[19] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z20 | value='14900' | fill=00000000 | rows=[19] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA20 | value='0.345' | fill=00000000 | rows=[19] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB20 | value='4800' | fill=00000000 | rows=[19] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC20 | value='0.117' | fill=00000000 | rows=[19] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD20 | value='3730' | fill=00000000 | rows=[19] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE20 | value='0.111' | fill=00000000 | rows=[19] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF20 | value='3280' | fill=00000000 | rows=[19] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG20 | value='0.112' | fill=00000000 | rows=[19] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH20 | value='3080' | fill=00000000 | rows=[19] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI20 | value='0.116' | fill=00000000 | rows=[19] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ20 | value='8010' | fill=00000000 | rows=[19] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK20 | value='0.134' | fill=00000000 | rows=[19] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL20 | value='7240' | fill=00000000 | rows=[19] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM20 | value='0.135' | fill=00000000 | rows=[19] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN20 | value='6410' | fill=00000000 | rows=[19] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO20 | value='0.135' | fill=00000000 | rows=[19] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP20 | value='6220' | fill=00000000 | rows=[19] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ20 | value='0.135' | fill=00000000 | rows=[19] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell C21 | value='Total' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='570600' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='1' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='535800' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='1' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='502100' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='1' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='490300' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='1' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='432700' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='1' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='414600' | fill=00000000 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='1' | fill=00000000 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='394100' | fill=00000000 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='1' | fill=00000000 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='385500' | fill=00000000 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='1' | fill=00000000 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='57300' | fill=00000000 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='1' | fill=00000000 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V21 | value='50200' | fill=00000000 | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W21 | value='1' | fill=00000000 | rows=[20] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X21 | value='45100' | fill=00000000 | rows=[20] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y21 | value='1' | fill=00000000 | rows=[20] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z21 | value='45500' | fill=00000000 | rows=[20] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA21 | value='1' | fill=00000000 | rows=[20] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB21 | value='41100' | fill=00000000 | rows=[20] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC21 | value='1' | fill=00000000 | rows=[20] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD21 | value='33600' | fill=00000000 | rows=[20] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE21 | value='1' | fill=00000000 | rows=[20] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF21 | value='29200' | fill=00000000 | rows=[20] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG21 | value='1' | fill=00000000 | rows=[20] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH21 | value='26500' | fill=00000000 | rows=[20] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI21 | value='1' | fill=00000000 | rows=[20] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ21 | value='59500' | fill=00000000 | rows=[20] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK21 | value='1' | fill=00000000 | rows=[20] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL21 | value='53500' | fill=00000000 | rows=[20] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM21 | value='1' | fill=00000000 | rows=[20] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN21 | value='47600' | fill=00000000 | rows=[20] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO21 | value='1' | fill=00000000 | rows=[20] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP21 | value='46900' | fill=00000000 | rows=[20] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ21 | value='1' | fill=00000000 | rows=[20] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Learners with Learning Difficulties' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell C23 | value='Learning Difficulty/Disability' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='107010' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='0.2' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='108090' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='0.214' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='104700' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='0.22' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='100800' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='0.218' | fill=00000000 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='85500' | fill=00000000 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='0.21' | fill=00000000 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='87090' | fill=00000000 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='0.222' | fill=00000000 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='84580' | fill=00000000 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='0.226' | fill=00000000 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='81060' | fill=00000000 | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='0.222' | fill=00000000 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
