=== economy-table98.xlsx ===
Cell A1 | value='Return to contents' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell C7 | value='0.4' | fill=FFFFFFFF | rows=[6] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D7 | value='0.31' | fill=FFFFFFFF | rows=[6] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E7 | value='0.44' | fill=FFFFFFFF | rows=[6] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F7 | value='0.35' | fill=FFFFFFFF | rows=[6] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G7 | value='0.1' | fill=FFFFFFFF | rows=[6] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H7 | value='0.36' | fill=FFFFFFFF | rows=[6] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I7 | value='0.35' | fill=FFFFFFFF | rows=[6] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J7 | value='0.17' | fill=FFFFFFFF | rows=[6] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K7 | value='0.31' | fill=FFFFFFFF | rows=[6] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L7 | value='0.42' | fill=FFFFFFFF | rows=[6] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M7 | value='0.24' | fill=FFFFFFFF | rows=[6] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N7 | value='0.38' | fill=FFFFFFFF | rows=[6] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O7 | value='0.26' | fill=FFFFFFFF | rows=[6] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P7 | value='0.39' | fill=FFFFFFFF | rows=[6] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q7 | value='0.62' | fill=FFFFFFFF | rows=[6] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R7 | value='0.34' | fill=FFFFFFFF | rows=[6] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S7 | value='0.13' | fill=FFFFFFFF | rows=[6] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T7 | value='0.23' | fill=FFFFFFFF | rows=[6] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U7 | value='0.05' | fill=FFFFFFFF | rows=[6] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V7 | value='0.39' | fill=FFFFFFFF | rows=[6] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W7 | value='0.38' | fill=FFFFFFFF | rows=[6] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X7 | value='0.41' | fill=FFFFFFFF | rows=[6] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y7 | value='0.19' | fill=FFFFFFFF | rows=[6] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z7 | value='0.09' | fill=FFFFFFFF | rows=[6] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA7 | value='0.17' | fill=FFFFFFFF | rows=[6] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB7 | value='0.31' | fill=FFFFFFFF | rows=[6] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC7 | value='0.3' | fill=FFFFFFFF | rows=[6] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD7 | value='0.39' | fill=FFFFFFFF | rows=[6] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE7 | value='0.38' | fill=FFFFFFFF | rows=[6] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF7 | value='0.14' | fill=FFFFFFFF | rows=[6] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG7 | value='0.4' | fill=FFFFFFFF | rows=[6] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH7 | value='0.12' | fill=FFFFFFFF | rows=[6] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI7 | value='0.15' | fill=FFFFFFFF | rows=[6] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ7 | value='0.22' | fill=FFFFFFFF | rows=[6] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AL7 | value='0.39' | fill=FFFFFFFF | rows=[6] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM7 | value='0.22' | fill=FFFFFFFF | rows=[6] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN7 | value='0.27' | fill=FFFFFFFF | rows=[6] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO7 | value='0.17' | fill=FFFFFFFF | rows=[6] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AR7 | value='0.27' | fill=FFFFFFFF | rows=[6] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS7 | value='0.8' | fill=FFFFFFFF | rows=[6] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT7 | value='0.05' | fill=FFFFFFFF | rows=[6] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU7 | value='0.02' | fill=FFFFFFFF | rows=[6] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV7 | value='0.1' | fill=FFFFFFFF | rows=[6] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AX7 | value='0.48' | fill=FFFFFFFF | rows=[6] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY7 | value='0.49' | fill=FFFFFFFF | rows=[6] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ7 | value='0.31' | fill=FFFFFFFF | rows=[6] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA7 | value='0.51' | fill=FFFFFFFF | rows=[6] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB7 | value='0.6' | fill=FFFFFFFF | rows=[6] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC7 | value='0.5' | fill=FFFFFFFF | rows=[6] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD7 | value='0.19' | fill=FFFFFFFF | rows=[6] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE7 | value='0.5' | fill=FFFFFFFF | rows=[6] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF7 | value='0.55' | fill=FFFFFFFF | rows=[6] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell B8 | value='B1 C1 E1 H1 O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 Z2 B3' | fill=FFFFFFFF | rows=[7] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C8 | value='B1' | fill=FFFFFFFF | rows=[7] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D8 | value='A1' | fill=FFFFFFFF | rows=[7] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E8 | value='D1 E1 H1 I1 K1 M1' | fill=FFFFFFFF | rows=[7] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F8 | value='C1 E1 H1' | fill=FFFFFFFF | rows=[7] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G8 | value='C1 D1 F1 G1 I1 J1 K1 L1 M1' | fill=FFFFFFFF | rows=[7] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H8 | value='E1 H1' | fill=FFFFFFFF | rows=[7] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I8 | value='E1 H1' | fill=FFFFFFFF | rows=[7] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J8 | value='C1 D1 F1 G1 I1 J1 L1' | fill=FFFFFFFF | rows=[7] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K8 | value='C1 E1 H1' | fill=FFFFFFFF | rows=[7] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L8 | value='E1 H1 K1' | fill=FFFFFFFF | rows=[7] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M8 | value='C1 E1 J1' | fill=FFFFFFFF | rows=[7] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N8 | value='E1 H1' | fill=FFFFFFFF | rows=[7] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O8 | value='C1 E1' | fill=FFFFFFFF | rows=[7] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P8 | value='O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 Z2 B3' | fill=FFFFFFFF | rows=[7] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q8 | value='N1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 N2 O2 P2 R2 S2 T2 U2 X2 B3 E3' | fill=FFFFFFFF | rows=[7] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R8 | value='O1 S1 X1 Q2 R2 S2 T2 Z2' | fill=FFFFFFFF | rows=[7] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S8 | value='O1 Q2 V2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T8 | value='O1 Q2 Z2' | fill=FFFFFFFF | rows=[7] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U8 | value='N1 O1 P1 T1 U1 V1 Z1 A2 B2 C2 E2 H2 J2 K2 L2 P2 Q2 V2 W2 X2 Y2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V8 | value='O1 S1 X1 Y1 D2 F2 G2 H2 N2 Q2 R2 S2 T2 Z2 B3' | fill=FFFFFFFF | rows=[7] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W8 | value='O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 Z2 B3' | fill=FFFFFFFF | rows=[7] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X8 | value='O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 B3' | fill=FFFFFFFF | rows=[7] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y8 | value='O1 Q2 R2 S2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z8 | value='N1 O1 P1 T1 U1 V1 Z1 A2 B2 C2 E2 J2 L2 P2 Q2 V2 W2 X2 Y2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA8 | value='N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 V2 W2 Y2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB8 | value='O1 S1 X1 Q2 R2 S2 T2 Z2 C3' | fill=FFFFFFFF | rows=[7] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC8 | value='O1 S1 X1 Q2 R2 S2 T2 Z2 C3' | fill=FFFFFFFF | rows=[7] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD8 | value='O1 S1 X1 Y1 D2 F2 G2 H2 L2 M2 N2 Q2 R2 S2 T2 Z2 B3' | fill=FFFFFFFF | rows=[7] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE8 | value='O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 Z2 B3' | fill=FFFFFFFF | rows=[7] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF8 | value='N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 V2 W2 Y2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG8 | value='O1 S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 B3' | fill=FFFFFFFF | rows=[7] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH8 | value='N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 V2 W2 Y2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI8 | value='N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 V2 W2 Y2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ8 | value='O1 S1 T1 B2 J2 Q2 R2 S2 V2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AL8 | value='O1 S1 X1 Y1 D2 F2 G2 H2 M2 N2 Q2 R2 S2 T2 Z2 B3' | fill=FFFFFFFF | rows=[7] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM8 | value='O1 S1 Q2 R2 S2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN8 | value='O1 S1 X1 B2 Q2 R2 S2 T2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO8 | value='O1 B2 J2 Q2 V2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AR8 | value='O1 S1 X1 Q2 R2 S2 T2 Z2 C3' | fill=FFFFFFFF | rows=[7] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS8 | value='N1 P1 Q1 R1 S1 T1 U1 V1 W1 X1 Y1 Z1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 N2 O2 P2 R2 S2 T2 U2 V2 W2 X2 A3 B3 C3 E3' | fill=FFFFFFFF | rows=[7] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT8 | value='N1 O1 P1 T1 U1 V1 W1 Z1 A2 B2 C2 E2 H2 J2 K2 L2 P2 Q2 V2 W2 X2 Y2 Z2 A3 B3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU8 | value='N1 O1 P1 T1 U1 V1 W1 Z1 A2 B2 C2 E2 H2 J2 K2 L2 P2 Q2 V2 W2 X2 Y2 Z2 A3 B3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV8 | value='N1 O1 P1 T1 U1 V1 Z1 A2 B2 C2 E2 J2 L2 P2 Q2 V2 W2 Y2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AX8 | value='Q1 S1 X1 Y1 D2 F2 G2 H2 M2 N2 Q2 R2 S2 T2 U2 B3' | fill=FFFFFFFF | rows=[7] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY8 | value='S1 X1 Y1 D2 F2 G2 N2 Q2 R2 S2 T2 U2 B3' | fill=FFFFFFFF | rows=[7] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ8 | value='O1 S1 X1 Q2 R2 S2' | fill=FFFFFFFF | rows=[7] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA8 | value='S1 X1 Y1 D2 F2 G2 N2 R2 S2 T2' | fill=FFFFFFFF | rows=[7] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB8 | value='N1 P1 Q1 R1 S1 T1 U1 W1 X1 Y1 Z1 A2 B2 C2 D2 F2 G2 H2 J2 K2 L2 M2 N2 O2 P2 R2 S2 T2 U2 B3 E3' | fill=FFFFFFFF | rows=[7] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC8 | value='Q1 S1 W1 X1 Y1 D2 F2 G2 H2 K2 L2 M2 N2 Q2 R2 S2 T2 U2 B3' | fill=FFFFFFFF | rows=[7] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD8 | value='N1 O1 T1 U1 V1 B2 C2 E2 J2 Q2 R2 S2 V2 W2 Z2 A3 C3 D3' | fill=FFFFFFFF | rows=[7] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE8 | value='Q1 S1 W1 X1 Y1 Z1 A2 D2 F2 G2 H2 K2 L2 M2 N2 P2 Q2 R2 S2 T2 U2 B3' | fill=FFFFFFFF | rows=[7] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF8 | value='Q1 S1 W1 X1 Y1 D2 F2 G2 H2 K2 L2 M2 N2 R2 S2 T2 U2 B3' | fill=FFFFFFFF | rows=[7] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell A9 | value='In-person from a shop or other outlet' | fill=FFFFFFFF | rows=[8, 9] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B9 | value='0.27' | fill=FFFFFFFF | rows=[8] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C9 | value='0.32' | fill=FFFFFFFF | rows=[8] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D9 | value='0.22' | fill=FFFFFFFF | rows=[8] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E9 | value='0.3' | fill=FFFFFFFF | rows=[8] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F9 | value='0.32' | fill=FFFFFFFF | rows=[8] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G9 | value='0.67' | fill=FFFFFFFF | rows=[8] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H9 | value='0.08' | fill=FFFFFFFF | rows=[8] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I9 | value='0.09' | fill=FFFFFFFF | rows=[8] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J9 | value='0.31' | fill=FFFFFFFF | rows=[8] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K9 | value='0.17' | fill=FFFFFFFF | rows=[8] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L9 | value='0.29' | fill=FFFFFFFF | rows=[8] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M9 | value='0.24' | fill=FFFFFFFF | rows=[8] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N9 | value='0.19' | fill=FFFFFFFF | rows=[8] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O9 | value='0.44' | fill=FFFFFFFF | rows=[8] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P9 | value='0.37' | fill=FFFFFFFF | rows=[8] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q9 | value='0.15' | fill=FFFFFFFF | rows=[8] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R9 | value='0.43' | fill=FFFFFFFF | rows=[8] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S9 | value='0.27' | fill=FFFFFFFF | rows=[8] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T9 | value='0.49' | fill=FFFFFFFF | rows=[8] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U9 | value='0.94' | fill=FFFFFFFF | rows=[8] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V9 | value='0.32' | fill=FFFFFFFF | rows=[8] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W9 | value='0.19' | fill=FFFFFFFF | rows=[8] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X9 | value='0.21' | fill=FFFFFFFF | rows=[8] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y9 | value='0.47' | fill=FFFFFFFF | rows=[8] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z9 | value='0.53' | fill=FFFFFFFF | rows=[8] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA9 | value='0.7' | fill=FFFFFFFF | rows=[8] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB9 | value='0.21' | fill=FFFFFFFF | rows=[8] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC9 | value='0.03' | fill=FFFFFFFF | rows=[8] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD9 | value='0.06' | fill=FFFFFFFF | rows=[8] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE9 | value='0.04' | fill=FFFFFFFF | rows=[8] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF9 | value='0.07' | fill=FFFFFFFF | rows=[8] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG9 | value='0.1' | fill=FFFFFFFF | rows=[8] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH9 | value='0.4' | fill=FFFFFFFF | rows=[8] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI9 | value='0.45' | fill=FFFFFFFF | rows=[8] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ9 | value='0.12' | fill=FFFFFFFF | rows=[8] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AL9 | value='0.3' | fill=FFFFFFFF | rows=[8] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM9 | value='0.15' | fill=FFFFFFFF | rows=[8] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN9 | value='0.05' | fill=FFFFFFFF | rows=[8] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO9 | value='0.13' | fill=FFFFFFFF | rows=[8] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AR9 | value='0.41' | fill=FFFFFFFF | rows=[8] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS9 | value='0.01' | fill=FFFFFFFF | rows=[8] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT9 | value='0.73' | fill=FFFFFFFF | rows=[8] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU9 | value='0.38' | fill=FFFFFFFF | rows=[8] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV9 | value='0.64' | fill=FFFFFFFF | rows=[8] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AX9 | value='0.01' | fill=FFFFFFFF | rows=[8] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY9 | value='0.27' | fill=FFFFFFFF | rows=[8] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ9 | value='0.55' | fill=FFFFFFFF | rows=[8] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA9 | value='0.4' | fill=FFFFFFFF | rows=[8] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB9 | value='0.12' | fill=FFFFFFFF | rows=[8] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell BC9 | value='0.08' | fill=FFFFFFFF | rows=[8] | cols=[54] | col_header=False | row_header=False | metadata=False
Cell BD9 | value='0.23' | fill=FFFFFFFF | rows=[8] | cols=[55] | col_header=False | row_header=False | metadata=False
Cell BE9 | value='0.2' | fill=FFFFFFFF | rows=[8] | cols=[56] | col_header=False | row_header=False | metadata=False
Cell BF9 | value='0.29' | fill=FFFFFFFF | rows=[8] | cols=[57] | col_header=False | row_header=False | metadata=False
Cell B10 | value='B1 E1 F1 G1 I1 L1 M1 O1 P1 S1 X1 Y1 A2 B2 C2 D2 E2 G2 H2 L2 Q2 R2 T2 V2 X2 A3' | fill=FFFFFFFF | rows=[9] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C10 | value='B1' | fill=FFFFFFFF | rows=[9] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D10 | value='A1' | fill=FFFFFFFF | rows=[9] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E10 | value='E1 F1 G1 I1 L1' | fill=FFFFFFFF | rows=[9] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F10 | value='E1 F1 G1 I1 L1' | fill=FFFFFFFF | rows=[9] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G10 | value='C1 D1 F1 G1 H1 I1 J1 K1 L1 M1' | fill=FFFFFFFF | rows=[9] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H10 | value='C1 D1 E1 H1 I1 J1 K1 L1 M1' | fill=FFFFFFFF | rows=[9] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I10 | value='C1 D1 E1 H1 J1 K1 M1' | fill=FFFFFFFF | rows=[9] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J10 | value='E1 F1 G1 I1 L1' | fill=FFFFFFFF | rows=[9] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K10 | value='C1 D1 E1 F1 H1 J1 M1' | fill=FFFFFFFF | rows=[9] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L10 | value='E1 F1 G1 I1' | fill=FFFFFFFF | rows=[9] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M10 | value='E1 F1 G1' | fill=FFFFFFFF | rows=[9] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N10 | value='C1 D1 E1 F1 H1 M1' | fill=FFFFFFFF | rows=[9] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O10 | value='E1 F1 G1 I1 L1' | fill=FFFFFFFF | rows=[9] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P10 | value='O1 S1 U1 Y1 Z1 A2 B2 C2 D2 E2 H2 L2 M2 Q2 R2 T2 V2 Z2 A3' | fill=FFFFFFFF | rows=[9] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q10 | value='N1 P1 R1 S1 T1 W1 X1 Y1 A2 B2 C2 F2 G2 J2 N2 P2 Q2 R2 S2 T2 X2 E3' | fill=FFFFFFFF | rows=[9] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R10 | value='O1 S1 U1 V1 Y1 Z1 A2 B2 C2 D2 E2 H2 I2 K2 L2 M2 Q2 R2 T2 V2 Z2 A3 B3 C3' | fill=FFFFFFFF | rows=[9] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S10 | value='S1 Y1 A2 B2 C2 L2 Q2 R2 T2' | fill=FFFFFFFF | rows=[9] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T10 | value='O1 S1 U1 A2 B2 C2 D2 E2 H2 L2 Q2 V2 Z2 A3' | fill=FFFFFFFF | rows=[9] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U10 | value='N1 O1 P1 Q1 R1 T1 U1 V1 W1 X1 Y1 Z1 A2 B2 C2 D2 E2 F2 G2 H2 I2 J2 K2 L2 M2 N2 O2 P2 Q2 S2 T2 U2 V2 W2 X2 Y2 Z2 A3 B3 C3 D3 E3' | fill=FFFFFFFF | rows=[9] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V10 | value='O1 S1 U1 X1 Y1 A2 B2 C2 D2 E2 H2 L2 Q2 R2 T2 V2 Z2 A3' | fill=FFFFFFFF | rows=[9] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W10 | value='N1 P1 R1 S1 T1 W1 X1 Y1 A2 B2 C2 F2 G2 L2 N2 P2 Q2 R2 S2 T2 X2 E3' | fill=FFFFFFFF | rows=[9] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X10 | value='P1 S1 W1 X1 Y1 A2 B2 C2 G2 L2 Q2 R2 T2 X2' | fill=FFFFFFFF | rows=[9] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y10 | value='O1 S1 U1 V1 Z1 A2 B2 C2 D2 E2 H2 I2 K2 L2 M2 Q2 R2 V2 Z2 A3 C3' | fill=FFFFFFFF | rows=[9] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z10 | value='O1 S1 T1 U1 V1 Z1 A2 B2 C2 D2 E2 H2 I2 J2 K2 L2 M2 Q2 U2 V2 Z2 A3 B3 C3' | fill=FFFFFFFF | rows=[9] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA10 | value='N1 O1 P1 Q1 S1 T1 U1 V1 Z1 A2 B2 C2 D2 E2 F2 H2 I2 J2 K2 L2 M2 O2 P2 Q2 S2 U2 V2 W2 Z2 A3 B3 C3 D3' | fill=FFFFFFFF | rows=[9] | cols=[26] | col_header=False | row_header=False | metadata=False
