=== environment-table25.xlsx ===
Cell A1 | value='Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 1 of 4' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell J21 | value='Ferret' | fill=47 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='-' | fill=47 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='21' | fill=47 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='-' | fill=47 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='5' | fill=47 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='-' | fill=47 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='-' | fill=47 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='-' | fill=47 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='-' | fill=47 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='-' | fill=47 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='26' | fill=47 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Other carnivore' | fill=00000000 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='0' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='-' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='-' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='-' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='-' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='-' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='-' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='-' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='Other carnivore' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='-' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='38' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='-' | fill=00000000 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='-' | fill=00000000 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='0' | fill=00000000 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='-' | fill=00000000 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='-' | fill=00000000 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='-' | fill=00000000 | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='0' | fill=00000000 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='38' | fill=00000000 | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Horse, donkey and cross-bred  equids' | fill=47 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='0' | fill=47 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='-' | fill=47 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='0' | fill=47 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='-' | fill=47 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='-' | fill=47 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='-' | fill=47 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='-' | fill=47 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='-' | fill=47 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='Horse and other equids' | fill=47 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='32' | fill=47 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='40' | fill=47 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='-' | fill=47 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='-' | fill=47 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='-' | fill=47 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='0' | fill=47 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='-' | fill=47 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='-' | fill=47 | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='0' | fill=47 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='72' | fill=47 | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Pig' | fill=00000000 | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='0' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='5' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='-' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='-' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='-' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='-' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='-' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='-' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='Pig' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='422' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='845' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='-' | fill=00000000 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='110' | fill=00000000 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='4' | fill=00000000 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='-' | fill=00000000 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='47' | fill=00000000 | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='439' | fill=00000000 | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='3' | fill=00000000 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='1875' | fill=00000000 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Goat' | fill=47 | rows=[24] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='0' | fill=47 | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='6' | fill=47 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='-' | fill=47 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='-' | fill=47 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='-' | fill=47 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='-' | fill=47 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='-' | fill=47 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='-' | fill=47 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='Goat' | fill=47 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='-' | fill=47 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='-' | fill=47 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='-' | fill=47 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='1' | fill=47 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='-' | fill=47 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='-' | fill=47 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='-' | fill=47 | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='0' | fill=47 | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='-' | fill=47 | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='7' | fill=47 | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Sheep' | fill=00000000 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='0' | fill=00000000 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='-' | fill=00000000 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='-' | fill=00000000 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='-' | fill=00000000 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='-' | fill=00000000 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='-' | fill=00000000 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='-' | fill=00000000 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='-' | fill=00000000 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='Sheep' | fill=00000000 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='76' | fill=00000000 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='160' | fill=00000000 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='128' | fill=00000000 | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='48' | fill=00000000 | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='-' | fill=00000000 | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='-' | fill=00000000 | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='69' | fill=00000000 | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='16' | fill=00000000 | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='0' | fill=00000000 | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='497' | fill=00000000 | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A27 | value='Cattle' | fill=47 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='0' | fill=47 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='19' | fill=47 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='-' | fill=47 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='-' | fill=47 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='-' | fill=47 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='-' | fill=47 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='-' | fill=47 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='-' | fill=47 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='Cattle' | fill=47 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='12' | fill=47 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='754' | fill=47 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='22' | fill=47 | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='147' | fill=47 | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='-' | fill=47 | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='-' | fill=47 | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='-' | fill=47 | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R27 | value='6' | fill=47 | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='8' | fill=47 | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T27 | value='968' | fill=47 | rows=[26] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A28 | value='Deer' | fill=00000000 | rows=[27] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B28 | value='0' | fill=00000000 | rows=[27] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C28 | value='-' | fill=00000000 | rows=[27] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='-' | fill=00000000 | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='-' | fill=00000000 | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F28 | value='-' | fill=00000000 | rows=[27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G28 | value='-' | fill=00000000 | rows=[27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H28 | value='-' | fill=00000000 | rows=[27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I28 | value='-' | fill=00000000 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='Deer' | fill=00000000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='-' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L28 | value='-' | fill=00000000 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='-' | fill=00000000 | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='-' | fill=00000000 | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O28 | value='-' | fill=00000000 | rows=[27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P28 | value='-' | fill=00000000 | rows=[27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='-' | fill=00000000 | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='-' | fill=00000000 | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='-' | fill=00000000 | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T28 | value='0' | fill=00000000 | rows=[27] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Camelid' | fill=47 | rows=[28] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B29 | value='0' | fill=47 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='-' | fill=47 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='-' | fill=47 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='-' | fill=47 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='-' | fill=47 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='-' | fill=47 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='-' | fill=47 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='-' | fill=47 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='Camelid' | fill=47 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='-' | fill=47 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='-' | fill=47 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='-' | fill=47 | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='-' | fill=47 | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='-' | fill=47 | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='-' | fill=47 | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='-' | fill=47 | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='-' | fill=47 | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='-' | fill=47 | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T29 | value='0' | fill=47 | rows=[28] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Other ungulate' | fill=00000000 | rows=[29] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B30 | value='0' | fill=00000000 | rows=[29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C30 | value='-' | fill=00000000 | rows=[29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D30 | value='-' | fill=00000000 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='-' | fill=00000000 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F30 | value='-' | fill=00000000 | rows=[29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G30 | value='-' | fill=00000000 | rows=[29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H30 | value='-' | fill=00000000 | rows=[29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I30 | value='-' | fill=00000000 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='Other ungulate' | fill=00000000 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='-' | fill=00000000 | rows=[29] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L30 | value='-' | fill=00000000 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='-' | fill=00000000 | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='-' | fill=00000000 | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O30 | value='-' | fill=00000000 | rows=[29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P30 | value='-' | fill=00000000 | rows=[29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q30 | value='-' | fill=00000000 | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R30 | value='-' | fill=00000000 | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S30 | value='0' | fill=00000000 | rows=[29] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T30 | value='0' | fill=00000000 | rows=[29] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A31 | value='(2) Following a decision in 1998, procedures using animals in research on finished cosmetics and on cosmetic ingredients have not been allowed.' | fill=FF00B0F0 | rows=[30] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell J31 | value='(1) Following a decision in 1997, procedures using animals in research on tobacco have not been allowed.' | fill=FF00B0F0 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell A33 | value='Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 2 of 4' | fill=FF00B0F0 | rows=[32] | cols=[0] | col_header=False | row_header=False | metadata=True
Cell J33 | value='Table 9 Scientific procedures (toxicology) by species of animal and toxicological purpose, page 4 of 4' | fill=FF00B0F0 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=True
Cell A35 | value='Great Britain 2011' | fill=00000000 | rows=[34] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell I35 | value='Number of procedures' | fill=FFFFFF00 | rows=[34] | cols=[8] | col_header=True | row_header=False | metadata=False
Cell J35 | value='Great Britain 2011' | fill=00000000 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell T35 | value='Number of procedures' | fill=FFFFFF00 | rows=[34] | cols=[19] | col_header=True | row_header=False | metadata=False
Cell A36 | value='Species of animal' | fill=FFFFFF00 | rows=[35] | cols=[0] | col_header=True | row_header=False | metadata=False
Cell B36 | value='Toxicology or other safety/efficacy evaluation' | fill=FFFFFF00 | rows=[35] | cols=[1] | col_header=True | row_header=False | metadata=False
Cell J36 | value='Species of animal' | fill=FFFFFF00 | rows=[35] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell K36 | value='Toxicology or other safety/efficacy evaluation' | fill=FFFFFF00 | rows=[35] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell T36 | value='Total' | fill=00000000 | rows=[35] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell B37 | value='General safety/efficacy evaluation' | fill=00000000 | rows=[36] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell K37 | value='Pharmaceutical safety/efficacy evaluation' | fill=00000000 | rows=[36] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell O37 | value='Other purposes' | fill=00000000 | rows=[36] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell B38 | value='Pollution' | fill=43 | rows=[37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C38 | value='Agriculture' | fill=43 | rows=[37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D38 | value='Industry' | fill=43 | rows=[37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E38 | value='Household' | fill=43 | rows=[37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F38 | value='Food additives' | fill=43 | rows=[37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G38 | value='Other foodstuffs' | fill=43 | rows=[37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H38 | value='Finished cosmetics(2)' | fill=43 | rows=[37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I38 | value='Cosmetics ingredients(2)' | fill=43 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K38 | value='Safety testing' | fill=43 | rows=[37] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L38 | value='Efficacy testing' | fill=43 | rows=[37] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M38 | value='Quality control' | fill=43 | rows=[37] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N38 | value='ADME and residue' | fill=43 | rows=[37] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O38 | value='Toxicology research' | fill=43 | rows=[37] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P38 | value='Tobacco safety(1)' | fill=43 | rows=[37] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q38 | value='Medical  device safety' | fill=43 | rows=[37] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R38 | value='Method development' | fill=43 | rows=[37] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S38 | value='Other' | fill=43 | rows=[37] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A39 | value='Primate' | fill=00000000 | rows=[38] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell J39 | value='Primate' | fill=00000000 | rows=[38] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A40 | value='Prosimian' | fill=47 | rows=[39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B40 | value='0' | fill=47 | rows=[39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C40 | value='-' | fill=47 | rows=[39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D40 | value='-' | fill=47 | rows=[39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E40 | value='-' | fill=47 | rows=[39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F40 | value='-' | fill=47 | rows=[39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G40 | value='-' | fill=47 | rows=[39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H40 | value='-' | fill=47 | rows=[39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I40 | value='-' | fill=47 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J40 | value='Prosimian' | fill=47 | rows=[39] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K40 | value='-' | fill=47 | rows=[39] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L40 | value='-' | fill=47 | rows=[39] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M40 | value='-' | fill=47 | rows=[39] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N40 | value='-' | fill=47 | rows=[39] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O40 | value='-' | fill=47 | rows=[39] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P40 | value='-' | fill=47 | rows=[39] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q40 | value='-' | fill=47 | rows=[39] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R40 | value='-' | fill=47 | rows=[39] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S40 | value='-' | fill=47 | rows=[39] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T40 | value='0' | fill=47 | rows=[39] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell A41 | value='New World monkey' | fill=00000000 | rows=[40] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell J41 | value='New World monkey' | fill=00000000 | rows=[40] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A42 | value='marmoset, tamarin' | fill=47 | rows=[41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B42 | value='0' | fill=47 | rows=[41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C42 | value='-' | fill=47 | rows=[41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D42 | value='-' | fill=47 | rows=[41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E42 | value='-' | fill=47 | rows=[41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F42 | value='-' | fill=47 | rows=[41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G42 | value='-' | fill=47 | rows=[41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H42 | value='-' | fill=47 | rows=[41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I42 | value='-' | fill=47 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J42 | value='marmoset, tamarin' | fill=47 | rows=[41] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K42 | value='83' | fill=47 | rows=[41] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L42 | value='-' | fill=47 | rows=[41] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M42 | value='-' | fill=47 | rows=[41] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N42 | value='-' | fill=47 | rows=[41] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O42 | value='-' | fill=47 | rows=[41] | cols=[14] | col_header=False | row_header=False | metadata=False
