=== economy-table27.xlsx ===
Cell B1 | value='Quarterly National Accounts (for 'Developer API')' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell E57 | value='276698.8' | fill=00000000 | rows=[56] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F57 | value='276798.4' | fill=00000000 | rows=[56] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G57 | value='279172.4' | fill=00000000 | rows=[56] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H57 | value='277198.7' | fill=00000000 | rows=[56] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I57 | value='279573.4' | fill=00000000 | rows=[56] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B58 | value='·  ·  Imports of goods and services, Total economy' | fill=FFE2F2FB | rows=[57] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C58 | value='Millions, Euro' | fill=FFE2F2FB | rows=[57] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E58 | value='265293.5' | fill=00000000 | rows=[57] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F58 | value='259861.6' | fill=00000000 | rows=[57] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G58 | value='254686.5' | fill=00000000 | rows=[57] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H58 | value='257144.4' | fill=00000000 | rows=[57] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I58 | value='258520.9' | fill=00000000 | rows=[57] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B59 | value='Adjustment: Calendar and seasonally adjusted' | fill=00000000 | rows=[58] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B60 | value='Unit of measure: National currency' | fill=00000000 | rows=[59] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B61 | value='Price base: Current prices' | fill=00000000 | rows=[60] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B62 | value='Transformation: Non transformed data' | fill=00000000 | rows=[61] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B63 | value='Gross domestic product, Total economy' | fill=FFE2F2FB | rows=[62] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C63 | value='Millions, Euro' | fill=FFE2F2FB | rows=[62] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E63 | value='118580.4' | fill=00000000 | rows=[62] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F63 | value='118641.9' | fill=00000000 | rows=[62] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G63 | value='119275.8' | fill=00000000 | rows=[62] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H63 | value='120184.3' | fill=00000000 | rows=[62] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I63 | value='121475.9' | fill=00000000 | rows=[62] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B64 | value='·  Domestic demand, Total economy' | fill=FFE2F2FB | rows=[63] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C64 | value='Millions, Euro' | fill=FFE2F2FB | rows=[63] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E64 | value='115729' | fill=00000000 | rows=[63] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F64 | value='114407.7' | fill=00000000 | rows=[63] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G64 | value='113154.3' | fill=00000000 | rows=[63] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H64 | value='115170.7' | fill=00000000 | rows=[63] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I64 | value='116212.7' | fill=00000000 | rows=[63] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B65 | value='·  Final consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[64] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C65 | value='Millions, Euro' | fill=FFE2F2FB | rows=[64] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E65 | value='86683' | fill=00000000 | rows=[64] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F65 | value='87400.4' | fill=00000000 | rows=[64] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G65 | value='88355.8' | fill=00000000 | rows=[64] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H65 | value='88842.1' | fill=00000000 | rows=[64] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I65 | value='89827.1' | fill=00000000 | rows=[64] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B66 | value='·  ·  Final consumption expenditure, Households and non-profit institutions serving households (NPISH)' | fill=FFE2F2FB | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C66 | value='Millions, Euro' | fill=FFE2F2FB | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E66 | value='61880' | fill=00000000 | rows=[65] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F66 | value='62482.7' | fill=00000000 | rows=[65] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G66 | value='62878.1' | fill=00000000 | rows=[65] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H66 | value='63115.4' | fill=00000000 | rows=[65] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I66 | value='63764.7' | fill=00000000 | rows=[65] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B67 | value='·  ·  ·  Final consumption expenditure, Households' | fill=FFE2F2FB | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C67 | value='Millions, Euro' | fill=FFE2F2FB | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E67 | value='59295.6' | fill=00000000 | rows=[66] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F67 | value='59852' | fill=00000000 | rows=[66] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G67 | value='60217.8' | fill=00000000 | rows=[66] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H67 | value='60335.3' | fill=00000000 | rows=[66] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B68 | value='·  ·  ·  Final consumption expenditure, Non-profit institutions serving households' | fill=FFE2F2FB | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C68 | value='Millions, Euro' | fill=FFE2F2FB | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E68 | value='2584.4' | fill=00000000 | rows=[67] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F68 | value='2630.8' | fill=00000000 | rows=[67] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G68 | value='2660.2' | fill=00000000 | rows=[67] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H68 | value='2780.1' | fill=00000000 | rows=[67] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B69 | value='·  ·  Final consumption expenditure, General government' | fill=FFE2F2FB | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C69 | value='Millions, Euro' | fill=FFE2F2FB | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E69 | value='24803' | fill=00000000 | rows=[68] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F69 | value='24917.7' | fill=00000000 | rows=[68] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G69 | value='25477.8' | fill=00000000 | rows=[68] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H69 | value='25726.8' | fill=00000000 | rows=[68] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I69 | value='26062.4' | fill=00000000 | rows=[68] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B70 | value='·  ·  Individual consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B71 | value='·  ·  ·  Individual consumption expenditure, General government' | fill=FFE2F2FB | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C71 | value='Millions, Euro' | fill=FFE2F2FB | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E71 | value='16035.8' | fill=00000000 | rows=[70] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F71 | value='16022.1' | fill=00000000 | rows=[70] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G71 | value='16424.2' | fill=00000000 | rows=[70] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H71 | value='16602.2' | fill=00000000 | rows=[70] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B72 | value='·  ·  Collective consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[71] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B73 | value='·  ·  ·  Collective consumption expenditure, General government' | fill=FFE2F2FB | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C73 | value='Millions, Euro' | fill=FFE2F2FB | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E73 | value='8767.2' | fill=00000000 | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F73 | value='8895.6' | fill=00000000 | rows=[72] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G73 | value='9053.5' | fill=00000000 | rows=[72] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H73 | value='9124.6' | fill=00000000 | rows=[72] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B74 | value='·  Actual individual consumption, Total economy' | fill=FFE2F2FB | rows=[73] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C74 | value='Millions, Euro' | fill=FFE2F2FB | rows=[73] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E74 | value='77915.8' | fill=00000000 | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F74 | value='78504.8' | fill=00000000 | rows=[73] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G74 | value='79302.3' | fill=00000000 | rows=[73] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H74 | value='79717.5' | fill=00000000 | rows=[73] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B75 | value='·  Gross capital formation, Total economy' | fill=FFE2F2FB | rows=[74] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C75 | value='Millions, Euro' | fill=FFE2F2FB | rows=[74] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E75 | value='28275.6' | fill=00000000 | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F75 | value='26976.7' | fill=00000000 | rows=[74] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G75 | value='26114.8' | fill=00000000 | rows=[74] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H75 | value='27353.8' | fill=00000000 | rows=[74] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B76 | value='·  ·  Gross fixed capital formation, Total economy' | fill=FFE2F2FB | rows=[75] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C76 | value='Millions, Euro' | fill=FFE2F2FB | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E76 | value='29254.1' | fill=00000000 | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F76 | value='29495.2' | fill=00000000 | rows=[75] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G76 | value='29237.5' | fill=00000000 | rows=[75] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H76 | value='29130' | fill=00000000 | rows=[75] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I76 | value='29026.8' | fill=00000000 | rows=[75] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B77 | value='·  ·  Changes in inventories and acquisitions less disposals of valuables, Total economy' | fill=FFE2F2FB | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C77 | value='Millions, Euro' | fill=FFE2F2FB | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E77 | value='-978.5' | fill=00000000 | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F77 | value='-2518.4' | fill=00000000 | rows=[76] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G77 | value='-3122.6' | fill=00000000 | rows=[76] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H77 | value='-1776.2' | fill=00000000 | rows=[76] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B78 | value='·  ·  ·  Changes in inventories, Total economy' | fill=FFE2F2FB | rows=[77] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C78 | value='Millions, Euro' | fill=FFE2F2FB | rows=[77] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E78 | value='-1779.2' | fill=00000000 | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F78 | value='-3117.5' | fill=00000000 | rows=[77] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G78 | value='-3511.7' | fill=00000000 | rows=[77] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H78 | value='-2154.9' | fill=00000000 | rows=[77] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B79 | value='·  ·  ·  Acquisitions less disposals of valuables, Total economy' | fill=FFE2F2FB | rows=[78] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C79 | value='Millions, Euro' | fill=FFE2F2FB | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E79 | value='800.7' | fill=00000000 | rows=[78] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F79 | value='599.1' | fill=00000000 | rows=[78] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G79 | value='389.1' | fill=00000000 | rows=[78] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H79 | value='378.7' | fill=00000000 | rows=[78] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B80 | value='·  External balance of goods and services, Total economy' | fill=FFE2F2FB | rows=[79] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C80 | value='Millions, Euro' | fill=FFE2F2FB | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E80 | value='2851.3' | fill=00000000 | rows=[79] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F80 | value='4234.2' | fill=00000000 | rows=[79] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G80 | value='6121.5' | fill=00000000 | rows=[79] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H80 | value='5013.6' | fill=00000000 | rows=[79] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B81 | value='·  ·  Exports of goods and services, Total economy' | fill=FFE2F2FB | rows=[80] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C81 | value='Millions, Euro' | fill=FFE2F2FB | rows=[80] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E81 | value='69174.7' | fill=00000000 | rows=[80] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F81 | value='69199.6' | fill=00000000 | rows=[80] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G81 | value='69793.1' | fill=00000000 | rows=[80] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H81 | value='69299.7' | fill=00000000 | rows=[80] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I81 | value='69893.3' | fill=00000000 | rows=[80] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B82 | value='·  ·  ·  Exports of goods, Total economy' | fill=FFE2F2FB | rows=[81] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C82 | value='Millions, Euro' | fill=FFE2F2FB | rows=[81] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E82 | value='48231.2' | fill=00000000 | rows=[81] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F82 | value='48091' | fill=00000000 | rows=[81] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G82 | value='48159.6' | fill=00000000 | rows=[81] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H82 | value='47643.6' | fill=00000000 | rows=[81] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B83 | value='·  ·  ·  Exports of services, Total economy' | fill=FFE2F2FB | rows=[82] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C83 | value='Millions, Euro' | fill=FFE2F2FB | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E83 | value='20943.5' | fill=00000000 | rows=[82] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F83 | value='21108.6' | fill=00000000 | rows=[82] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G83 | value='21633.4' | fill=00000000 | rows=[82] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H83 | value='21656.1' | fill=00000000 | rows=[82] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B84 | value='·  ·  Imports of goods and services, Total economy' | fill=FFE2F2FB | rows=[83] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C84 | value='Millions, Euro' | fill=FFE2F2FB | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E84 | value='66323.4' | fill=00000000 | rows=[83] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F84 | value='64965.4' | fill=00000000 | rows=[83] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G84 | value='63671.6' | fill=00000000 | rows=[83] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H84 | value='64286.1' | fill=00000000 | rows=[83] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I84 | value='64630.2' | fill=00000000 | rows=[83] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B85 | value='·  ·  ·  Imports of goods, Total economy' | fill=FFE2F2FB | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C85 | value='Millions, Euro' | fill=FFE2F2FB | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E85 | value='46937.3' | fill=00000000 | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F85 | value='45294.4' | fill=00000000 | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G85 | value='43921.2' | fill=00000000 | rows=[84] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H85 | value='44320.6' | fill=00000000 | rows=[84] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B86 | value='·  ·  ·  Imports of services, Total economy' | fill=FFE2F2FB | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C86 | value='Millions, Euro' | fill=FFE2F2FB | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E86 | value='19386' | fill=00000000 | rows=[85] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F86 | value='19670.9' | fill=00000000 | rows=[85] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G86 | value='19750.5' | fill=00000000 | rows=[85] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H86 | value='19965.4' | fill=00000000 | rows=[85] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B87 | value='·  Statistical discrepancy (expenditure approach), Total economy' | fill=FFE2F2FB | rows=[86] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C87 | value='Millions, Euro' | fill=FFE2F2FB | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E87 | value='770.5' | fill=00000000 | rows=[86] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F87 | value='30.5' | fill=00000000 | rows=[86] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G87 | value='-1316.4' | fill=00000000 | rows=[86] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H87 | value='-1025.3' | fill=00000000 | rows=[86] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B88 | value='Adjustment: Calendar and seasonally adjusted' | fill=00000000 | rows=[87] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B89 | value='Unit of measure: US dollars, PPP converted' | fill=00000000 | rows=[88] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B90 | value='Price base: Chain linked volume (rebased)' | fill=00000000 | rows=[89] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B91 | value='Transformation: Annual levels' | fill=00000000 | rows=[90] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B92 | value='Gross domestic product, Total economy' | fill=FFE2F2FB | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C92 | value='2020, Millions, US dollar' | fill=FFE2F2FB | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E92 | value='569410.9' | fill=00000000 | rows=[91] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F92 | value='566371.5' | fill=00000000 | rows=[91] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G92 | value='567567.9' | fill=00000000 | rows=[91] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H92 | value='567338.7' | fill=00000000 | rows=[91] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I92 | value='568834.7' | fill=00000000 | rows=[91] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B93 | value='·  Final consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[92] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B94 | value='·  ·  Final consumption expenditure, Households and non-profit institutions serving households (NPISH)' | fill=FFE2F2FB | rows=[93] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C94 | value='2020, Millions, US dollar' | fill=FFE2F2FB | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E94 | value='284180.4' | fill=00000000 | rows=[93] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F94 | value='283608.3' | fill=00000000 | rows=[93] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G94 | value='284539' | fill=00000000 | rows=[93] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H94 | value='282790.9' | fill=00000000 | rows=[93] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I94 | value='284120' | fill=00000000 | rows=[93] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B95 | value='·  ·  Final consumption expenditure, General government' | fill=FFE2F2FB | rows=[94] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C95 | value='2020, Millions, US dollar' | fill=FFE2F2FB | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E95 | value='121666.8' | fill=00000000 | rows=[94] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F95 | value='119697.5' | fill=00000000 | rows=[94] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G95 | value='120954.1' | fill=00000000 | rows=[94] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H95 | value='120699.3' | fill=00000000 | rows=[94] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I95 | value='121251.1' | fill=00000000 | rows=[94] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B96 | value='·  Gross capital formation' | fill=FFE2F2FB | rows=[95] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B97 | value='·  ·  Gross fixed capital formation, Total economy' | fill=FFE2F2FB | rows=[96] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C97 | value='2020, Millions, US dollar' | fill=FFE2F2FB | rows=[96] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E97 | value='134087.9' | fill=00000000 | rows=[96] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F97 | value='134319.1' | fill=00000000 | rows=[96] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G97 | value='131794.5' | fill=00000000 | rows=[96] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H97 | value='130936.6' | fill=00000000 | rows=[96] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I97 | value='130482.5' | fill=00000000 | rows=[96] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B98 | value='·  External balance of goods and services' | fill=FFE2F2FB | rows=[97] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B99 | value='·  ·  Exports of goods and services, Total economy' | fill=FFE2F2FB | rows=[98] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C99 | value='2020, Millions, US dollar' | fill=FFE2F2FB | rows=[98] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E99 | value='318617.5' | fill=00000000 | rows=[98] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F99 | value='316857.1' | fill=00000000 | rows=[98] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G99 | value='317137.9' | fill=00000000 | rows=[98] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H99 | value='313941.8' | fill=00000000 | rows=[98] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I99 | value='317592' | fill=00000000 | rows=[98] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B100 | value='·  ·  Imports of goods and services, Total economy' | fill=FFE2F2FB | rows=[99] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C100 | value='2020, Millions, US dollar' | fill=FFE2F2FB | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E100 | value='291622.7' | fill=00000000 | rows=[99] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F100 | value='283136.3' | fill=00000000 | rows=[99] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G100 | value='283013.9' | fill=00000000 | rows=[99] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H100 | value='281694.8' | fill=00000000 | rows=[99] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I100 | value='286361.1' | fill=00000000 | rows=[99] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell B101 | value='Adjustment: Calendar and seasonally adjusted' | fill=00000000 | rows=[100] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B102 | value='Unit of measure: US dollars, PPP converted' | fill=00000000 | rows=[101] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B103 | value='Price base: Current prices' | fill=00000000 | rows=[102] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B104 | value='Transformation: Annual levels' | fill=00000000 | rows=[103] | cols=[1, 2, 3, 4, 5, 6, 7] | col_header=False | row_header=False | metadata=False
Cell B105 | value='Gross domestic product, Total economy' | fill=FFE2F2FB | rows=[104] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C105 | value='Millions, US dollar' | fill=FFE2F2FB | rows=[104] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E105 | value='671025.8' | fill=00000000 | rows=[104] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F105 | value='670763.4' | fill=00000000 | rows=[104] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G105 | value='673422.8' | fill=00000000 | rows=[104] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H105 | value='677185.8' | fill=00000000 | rows=[104] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell B106 | value='·  Final consumption expenditure, Total economy' | fill=FFE2F2FB | rows=[105] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B107 | value='·  ·  Final consumption expenditure, Households and non-profit institutions serving households (NPISH)' | fill=FFE2F2FB | rows=[106] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C107 | value='Millions, US dollar' | fill=FFE2F2FB | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell E107 | value='350168.3' | fill=00000000 | rows=[106] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F107 | value='353257.3' | fill=00000000 | rows=[106] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G107 | value='355005.2' | fill=00000000 | rows=[106] | cols=[6] | col_header=False | row_header=False | metadata=False
