=== economy-table29.xlsx ===
Cell B1 | value='Fossil Fuel Support - China' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell D83 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[82] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E83 | value='Coal' | fill=FFE2F2FB | rows=[82] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B84 | value='VAT Rebates for Oil-Shale Products and Coal-Mining By-Products' | fill=FFE2F2FB | rows=[83] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C84 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D84 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[83] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E84 | value='·  Oil Shale' | fill=FFE2F2FB | rows=[83] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F84 | value='Total economy' | fill=FFE2F2FB | rows=[83] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B85 | value='VAT Rebates for Oil-Shale Products and Coal-Mining By-Products' | fill=FFE2F2FB | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C85 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D85 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[84] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E85 | value='·  Oil Shale' | fill=FFE2F2FB | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F85 | value='·  General government' | fill=FFE2F2FB | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B86 | value='VAT Rebates for Oil-Shale Products and Coal-Mining By-Products' | fill=FFE2F2FB | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C86 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D86 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[85] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E86 | value='·  Oil Shale' | fill=FFE2F2FB | rows=[85] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F86 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[85] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H86 | value='..' | fill=00000000 | rows=[85] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I86 | value='..' | fill=00000000 | rows=[85] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J86 | value='..' | fill=00000000 | rows=[85] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K86 | value='..' | fill=00000000 | rows=[85] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L86 | value='..' | fill=00000000 | rows=[85] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M86 | value='..' | fill=00000000 | rows=[85] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N86 | value='..' | fill=00000000 | rows=[85] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O86 | value='..' | fill=00000000 | rows=[85] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P86 | value='..' | fill=00000000 | rows=[85] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q86 | value='..' | fill=00000000 | rows=[85] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R86 | value='..' | fill=00000000 | rows=[85] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S86 | value='..' | fill=00000000 | rows=[85] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T86 | value='..' | fill=00000000 | rows=[85] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U86 | value='..' | fill=00000000 | rows=[85] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B87 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[86] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C87 | value='Total' | fill=FFE2F2FB | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B88 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[87] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C88 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B89 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[88] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C89 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D89 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[88] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E89 | value='Petroleum' | fill=FFE2F2FB | rows=[88] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B90 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[89] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C90 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[89] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D90 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[89] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E90 | value='·  Fuel oil' | fill=FFE2F2FB | rows=[89] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F90 | value='Total economy' | fill=FFE2F2FB | rows=[89] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B91 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[90] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C91 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D91 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[90] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E91 | value='·  Fuel oil' | fill=FFE2F2FB | rows=[90] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F91 | value='·  General government' | fill=FFE2F2FB | rows=[90] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B92 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C92 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D92 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[91] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E92 | value='·  Fuel oil' | fill=FFE2F2FB | rows=[91] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F92 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[91] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H92 | value='..' | fill=00000000 | rows=[91] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I92 | value='..' | fill=00000000 | rows=[91] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J92 | value='..' | fill=00000000 | rows=[91] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K92 | value='..' | fill=00000000 | rows=[91] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L92 | value='..' | fill=00000000 | rows=[91] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M92 | value='..' | fill=00000000 | rows=[91] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N92 | value='..' | fill=00000000 | rows=[91] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O92 | value='..' | fill=00000000 | rows=[91] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P92 | value='..' | fill=00000000 | rows=[91] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q92 | value='..' | fill=00000000 | rows=[91] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R92 | value='..' | fill=00000000 | rows=[91] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S92 | value='..' | fill=00000000 | rows=[91] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T92 | value='..' | fill=00000000 | rows=[91] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U92 | value='..' | fill=00000000 | rows=[91] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B93 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[92] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C93 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[92] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D93 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[92] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E93 | value='·  Naphtha' | fill=FFE2F2FB | rows=[92] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F93 | value='Total economy' | fill=FFE2F2FB | rows=[92] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B94 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[93] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C94 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D94 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[93] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E94 | value='·  Naphtha' | fill=FFE2F2FB | rows=[93] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F94 | value='·  General government' | fill=FFE2F2FB | rows=[93] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B95 | value='Naphtha and Fuel-Oil Excise-Tax Exemptions and Rebates' | fill=FFE2F2FB | rows=[94] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C95 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[94] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D95 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[94] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E95 | value='·  Naphtha' | fill=FFE2F2FB | rows=[94] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F95 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[94] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H95 | value='..' | fill=00000000 | rows=[94] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I95 | value='..' | fill=00000000 | rows=[94] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J95 | value='..' | fill=00000000 | rows=[94] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K95 | value='..' | fill=00000000 | rows=[94] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L95 | value='..' | fill=00000000 | rows=[94] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M95 | value='..' | fill=00000000 | rows=[94] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N95 | value='..' | fill=00000000 | rows=[94] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O95 | value='..' | fill=00000000 | rows=[94] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P95 | value='..' | fill=00000000 | rows=[94] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q95 | value='..' | fill=00000000 | rows=[94] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R95 | value='..' | fill=00000000 | rows=[94] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S95 | value='..' | fill=00000000 | rows=[94] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T95 | value='..' | fill=00000000 | rows=[94] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U95 | value='..' | fill=00000000 | rows=[94] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B96 | value='Zero Excise Tax on MTBE, Aromatics and Mixed Aromatics' | fill=FFE2F2FB | rows=[95] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C96 | value='Total' | fill=FFE2F2FB | rows=[95] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B97 | value='Zero Excise Tax on MTBE, Aromatics and Mixed Aromatics' | fill=FFE2F2FB | rows=[96] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C97 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[96] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B98 | value='Zero Excise Tax on MTBE, Aromatics and Mixed Aromatics' | fill=FFE2F2FB | rows=[97] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C98 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[97] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D98 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[97] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E98 | value='Petroleum' | fill=FFE2F2FB | rows=[97] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B99 | value='Zero Excise Tax on MTBE, Aromatics and Mixed Aromatics' | fill=FFE2F2FB | rows=[98] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C99 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[98] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D99 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[98] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E99 | value='·  Other oil products' | fill=FFE2F2FB | rows=[98] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F99 | value='Total economy' | fill=FFE2F2FB | rows=[98] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B100 | value='Zero Excise Tax on MTBE, Aromatics and Mixed Aromatics' | fill=FFE2F2FB | rows=[99] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C100 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[99] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D100 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[99] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E100 | value='·  Other oil products' | fill=FFE2F2FB | rows=[99] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F100 | value='·  General government' | fill=FFE2F2FB | rows=[99] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B101 | value='Zero Excise Tax on MTBE, Aromatics and Mixed Aromatics' | fill=FFE2F2FB | rows=[100] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C101 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[100] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D101 | value='Refining or processing stage' | fill=FFE2F2FB | rows=[100] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E101 | value='·  Other oil products' | fill=FFE2F2FB | rows=[100] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F101 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[100] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H101 | value='..' | fill=00000000 | rows=[100] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I101 | value='..' | fill=00000000 | rows=[100] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J101 | value='..' | fill=00000000 | rows=[100] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K101 | value='..' | fill=00000000 | rows=[100] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L101 | value='..' | fill=00000000 | rows=[100] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M101 | value='..' | fill=00000000 | rows=[100] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N101 | value='..' | fill=00000000 | rows=[100] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O101 | value='..' | fill=00000000 | rows=[100] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P101 | value='..' | fill=00000000 | rows=[100] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q101 | value='..' | fill=00000000 | rows=[100] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R101 | value='..' | fill=00000000 | rows=[100] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S101 | value='..' | fill=00000000 | rows=[100] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T101 | value='..' | fill=00000000 | rows=[100] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U101 | value='..' | fill=00000000 | rows=[100] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B102 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[101] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C102 | value='Total' | fill=FFE2F2FB | rows=[101] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B103 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[102] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C103 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[102] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B104 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[103] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C104 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[103] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D104 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[103] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E104 | value='Petroleum' | fill=FFE2F2FB | rows=[103] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B105 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[104] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C105 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[104] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D105 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[104] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E105 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[104] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F105 | value='Total economy' | fill=FFE2F2FB | rows=[104] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B106 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[105] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C106 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[105] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D106 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[105] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E106 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[105] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F106 | value='·  General government' | fill=FFE2F2FB | rows=[105] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B107 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[106] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C107 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[106] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D107 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[106] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E107 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[106] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F107 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[106] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H107 | value='..' | fill=00000000 | rows=[106] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I107 | value='..' | fill=00000000 | rows=[106] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J107 | value='..' | fill=00000000 | rows=[106] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K107 | value='..' | fill=00000000 | rows=[106] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L107 | value='..' | fill=00000000 | rows=[106] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M107 | value='..' | fill=00000000 | rows=[106] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N107 | value='..' | fill=00000000 | rows=[106] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O107 | value='..' | fill=00000000 | rows=[106] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P107 | value='..' | fill=00000000 | rows=[106] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q107 | value='..' | fill=00000000 | rows=[106] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R107 | value='..' | fill=00000000 | rows=[106] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S107 | value='..' | fill=00000000 | rows=[106] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T107 | value='..' | fill=00000000 | rows=[106] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U107 | value='..' | fill=00000000 | rows=[106] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B108 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[107] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C108 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[107] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D108 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[107] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E108 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[107] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F108 | value='Total economy' | fill=FFE2F2FB | rows=[107] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B109 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[108] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C109 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[108] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D109 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[108] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E109 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[108] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F109 | value='·  General government' | fill=FFE2F2FB | rows=[108] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B110 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[109] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C110 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[109] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D110 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[109] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E110 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[109] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F110 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[109] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H110 | value='..' | fill=00000000 | rows=[109] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I110 | value='..' | fill=00000000 | rows=[109] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J110 | value='..' | fill=00000000 | rows=[109] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K110 | value='..' | fill=00000000 | rows=[109] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L110 | value='..' | fill=00000000 | rows=[109] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M110 | value='..' | fill=00000000 | rows=[109] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N110 | value='..' | fill=00000000 | rows=[109] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O110 | value='..' | fill=00000000 | rows=[109] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P110 | value='..' | fill=00000000 | rows=[109] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q110 | value='..' | fill=00000000 | rows=[109] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R110 | value='..' | fill=00000000 | rows=[109] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S110 | value='..' | fill=00000000 | rows=[109] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T110 | value='..' | fill=00000000 | rows=[109] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U110 | value='..' | fill=00000000 | rows=[109] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B111 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[110] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C111 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[110] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D111 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[110] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E111 | value='·  Fuel oil' | fill=FFE2F2FB | rows=[110] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F111 | value='Total economy' | fill=FFE2F2FB | rows=[110] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B112 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[111] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C112 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[111] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D112 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[111] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E112 | value='·  Fuel oil' | fill=FFE2F2FB | rows=[111] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F112 | value='·  General government' | fill=FFE2F2FB | rows=[111] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B113 | value='Refund of Excise Tax for Own Use of Fuel in Oil and Gas Fields' | fill=FFE2F2FB | rows=[112] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C113 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[112] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D113 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[112] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E113 | value='·  Fuel oil' | fill=FFE2F2FB | rows=[112] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F113 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[112] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H113 | value='..' | fill=00000000 | rows=[112] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I113 | value='..' | fill=00000000 | rows=[112] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J113 | value='..' | fill=00000000 | rows=[112] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K113 | value='..' | fill=00000000 | rows=[112] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L113 | value='..' | fill=00000000 | rows=[112] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M113 | value='..' | fill=00000000 | rows=[112] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N113 | value='..' | fill=00000000 | rows=[112] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O113 | value='..' | fill=00000000 | rows=[112] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P113 | value='..' | fill=00000000 | rows=[112] | cols=[15] | col_header=False | row_header=False | metadata=False
