=== food-table11.xlsx ===
Cell A1 | value='Per capita sales of food for all purchasers with taxes and tips, by State' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell F368 | value='1089.58' | fill=00000000 | rows=[367] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G368 | value='901.83' | fill=00000000 | rows=[367] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H368 | value='1991.41' | fill=00000000 | rows=[367] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A369 | value='2010' | fill=00000000 | rows=[368] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B369 | value='Illinois' | fill=00000000 | rows=[368] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C369 | value='1943.33' | fill=00000000 | rows=[368] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D369 | value='1704.51' | fill=00000000 | rows=[368] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E369 | value='3647.84' | fill=00000000 | rows=[368] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F369 | value='1082.51' | fill=00000000 | rows=[368] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G369 | value='902.36' | fill=00000000 | rows=[368] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H369 | value='1984.87' | fill=00000000 | rows=[368] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A370 | value='2011' | fill=00000000 | rows=[369] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B370 | value='Illinois' | fill=00000000 | rows=[369] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C370 | value='1994.53' | fill=00000000 | rows=[369] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D370 | value='1787.52' | fill=00000000 | rows=[369] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E370 | value='3782.05' | fill=00000000 | rows=[369] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F370 | value='1061.14' | fill=00000000 | rows=[369] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G370 | value='923.04' | fill=00000000 | rows=[369] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H370 | value='1984.18' | fill=00000000 | rows=[369] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A371 | value='2012' | fill=00000000 | rows=[370] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B371 | value='Illinois' | fill=00000000 | rows=[370] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C371 | value='2117.09' | fill=00000000 | rows=[370] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D371 | value='1875.23' | fill=00000000 | rows=[370] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E371 | value='3992.32' | fill=00000000 | rows=[370] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F371 | value='1097.59' | fill=00000000 | rows=[370] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G371 | value='940.97' | fill=00000000 | rows=[370] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H371 | value='2038.56' | fill=00000000 | rows=[370] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A372 | value='2013' | fill=00000000 | rows=[371] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B372 | value='Illinois' | fill=00000000 | rows=[371] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C372 | value='2074.79' | fill=00000000 | rows=[371] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D372 | value='1949.3' | fill=00000000 | rows=[371] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E372 | value='4024.09' | fill=00000000 | rows=[371] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F372 | value='1069.74' | fill=00000000 | rows=[371] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G372 | value='955.09' | fill=00000000 | rows=[371] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H372 | value='2024.83' | fill=00000000 | rows=[371] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A373 | value='2014' | fill=00000000 | rows=[372] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B373 | value='Illinois' | fill=00000000 | rows=[372] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C373 | value='2091.76' | fill=00000000 | rows=[372] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D373 | value='2080.23' | fill=00000000 | rows=[372] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E373 | value='4171.99' | fill=00000000 | rows=[372] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F373 | value='1052.36' | fill=00000000 | rows=[372] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G373 | value='991.83' | fill=00000000 | rows=[372] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H373 | value='2044.19' | fill=00000000 | rows=[372] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A374 | value='2015' | fill=00000000 | rows=[373] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B374 | value='Illinois' | fill=00000000 | rows=[373] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C374 | value='2045.7' | fill=00000000 | rows=[373] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D374 | value='2275.81' | fill=00000000 | rows=[373] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E374 | value='4321.5' | fill=00000000 | rows=[373] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F374 | value='1023.53' | fill=00000000 | rows=[373] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G374 | value='1052.9' | fill=00000000 | rows=[373] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H374 | value='2076.44' | fill=00000000 | rows=[373] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A375 | value='2016' | fill=00000000 | rows=[374] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B375 | value='Illinois' | fill=00000000 | rows=[374] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C375 | value='2014.61' | fill=00000000 | rows=[374] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D375 | value='2434.54' | fill=00000000 | rows=[374] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E375 | value='4449.15' | fill=00000000 | rows=[374] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F375 | value='1021.57' | fill=00000000 | rows=[374] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G375 | value='1098.25' | fill=00000000 | rows=[374] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H375 | value='2119.81' | fill=00000000 | rows=[374] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A376 | value='2017' | fill=00000000 | rows=[375] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B376 | value='Illinois' | fill=00000000 | rows=[375] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C376 | value='1972.93' | fill=00000000 | rows=[375] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D376 | value='2595.22' | fill=00000000 | rows=[375] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E376 | value='4568.15' | fill=00000000 | rows=[375] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F376 | value='1004.01' | fill=00000000 | rows=[375] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G376 | value='1151.49' | fill=00000000 | rows=[375] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H376 | value='2155.5' | fill=00000000 | rows=[375] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A377 | value='2018' | fill=00000000 | rows=[376] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B377 | value='Illinois' | fill=00000000 | rows=[376] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C377 | value='2017.04' | fill=00000000 | rows=[376] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D377 | value='2710.63' | fill=00000000 | rows=[376] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E377 | value='4727.67' | fill=00000000 | rows=[376] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F377 | value='1026.16' | fill=00000000 | rows=[376] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G377 | value='1174.62' | fill=00000000 | rows=[376] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H377 | value='2200.77' | fill=00000000 | rows=[376] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A378 | value='2019' | fill=00000000 | rows=[377] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B378 | value='Illinois' | fill=00000000 | rows=[377] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C378 | value='2056.18' | fill=00000000 | rows=[377] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D378 | value='2828.56' | fill=00000000 | rows=[377] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E378 | value='4884.74' | fill=00000000 | rows=[377] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F378 | value='1040.94' | fill=00000000 | rows=[377] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G378 | value='1193.82' | fill=00000000 | rows=[377] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H378 | value='2234.76' | fill=00000000 | rows=[377] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A379 | value='2020' | fill=00000000 | rows=[378] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B379 | value='Illinois' | fill=00000000 | rows=[378] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C379 | value='2159.35' | fill=00000000 | rows=[378] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D379 | value='2368.94' | fill=00000000 | rows=[378] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E379 | value='4528.29' | fill=00000000 | rows=[378] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F379 | value='1062.5' | fill=00000000 | rows=[378] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G379 | value='975' | fill=00000000 | rows=[378] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H379 | value='2037.5' | fill=00000000 | rows=[378] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A380 | value='2021' | fill=00000000 | rows=[379] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B380 | value='Illinois' | fill=00000000 | rows=[379] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C380 | value='2316.96' | fill=00000000 | rows=[379] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D380 | value='2924.13' | fill=00000000 | rows=[379] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E380 | value='5241.09' | fill=00000000 | rows=[379] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F380 | value='1102.25' | fill=00000000 | rows=[379] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G380 | value='1145.25' | fill=00000000 | rows=[379] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H380 | value='2247.5' | fill=00000000 | rows=[379] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A381 | value='2022' | fill=00000000 | rows=[380] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B381 | value='Illinois' | fill=00000000 | rows=[380] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C381 | value='2518.7' | fill=00000000 | rows=[380] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D381 | value='3432.39' | fill=00000000 | rows=[380] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E381 | value='5951.08' | fill=00000000 | rows=[380] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F381 | value='1061.72' | fill=00000000 | rows=[380] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G381 | value='1236.33' | fill=00000000 | rows=[380] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H381 | value='2298.06' | fill=00000000 | rows=[380] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A382 | value='2023' | fill=00000000 | rows=[381] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B382 | value='Illinois' | fill=00000000 | rows=[381] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C382 | value='2518.62' | fill=00000000 | rows=[381] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D382 | value='3792.18' | fill=00000000 | rows=[381] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E382 | value='6310.8' | fill=00000000 | rows=[381] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F382 | value='1009.05' | fill=00000000 | rows=[381] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G382 | value='1278.82' | fill=00000000 | rows=[381] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H382 | value='2287.87' | fill=00000000 | rows=[381] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A383 | value='1997' | fill=00000000 | rows=[382] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B383 | value='Indiana' | fill=00000000 | rows=[382] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C383 | value='1387' | fill=00000000 | rows=[382] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D383 | value='1048.12' | fill=00000000 | rows=[382] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E383 | value='2435.12' | fill=00000000 | rows=[382] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F383 | value='1037.32' | fill=00000000 | rows=[382] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G383 | value='799.31' | fill=00000000 | rows=[382] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H383 | value='1836.63' | fill=00000000 | rows=[382] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A384 | value='1998' | fill=00000000 | rows=[383] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B384 | value='Indiana' | fill=00000000 | rows=[383] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C384 | value='1401.98' | fill=00000000 | rows=[383] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D384 | value='1077.95' | fill=00000000 | rows=[383] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E384 | value='2479.93' | fill=00000000 | rows=[383] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F384 | value='1029.79' | fill=00000000 | rows=[383] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G384 | value='801.33' | fill=00000000 | rows=[383] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H384 | value='1831.11' | fill=00000000 | rows=[383] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A385 | value='1999' | fill=00000000 | rows=[384] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B385 | value='Indiana' | fill=00000000 | rows=[384] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C385 | value='1419.7' | fill=00000000 | rows=[384] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D385 | value='1117.15' | fill=00000000 | rows=[384] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E385 | value='2536.85' | fill=00000000 | rows=[384] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F385 | value='1021.3' | fill=00000000 | rows=[384] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G385 | value='810.04' | fill=00000000 | rows=[384] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H385 | value='1831.33' | fill=00000000 | rows=[384] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A386 | value='2000' | fill=00000000 | rows=[385] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B386 | value='Indiana' | fill=00000000 | rows=[385] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C386 | value='1438' | fill=00000000 | rows=[385] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D386 | value='1155.18' | fill=00000000 | rows=[385] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E386 | value='2593.18' | fill=00000000 | rows=[385] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F386 | value='1011.08' | fill=00000000 | rows=[385] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G386 | value='814.57' | fill=00000000 | rows=[385] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H386 | value='1825.65' | fill=00000000 | rows=[385] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A387 | value='2001' | fill=00000000 | rows=[386] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B387 | value='Indiana' | fill=00000000 | rows=[386] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C387 | value='1449.2' | fill=00000000 | rows=[386] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D387 | value='1196.65' | fill=00000000 | rows=[386] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E387 | value='2645.85' | fill=00000000 | rows=[386] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F387 | value='988.17' | fill=00000000 | rows=[386] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G387 | value='820.26' | fill=00000000 | rows=[386] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H387 | value='1808.43' | fill=00000000 | rows=[386] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A388 | value='2002' | fill=00000000 | rows=[387] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B388 | value='Indiana' | fill=00000000 | rows=[387] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C388 | value='1441.88' | fill=00000000 | rows=[387] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D388 | value='1232.14' | fill=00000000 | rows=[387] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E388 | value='2674.02' | fill=00000000 | rows=[387] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F388 | value='975.66' | fill=00000000 | rows=[387] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G388 | value='826.8' | fill=00000000 | rows=[387] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H388 | value='1802.46' | fill=00000000 | rows=[387] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A389 | value='2003' | fill=00000000 | rows=[388] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B389 | value='Indiana' | fill=00000000 | rows=[388] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C389 | value='1483.32' | fill=00000000 | rows=[388] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D389 | value='1286.17' | fill=00000000 | rows=[388] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E389 | value='2769.49' | fill=00000000 | rows=[388] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F389 | value='989.74' | fill=00000000 | rows=[388] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G389 | value='846.2' | fill=00000000 | rows=[388] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H389 | value='1835.94' | fill=00000000 | rows=[388] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A390 | value='2004' | fill=00000000 | rows=[389] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B390 | value='Indiana' | fill=00000000 | rows=[389] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C390 | value='1552.96' | fill=00000000 | rows=[389] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D390 | value='1347.84' | fill=00000000 | rows=[389] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E390 | value='2900.8' | fill=00000000 | rows=[389] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F390 | value='1007.02' | fill=00000000 | rows=[389] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G390 | value='861.3' | fill=00000000 | rows=[389] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H390 | value='1868.32' | fill=00000000 | rows=[389] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A391 | value='2005' | fill=00000000 | rows=[390] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B391 | value='Indiana' | fill=00000000 | rows=[390] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C391 | value='1634.94' | fill=00000000 | rows=[390] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D391 | value='1396.52' | fill=00000000 | rows=[390] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E391 | value='3031.46' | fill=00000000 | rows=[390] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F391 | value='1037.96' | fill=00000000 | rows=[390] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G391 | value='862.94' | fill=00000000 | rows=[390] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H391 | value='1900.9' | fill=00000000 | rows=[390] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A392 | value='2006' | fill=00000000 | rows=[391] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B392 | value='Indiana' | fill=00000000 | rows=[391] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C392 | value='1698.36' | fill=00000000 | rows=[391] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D392 | value='1454.99' | fill=00000000 | rows=[391] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E392 | value='3153.35' | fill=00000000 | rows=[391] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F392 | value='1061.24' | fill=00000000 | rows=[391] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G392 | value='875.22' | fill=00000000 | rows=[391] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H392 | value='1936.46' | fill=00000000 | rows=[391] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A393 | value='2007' | fill=00000000 | rows=[392] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B393 | value='Indiana' | fill=00000000 | rows=[392] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C393 | value='1741.68' | fill=00000000 | rows=[392] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D393 | value='1492.4' | fill=00000000 | rows=[392] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E393 | value='3234.09' | fill=00000000 | rows=[392] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F393 | value='1046.74' | fill=00000000 | rows=[392] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G393 | value='867.84' | fill=00000000 | rows=[392] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H393 | value='1914.58' | fill=00000000 | rows=[392] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A394 | value='2008' | fill=00000000 | rows=[393] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B394 | value='Indiana' | fill=00000000 | rows=[393] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C394 | value='1781.6' | fill=00000000 | rows=[393] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D394 | value='1522.56' | fill=00000000 | rows=[393] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E394 | value='3304.17' | fill=00000000 | rows=[393] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F394 | value='1006.31' | fill=00000000 | rows=[393] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G394 | value='845.32' | fill=00000000 | rows=[393] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H394 | value='1851.62' | fill=00000000 | rows=[393] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A395 | value='2009' | fill=00000000 | rows=[394] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B395 | value='Indiana' | fill=00000000 | rows=[394] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C395 | value='1735.35' | fill=00000000 | rows=[394] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D395 | value='1503.74' | fill=00000000 | rows=[394] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E395 | value='3239.09' | fill=00000000 | rows=[394] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F395 | value='970.97' | fill=00000000 | rows=[394] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G395 | value='804.82' | fill=00000000 | rows=[394] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H395 | value='1775.8' | fill=00000000 | rows=[394] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A396 | value='2010' | fill=00000000 | rows=[395] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B396 | value='Indiana' | fill=00000000 | rows=[395] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C396 | value='1752.61' | fill=00000000 | rows=[395] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D396 | value='1527.51' | fill=00000000 | rows=[395] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E396 | value='3280.12' | fill=00000000 | rows=[395] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F396 | value='976.27' | fill=00000000 | rows=[395] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G396 | value='808.65' | fill=00000000 | rows=[395] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H396 | value='1784.93' | fill=00000000 | rows=[395] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A397 | value='2011' | fill=00000000 | rows=[396] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B397 | value='Indiana' | fill=00000000 | rows=[396] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C397 | value='1821.71' | fill=00000000 | rows=[396] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D397 | value='1611.29' | fill=00000000 | rows=[396] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E397 | value='3433' | fill=00000000 | rows=[396] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F397 | value='969.2' | fill=00000000 | rows=[396] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G397 | value='832.04' | fill=00000000 | rows=[396] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H397 | value='1801.24' | fill=00000000 | rows=[396] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A398 | value='2012' | fill=00000000 | rows=[397] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B398 | value='Indiana' | fill=00000000 | rows=[397] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C398 | value='1964.98' | fill=00000000 | rows=[397] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D398 | value='1701.1' | fill=00000000 | rows=[397] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E398 | value='3666.08' | fill=00000000 | rows=[397] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F398 | value='1018.73' | fill=00000000 | rows=[397] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G398 | value='853.59' | fill=00000000 | rows=[397] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H398 | value='1872.32' | fill=00000000 | rows=[397] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A399 | value='2013' | fill=00000000 | rows=[398] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B399 | value='Indiana' | fill=00000000 | rows=[398] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C399 | value='2007.55' | fill=00000000 | rows=[398] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D399 | value='1764.87' | fill=00000000 | rows=[398] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E399 | value='3772.41' | fill=00000000 | rows=[398] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F399 | value='1035.07' | fill=00000000 | rows=[398] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G399 | value='864.72' | fill=00000000 | rows=[398] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H399 | value='1899.79' | fill=00000000 | rows=[398] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A400 | value='2014' | fill=00000000 | rows=[399] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B400 | value='Indiana' | fill=00000000 | rows=[399] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C400 | value='2060.53' | fill=00000000 | rows=[399] | cols=[2] | col_header=False | row_header=False | metadata=False
