=== education-table19.xlsx ===
Cell A2 | value='Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] | col_header=False | row_header=False | metadata=True
Cell I15 | value='3304' | fill=None | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='69.0635451505017' | fill=None | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='443' | fill=None | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='9.26003344481605' | fill=None | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='692' | fill=None | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='14.4648829431438' | fill=None | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='29' | fill=None | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='0.6061872909699' | fill=None | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='94' | fill=None | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='1.96488294314381' | fill=None | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='508' | fill=None | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='10.61872909699' | fill=None | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='50' | fill=None | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V15 | value='1.04515050167224' | fill=None | rows=[14] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W15 | value='2117' | fill=None | rows=[14] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X15 | value='44.2516722408027' | fill=None | rows=[14] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y15 | value='5976' | fill=None | rows=[14] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z15 | value='99.9665327978581' | fill=None | rows=[14] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A16 | value='3' | fill=None | rows=[15, 16, 17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Male' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='1436' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='58.6361780318497' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='13' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='0.530828909759085' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='58' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='2.36831359738669' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='963' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='39.3221723152307' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='137' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='5.59412004899959' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='238' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='9.7182523478971' | fill=00000000 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='10' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='0.408329930583912' | fill=00000000 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='17' | fill=00000000 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='0.69416088199265' | fill=00000000 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='221' | fill=00000000 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='9.02409146590445' | fill=00000000 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='28' | fill=00000000 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V16 | value='1.14332380563495' | fill=00000000 | rows=[15] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W16 | value='599' | fill=00000000 | rows=[15] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X16 | value='24.4589628419763' | fill=00000000 | rows=[15] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y16 | value='5975' | fill=00000000 | rows=[15] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z16 | value='99.9665271966527' | fill=00000000 | rows=[15] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Female' | fill=None | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='1013' | fill=None | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='41.3638219681503' | fill=None | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='4' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='0.163331972233565' | fill=None | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='30' | fill=None | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='1.22498979175174' | fill=None | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='704' | fill=None | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='28.7464271131074' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='95' | fill=None | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='3.87913434054716' | fill=None | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='150' | fill=None | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='6.12494895875868' | fill=None | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='7' | fill=None | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='0.285830951408738' | fill=None | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='23' | fill=None | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='0.939158840342997' | fill=None | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='87' | fill=None | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='3.55247039608003' | fill=None | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='11' | fill=None | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V17 | value='0.449162923642303' | fill=None | rows=[16] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W17 | value='465' | fill=None | rows=[16] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X17 | value='18.9873417721519' | fill=None | rows=[16] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y17 | value='5975' | fill=None | rows=[16] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z17 | value='99.9665271966527' | fill=None | rows=[16] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Total' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='2449' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='100' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='17' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='0.69416088199265' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='88' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='3.59330338913842' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='1667' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='68.0685994283381' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='232' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='9.47325438954675' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='388' | fill=00000000 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='15.8432013066558' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='17' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='0.69416088199265' | fill=00000000 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='40' | fill=00000000 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='1.63331972233565' | fill=00000000 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='308' | fill=00000000 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='12.5765618619845' | fill=00000000 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='39' | fill=00000000 | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V18 | value='1.59248672927726' | fill=00000000 | rows=[17] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W18 | value='1064' | fill=00000000 | rows=[17] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X18 | value='43.4463046141282' | fill=00000000 | rows=[17] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y18 | value='5975' | fill=00000000 | rows=[17] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z18 | value='99.9665271966527' | fill=00000000 | rows=[17] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A19 | value='4' | fill=00000000 | rows=[18, 19, 20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Male' | fill=None | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='687' | fill=None | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='58.5178875638842' | fill=None | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='5' | fill=None | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='0.425894378194208' | fill=None | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='36' | fill=None | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='3.0664395229983' | fill=None | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='430' | fill=None | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='36.6269165247019' | fill=None | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='91' | fill=None | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='7.75127768313458' | fill=None | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='104' | fill=None | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='8.85860306643952' | fill=None | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='4' | fill=None | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='0.340715502555366' | fill=None | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='17' | fill=None | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='1.44804088586031' | fill=None | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='95' | fill=None | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='8.09199318568995' | fill=None | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U19 | value='13' | fill=None | rows=[18] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V19 | value='1.10732538330494' | fill=None | rows=[18] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W19 | value='270' | fill=None | rows=[18] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X19 | value='22.9982964224872' | fill=None | rows=[18] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y19 | value='5977' | fill=None | rows=[18] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z19 | value='99.9665383971892' | fill=None | rows=[18] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Female' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='487' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='41.4821124361158' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='1-3' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='0.170357751277683' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='23' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='1.95911413969336' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='321' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='27.3424190800681' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='60' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='5.11073253833049' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='68' | fill=00000000 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='5.79216354344123' | fill=00000000 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='5' | fill=00000000 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='0.425894378194208' | fill=00000000 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='8' | fill=00000000 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='0.681431005110733' | fill=00000000 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='56' | fill=00000000 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='4.77001703577513' | fill=00000000 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='5' | fill=00000000 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='0.425894378194208' | fill=00000000 | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W20 | value='195' | fill=00000000 | rows=[19] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X20 | value='16.6098807495741' | fill=00000000 | rows=[19] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y20 | value='5977' | fill=00000000 | rows=[19] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z20 | value='99.9665383971892' | fill=00000000 | rows=[19] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Total' | fill=None | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='1174' | fill=None | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='100' | fill=None | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='7' | fill=None | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='0.596252129471891' | fill=None | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='59' | fill=None | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='5.02555366269165' | fill=None | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='751' | fill=None | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='63.96933560477' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='151' | fill=None | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='12.8620102214651' | fill=None | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='172' | fill=None | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='14.6507666098807' | fill=None | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='9' | fill=None | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='0.766609880749574' | fill=None | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='25' | fill=None | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='2.12947189097104' | fill=None | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='151' | fill=None | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='12.8620102214651' | fill=None | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='18' | fill=None | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V21 | value='1.53321976149915' | fill=None | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W21 | value='465' | fill=None | rows=[20] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X21 | value='39.6081771720613' | fill=None | rows=[20] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y21 | value='5977' | fill=None | rows=[20] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z21 | value='99.9665383971892' | fill=None | rows=[20] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A22 | value='5' | fill=None | rows=[21, 22, 23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Male' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='436' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='61.2359550561798' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='1-3' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='0.280898876404494' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='28' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='3.93258426966292' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='256' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='35.9550561797753' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='52' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='7.30337078651685' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='85' | fill=00000000 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='11.938202247191' | fill=00000000 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='1-3' | fill=00000000 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='0.280898876404494' | fill=00000000 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='11' | fill=00000000 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='1.54494382022472' | fill=00000000 | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='75' | fill=00000000 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='10.5337078651685' | fill=00000000 | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='4' | fill=00000000 | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V22 | value='0.561797752808989' | fill=00000000 | rows=[21] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W22 | value='143' | fill=00000000 | rows=[21] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X22 | value='20.0842696629213' | fill=00000000 | rows=[21] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y22 | value='6001' | fill=00000000 | rows=[21] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z22 | value='99.9666722212964' | fill=00000000 | rows=[21] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Female' | fill=None | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='276' | fill=None | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='38.7640449438202' | fill=None | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='1-3' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='0.280898876404494' | fill=None | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='16' | fill=None | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='2.24719101123596' | fill=None | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='173' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='24.2977528089888' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='32' | fill=None | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='4.49438202247191' | fill=None | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='43' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='6.03932584269663' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='1-3' | fill=None | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='0.280898876404494' | fill=None | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='8' | fill=None | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='1.12359550561798' | fill=None | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='37' | fill=None | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='5.19662921348315' | fill=None | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='11' | fill=None | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V23 | value='1.54494382022472' | fill=None | rows=[22] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W23 | value='92' | fill=None | rows=[22] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X23 | value='12.9213483146067' | fill=None | rows=[22] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y23 | value='6001' | fill=None | rows=[22] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z23 | value='99.9666722212964' | fill=None | rows=[22] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Total' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='712' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='100' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='4' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='0.561797752808989' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='44' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='6.17977528089888' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='429' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='60.252808988764' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='84' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='11.7977528089888' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='128' | fill=00000000 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='17.9775280898876' | fill=00000000 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='4' | fill=00000000 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='0.561797752808989' | fill=00000000 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='19' | fill=00000000 | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='2.6685393258427' | fill=00000000 | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='112' | fill=00000000 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='15.7303370786517' | fill=00000000 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U24 | value='15' | fill=00000000 | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V24 | value='2.10674157303371' | fill=00000000 | rows=[23] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W24 | value='235' | fill=00000000 | rows=[23] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X24 | value='33.0056179775281' | fill=00000000 | rows=[23] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y24 | value='6001' | fill=00000000 | rows=[23] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z24 | value='99.9666722212964' | fill=00000000 | rows=[23] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A25 | value='6' | fill=00000000 | rows=[24, 25, 26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Male' | fill=None | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='513' | fill=None | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='70.0819672131148' | fill=None | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='4' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='0.546448087431694' | fill=None | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='28' | fill=None | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='3.82513661202186' | fill=None | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='291' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='39.7540983606557' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='108' | fill=None | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
