=== education-table01.xlsx ===
Cell A1 | value='<return>' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell C16 | value='6428.66' | fill=FF0070C0 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='260' | fill=43 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='124.91' | fill=43 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='479.34' | fill=43 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='1831.93' | fill=43 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='3732.48' | fill=43 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='222.96' | fill=45 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='101.5' | fill=45 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='427.25' | fill=45 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='1740.54' | fill=45 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='3598.23' | fill=45 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='304.69' | fill=42 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='150.01' | fill=42 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='531.02' | fill=42 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='1914.35' | fill=42 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='3851.87' | fill=42 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A17 | value='00ABGH' | fill=FFFFC000 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Mayesbrook' | fill=FFFFC000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='6386.97' | fill=FF0070C0 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='441.9' | fill=43 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='197.41' | fill=43 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='692.41' | fill=43 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='2089.3' | fill=43 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='2965.95' | fill=43 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='381.61' | fill=45 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='164.71' | fill=45 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='616.55' | fill=45 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='1992.08' | fill=45 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='2836.27' | fill=45 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='503.84' | fill=42 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='236.22' | fill=42 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='764.58' | fill=42 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='2181.51' | fill=42 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='3096.59' | fill=42 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A18 | value='00ABGJ' | fill=FFFFC000 | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Parsloes' | fill=FFFFC000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='5599.4' | fill=FF0070C0 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='383.03' | fill=43 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='171.76' | fill=43 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='604.66' | fill=43 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='1833.27' | fill=43 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='2606.7' | fill=43 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='331.1' | fill=45 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='142.75' | fill=45 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='536.26' | fill=45 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='1748.87' | fill=45 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='2490.65' | fill=45 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='436.48' | fill=42 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='205.16' | fill=42 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='668.74' | fill=42 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='1916.58' | fill=42 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='2721.29' | fill=42 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A19 | value='00ABGK' | fill=FFFFC000 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='River' | fill=FFFFC000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='6437.92' | fill=FF0070C0 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='392.35' | fill=43 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='178.73' | fill=43 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='641.67' | fill=43 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='2054.28' | fill=43 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='3170.88' | fill=43 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='340.33' | fill=45 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='147.52' | fill=45 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='572.18' | fill=45 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='1961.44' | fill=45 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='3039.47' | fill=45 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='448.62' | fill=42 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='213.84' | fill=42 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='709.61' | fill=42 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='2147.67' | fill=42 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='3290.24' | fill=42 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A20 | value='00ABGL' | fill=FFFFC000 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Thames' | fill=FFFFC000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='6416.87' | fill=FF0070C0 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='477.85' | fill=43 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='211.89' | fill=43 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='734.11' | fill=43 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='2126.97' | fill=43 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='2866.04' | fill=43 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='412.47' | fill=45 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='177.68' | fill=45 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='651.76' | fill=45 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='2027.99' | fill=45 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='2731.42' | fill=45 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='545.23' | fill=42 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='254.97' | fill=42 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='811.67' | fill=42 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='2226.55' | fill=42 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='3013.28' | fill=42 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A21 | value='00ABGM' | fill=FFFFC000 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Valence' | fill=FFFFC000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='6255.8' | fill=FF0070C0 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='392.11' | fill=43 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='177.98' | fill=43 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='635.9' | fill=43 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='2004.96' | fill=43 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='3044.85' | fill=43 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='340.51' | fill=45 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='147.33' | fill=45 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='564.38' | fill=45 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='1913.26' | fill=45 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='2917.67' | fill=45 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='447.63' | fill=42 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='212.86' | fill=42 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='703.61' | fill=42 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='2097.02' | fill=42 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='3168.39' | fill=42 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A22 | value='00ABGN' | fill=FFFFC000 | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Village' | fill=FFFFC000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='6671.44' | fill=FF0070C0 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='441.43' | fill=43 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='196.88' | fill=43 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='692.85' | fill=43 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='2145.61' | fill=43 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='3194.67' | fill=43 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='379.96' | fill=45 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='165.48' | fill=45 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='617.44' | fill=45 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='2045.52' | fill=45 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='3062.56' | fill=45 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='498.87' | fill=42 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='236.11' | fill=42 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='763.73' | fill=42 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='2245.48' | fill=42 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='3328.05' | fill=42 | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell A23 | value='00ABGP' | fill=FFFFC000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Whalebone' | fill=FFFFC000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='6399.73' | fill=FF0070C0 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='312.53' | fill=43 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='145.95' | fill=43 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='541.54' | fill=43 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='1912.77' | fill=43 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='3486.94' | fill=43 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='270.37' | fill=45 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='120.03' | fill=45 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='485.29' | fill=45 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='1822.13' | fill=45 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='3363.78' | fill=45 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='358.55' | fill=42 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='175.41' | fill=42 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='599.39' | fill=42 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='1997.19' | fill=42 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='3592.61' | fill=42 | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False

