=== economy-table75.xlsx ===
Cell A1 | value='PRIORITY' | fill=FFFFFF00 | rows=[0] | cols=[0, 1] | col_header=True | row_header=True | metadata=False
Cell F27 | value='SD' | fill=00000000 | rows=[26, 27] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='COCKPIT' | fill=00000000 | rows=[26, 27] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='A320' | fill=00000000 | rows=[26, 27] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='2012-09-01 00:00:00' | fill=22 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='2013-02-01 00:00:00' | fill=22 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='2013-06-01 00:00:00' | fill=FFC0C0C0 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='0' | fill=00000000 | rows=[26, 27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='0' | fill=00000000 | rows=[26, 27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='18000' | fill=00000000 | rows=[26, 27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='0.3' | fill=00000000 | rows=[26, 27] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='18000' | fill=00000000 | rows=[26, 27] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I28 | value='2012-09-01 00:00:00' | fill=FF99CC00 | rows=[27] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J28 | value='2013-02-01 00:00:00' | fill=FFFFC000 | rows=[27] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K28 | value='2013-06-01 00:00:00' | fill=00000000 | rows=[27] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell B29 | value='1' | fill=00000000 | rows=[28, 29] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='Asia' | fill=00000000 | rows=[28, 29] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='Korean Air' | fill=00000000 | rows=[28, 29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='Seoul' | fill=00000000 | rows=[28, 29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='SD' | fill=00000000 | rows=[28, 29] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='COCKPIT' | fill=00000000 | rows=[28, 29] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='BOE & AIRBUS' | fill=00000000 | rows=[28, 29] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='2011-10-01 00:00:00' | fill=22 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='2012-04-01 00:00:00' | fill=FFC0C0C0 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='2013-04-01 00:00:00' | fill=FFC0C0C0 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='246698' | fill=00000000 | rows=[28, 29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='0' | fill=00000000 | rows=[28, 29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='280988' | fill=00000000 | rows=[28, 29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='0.3' | fill=00000000 | rows=[28, 29] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='527686' | fill=00000000 | rows=[28, 29] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I30 | value='2011-10-01 00:00:00' | fill=FF99CC00 | rows=[29] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='2012-04-01 00:00:00' | fill=FF99CC00 | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K30 | value='2013-04-01 00:00:00' | fill=FFFFFF00 | rows=[29] | cols=[10] | col_header=True | row_header=False | metadata=False
Cell B31 | value='1' | fill=00000000 | rows=[30, 31] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C31 | value='Asia' | fill=00000000 | rows=[30, 31] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='ANA' | fill=00000000 | rows=[30, 31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='Tokyo' | fill=00000000 | rows=[30, 31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F31 | value='GKN' | fill=00000000 | rows=[30, 31] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G31 | value='COCKPIT PMA' | fill=00000000 | rows=[30, 31] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H31 | value='B767/777' | fill=00000000 | rows=[30, 31] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I31 | value='2012-10-01 00:00:00' | fill=22 | rows=[30] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='2014-05-01 00:00:00' | fill=FFC0C0C0 | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K31 | value='2013-12-01 00:00:00' | fill=FFC0C0C0 | rows=[30] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L31 | value='0' | fill=00000000 | rows=[30, 31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='0' | fill=00000000 | rows=[30, 31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='151470' | fill=00000000 | rows=[30, 31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O31 | value='0.3' | fill=00000000 | rows=[30, 31] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P31 | value='151470' | fill=00000000 | rows=[30, 31] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I32 | value='2012-10-01 00:00:00' | fill=50 | rows=[31] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='2014-05-01 00:00:00' | fill=00000000 | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K32 | value='2013-12-01 00:00:00' | fill=00000000 | rows=[31] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A33 | value='2' | fill=00000000 | rows=[32, 33] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B33 | value='2' | fill=00000000 | rows=[32, 33] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C33 | value='Asia' | fill=00000000 | rows=[32, 33] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='China Airlines' | fill=00000000 | rows=[32, 33] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='Taipei' | fill=00000000 | rows=[32, 33] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F33 | value='SD' | fill=00000000 | rows=[32, 33] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G33 | value='PAX' | fill=00000000 | rows=[32, 33] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H33 | value='BOE' | fill=00000000 | rows=[32, 33] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I33 | value='2013-04-01 00:00:00' | fill=FFC0C0C0 | rows=[32] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='2013-11-01 00:00:00' | fill=FFC0C0C0 | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K33 | value='2013-11-01 00:00:00' | fill=FFC0C0C0 | rows=[32] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L33 | value='150000' | fill=00000000 | rows=[32, 33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='0' | fill=00000000 | rows=[32, 33] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='0' | fill=00000000 | rows=[32, 33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O33 | value='0.5' | fill=00000000 | rows=[32, 33] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P33 | value='150000' | fill=00000000 | rows=[32, 33] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I34 | value='2013-04-01 00:00:00' | fill=FF99CC00 | rows=[33] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='2013-11-01 00:00:00' | fill=00000000 | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K34 | value='2013-11-01 00:00:00' | fill=00000000 | rows=[33] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A35 | value='2' | fill=00000000 | rows=[34, 35] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B35 | value='2' | fill=00000000 | rows=[34, 35] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C35 | value='Asia' | fill=00000000 | rows=[34, 35] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D35 | value='Malaysia Airlines' | fill=00000000 | rows=[34, 35] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E35 | value='Malaysia' | fill=00000000 | rows=[34, 35] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F35 | value='SD' | fill=00000000 | rows=[34, 35] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G35 | value='FDW & PAX' | fill=00000000 | rows=[34, 35] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H35 | value='B747' | fill=00000000 | rows=[34, 35] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I35 | value='2013-02-01 00:00:00' | fill=22 | rows=[34] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J35 | value='2014-03-01 00:00:00' | fill=FFC0C0C0 | rows=[34] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K35 | value='2013-11-01 00:00:00' | fill=FFC0C0C0 | rows=[34] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L35 | value='76880' | fill=00000000 | rows=[34, 35] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M35 | value='206000' | fill=00000000 | rows=[34, 35] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N35 | value='0' | fill=00000000 | rows=[34, 35] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O35 | value='0.5' | fill=00000000 | rows=[34, 35] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P35 | value='282880' | fill=00000000 | rows=[34, 35] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I36 | value='2013-02-01 00:00:00' | fill=FF99CC00 | rows=[35] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J36 | value='2014-03-01 00:00:00' | fill=00000000 | rows=[35] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K36 | value='2013-11-01 00:00:00' | fill=00000000 | rows=[35] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A37 | value='2' | fill=00000000 | rows=[36, 37] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B37 | value='2' | fill=00000000 | rows=[36, 37] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C37 | value='Asia' | fill=00000000 | rows=[36, 37] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D37 | value='Hainan Airlines' | fill=00000000 | rows=[36, 37] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E37 | value='Hainan' | fill=00000000 | rows=[36, 37] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F37 | value='SD' | fill=00000000 | rows=[36, 37] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G37 | value='COCKPIT' | fill=00000000 | rows=[36, 37] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H37 | value='B737' | fill=00000000 | rows=[36, 37] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I37 | value='2013-03-01 00:00:00' | fill=22 | rows=[36] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J37 | value='2013-09-01 00:00:00' | fill=FFC0C0C0 | rows=[36] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K37 | value='2013-09-01 00:00:00' | fill=FFC0C0C0 | rows=[36] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L37 | value='141750' | fill=00000000 | rows=[36, 37] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M37 | value='0' | fill=00000000 | rows=[36, 37] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N37 | value='121500' | fill=00000000 | rows=[36, 37] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O37 | value='0.75' | fill=00000000 | rows=[36, 37] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P37 | value='263250' | fill=00000000 | rows=[36, 37] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I38 | value='2013-03-01 00:00:00' | fill=FF99CC00 | rows=[37] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J38 | value='2013-09-01 00:00:00' | fill=00000000 | rows=[37] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K38 | value='2013-09-01 00:00:00' | fill=00000000 | rows=[37] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A39 | value='1' | fill=FFFFC000 | rows=[38, 39] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B39 | value='1' | fill=00000000 | rows=[38, 39] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C39 | value='NA' | fill=00000000 | rows=[38, 39] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D39 | value='DELTA' | fill=00000000 | rows=[38, 39] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E39 | value='ATLANTA' | fill=00000000 | rows=[38, 39] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F39 | value='GG' | fill=00000000 | rows=[38, 39] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G39 | value='COCKPIT' | fill=00000000 | rows=[38, 39] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H39 | value='A320' | fill=00000000 | rows=[38, 39] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I39 | value='2013-01-01 00:00:00' | fill=22 | rows=[38] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J39 | value='2013-06-01 00:00:00' | fill=22 | rows=[38] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K39 | value='2013-06-01 00:00:00' | fill=22 | rows=[38] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L39 | value='347200' | fill=00000000 | rows=[38, 39] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M39 | value='644800' | fill=00000000 | rows=[38, 39] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N39 | value='0' | fill=00000000 | rows=[38, 39] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O39 | value='0.75' | fill=00000000 | rows=[38, 39] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P39 | value='992000' | fill=00000000 | rows=[38, 39] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I40 | value='2013-01-01 00:00:00' | fill=FF92D050 | rows=[39] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A41 | value='1' | fill=FFFFC000 | rows=[40, 41] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B41 | value='1' | fill=00000000 | rows=[40, 41] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C41 | value='NA' | fill=00000000 | rows=[40, 41] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D41 | value='ALASKA' | fill=00000000 | rows=[40, 41] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E41 | value='SEATTLE' | fill=00000000 | rows=[40, 41] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F41 | value='SD' | fill=00000000 | rows=[40, 41] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G41 | value='COCKPIT' | fill=00000000 | rows=[40, 41] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H41 | value='737 #2' | fill=00000000 | rows=[40, 41] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I41 | value='2012-09-01 00:00:00' | fill=22 | rows=[40] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J41 | value='2012-12-01 00:00:00' | fill=22 | rows=[40] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K41 | value='2013-03-01 00:00:00' | fill=22 | rows=[40] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L41 | value='200000' | fill=00000000 | rows=[40, 41] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M41 | value='0' | fill=00000000 | rows=[40, 41] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N41 | value='0' | fill=00000000 | rows=[40, 41] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O41 | value='0.8' | fill=00000000 | rows=[40, 41] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P41 | value='200000' | fill=00000000 | rows=[40, 41] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I42 | value='2012-09-01 00:00:00' | fill=FF92D050 | rows=[41] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J42 | value='2012-12-01 00:00:00' | fill=FF92D050 | rows=[41] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K42 | value='2013-05-02 00:00:00' | fill=FFFFC000 | rows=[41] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell A43 | value='1' | fill=FFFFC000 | rows=[42, 43] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B43 | value='2' | fill=00000000 | rows=[42, 43] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C43 | value='LA' | fill=00000000 | rows=[42, 43] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D43 | value='COPA' | fill=00000000 | rows=[42, 43] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E43 | value='PANAMA CITY' | fill=00000000 | rows=[42, 43] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F43 | value='SD' | fill=00000000 | rows=[42, 43] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G43 | value='COCKPIT' | fill=00000000 | rows=[42, 43] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H43 | value='737' | fill=00000000 | rows=[42, 43] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I43 | value='2013-03-01 00:00:00' | fill=None | rows=[42] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J43 | value='2014-07-01 00:00:00' | fill=None | rows=[42] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K43 | value='2014-09-01 00:00:00' | fill=None | rows=[42] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L43 | value='250800' | fill=00000000 | rows=[42, 43] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M43 | value='0' | fill=00000000 | rows=[42, 43] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N43 | value='38760' | fill=00000000 | rows=[42, 43] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O43 | value='0.5' | fill=00000000 | rows=[42, 43] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P43 | value='289560' | fill=00000000 | rows=[42, 43] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I44 | value='2013-03-01 00:00:00' | fill=FF92D050 | rows=[43] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A45 | value='1' | fill=FFFFC000 | rows=[44, 45] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B45 | value='2' | fill=00000000 | rows=[44, 45] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C45 | value='NA' | fill=00000000 | rows=[44, 45] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D45 | value='UPS' | fill=00000000 | rows=[44, 45] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E45 | value='LOUISVILLE' | fill=00000000 | rows=[44, 45] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F45 | value='GG' | fill=00000000 | rows=[44, 45] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G45 | value='COCKPIT' | fill=00000000 | rows=[44, 45] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H45 | value='ALL FDW' | fill=00000000 | rows=[44, 45] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I45 | value='2013-05-01 00:00:00' | fill=None | rows=[44] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J45 | value='2013-09-01 00:00:00' | fill=None | rows=[44] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K45 | value='2014-01-01 00:00:00' | fill=None | rows=[44] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell O45 | value='0.75' | fill=00000000 | rows=[44, 45] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell A47 | value='2' | fill=00000000 | rows=[46, 47] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B47 | value='1' | fill=00000000 | rows=[46, 47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C47 | value='LA' | fill=00000000 | rows=[46, 47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D47 | value='AEROMEXICO' | fill=00000000 | rows=[46, 47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E47 | value='MEXICO CITY' | fill=00000000 | rows=[46, 47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F47 | value='SD' | fill=00000000 | rows=[46, 47] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G47 | value='COCKPIT' | fill=00000000 | rows=[46, 47] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H47 | value='757/767/777' | fill=00000000 | rows=[46, 47] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I47 | value='2012-06-01 00:00:00' | fill=None | rows=[46] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K47 | value='2013-06-01 00:00:00' | fill=None | rows=[46] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L47 | value='43400' | fill=00000000 | rows=[46, 47] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M47 | value='0' | fill=00000000 | rows=[46, 47] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N47 | value='69720' | fill=00000000 | rows=[46, 47] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O47 | value='0.33' | fill=00000000 | rows=[46, 47] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P47 | value='113120' | fill=00000000 | rows=[46, 47] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I48 | value='2012-06-01 00:00:00' | fill=FF92D050 | rows=[47] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J48 | value='2013-01-01 00:00:00' | fill=FFFFC000 | rows=[47] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell A49 | value='2' | fill=00000000 | rows=[48, 49] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B49 | value='1' | fill=00000000 | rows=[48, 49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='NA' | fill=00000000 | rows=[48, 49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='DELTA' | fill=00000000 | rows=[48, 49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='ATLANTA' | fill=00000000 | rows=[48, 49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F49 | value='SD' | fill=00000000 | rows=[48, 49] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G49 | value='CABIN' | fill=00000000 | rows=[48, 49] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H49 | value='A320' | fill=00000000 | rows=[48, 49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I49 | value='2012-05-01 00:00:00' | fill=22 | rows=[48] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J49 | value='2013-06-01 00:00:00' | fill=22 | rows=[48] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K49 | value='2013-12-01 00:00:00' | fill=22 | rows=[48] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L49 | value='0' | fill=00000000 | rows=[48, 49] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M49 | value='0' | fill=00000000 | rows=[48, 49] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N49 | value='108500' | fill=00000000 | rows=[48, 49] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O49 | value='0.75' | fill=00000000 | rows=[48, 49] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P49 | value='108500' | fill=00000000 | rows=[48, 49] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I50 | value='2012-06-01 00:00:00' | fill=FF92D050 | rows=[49] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A51 | value='2' | fill=00000000 | rows=[50, 51] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B51 | value='1' | fill=00000000 | rows=[50, 51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='LA' | fill=00000000 | rows=[50, 51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D51 | value='GOL' | fill=00000000 | rows=[50, 51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E51 | value='SAO PAULO' | fill=00000000 | rows=[50, 51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F51 | value='SD' | fill=00000000 | rows=[50, 51] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G51 | value='COCKPIT' | fill=00000000 | rows=[50, 51] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H51 | value='737' | fill=00000000 | rows=[50, 51] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I51 | value='2013-03-01 00:00:00' | fill=None | rows=[50] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J51 | value='2014-03-01 00:00:00' | fill=22 | rows=[50] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K51 | value='2014-06-01 00:00:00' | fill=None | rows=[50] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L51 | value='501600' | fill=00000000 | rows=[50, 51] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M51 | value='0' | fill=00000000 | rows=[50, 51] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N51 | value='77520' | fill=00000000 | rows=[50, 51] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O51 | value='0.33' | fill=00000000 | rows=[50, 51] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P51 | value='579120' | fill=00000000 | rows=[50, 51] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell I52 | value='2013-03-01 00:00:00' | fill=FF92D050 | rows=[51] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell A53 | value='2' | fill=00000000 | rows=[52, 53] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B53 | value='2' | fill=00000000 | rows=[52, 53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C53 | value='NA' | fill=00000000 | rows=[52, 53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D53 | value='SOUTHWEST' | fill=00000000 | rows=[52, 53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E53 | value='DALLAS' | fill=00000000 | rows=[52, 53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F53 | value='GG' | fill=00000000 | rows=[52, 53] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G53 | value='COCKPIT' | fill=00000000 | rows=[52, 53] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H53 | value='737' | fill=00000000 | rows=[52, 53] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I53 | value='2013-01-01 00:00:00' | fill=22 | rows=[52] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J53 | value='2014-03-01 00:00:00' | fill=22 | rows=[52] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K53 | value='2014-05-01 00:00:00' | fill=22 | rows=[52] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L53 | value='2503600' | fill=00000000 | rows=[52, 53] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M53 | value='0' | fill=00000000 | rows=[52, 53] | cols=[12] | col_header=False | row_header=False | metadata=False
