=== economy-table26.xlsx ===
Cell B1 | value='Annual government non-financial accounts and key indicators (for 'Developer API')' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell I67 | value='445459' | fill=00000000 | rows=[66] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L67 | value='445396' | fill=00000000 | rows=[66] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O67 | value='457067' | fill=00000000 | rows=[66] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R67 | value='477826' | fill=00000000 | rows=[66] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B68 | value='·  ·  Social benefits other than social transfers in kind' | fill=FFE2F2FB | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F68 | value='361203' | fill=00000000 | rows=[67] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I68 | value='399175' | fill=00000000 | rows=[67] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L68 | value='397876' | fill=00000000 | rows=[67] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O68 | value='406898' | fill=00000000 | rows=[67] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R68 | value='424486' | fill=00000000 | rows=[67] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B69 | value='·  ·  Social transfers in kind - purchased market production' | fill=FFE2F2FB | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F69 | value='45898' | fill=00000000 | rows=[68] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I69 | value='46284' | fill=00000000 | rows=[68] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L69 | value='47520' | fill=00000000 | rows=[68] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O69 | value='50169' | fill=00000000 | rows=[68] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R69 | value='53340' | fill=00000000 | rows=[68] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B70 | value='·  Disposable income, net' | fill=FFE2F2FB | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D70 | value='316974' | fill=00000000 | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G70 | value='222845' | fill=00000000 | rows=[69] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell J70 | value='279516' | fill=00000000 | rows=[69] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell M70 | value='300432' | fill=00000000 | rows=[69] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell P70 | value='341438' | fill=00000000 | rows=[69] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell B71 | value='Use of disposable income account' | fill=FFE2F2FB | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B72 | value='·  Final consumption expenditure' | fill=FFE2F2FB | rows=[71] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F72 | value='337134' | fill=00000000 | rows=[71] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I72 | value='346227' | fill=00000000 | rows=[71] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L72 | value='361824' | fill=00000000 | rows=[71] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O72 | value='375059' | fill=00000000 | rows=[71] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R72 | value='382623' | fill=00000000 | rows=[71] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B73 | value='·  ·  Individual consumption expenditure' | fill=FFE2F2FB | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F73 | value='194719' | fill=00000000 | rows=[72] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I73 | value='200974' | fill=00000000 | rows=[72] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L73 | value='213132' | fill=00000000 | rows=[72] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O73 | value='220634' | fill=00000000 | rows=[72] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R73 | value='226183' | fill=00000000 | rows=[72] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B74 | value='·  ·  Collective consumption expenditure' | fill=FFE2F2FB | rows=[73] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F74 | value='142415' | fill=00000000 | rows=[73] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I74 | value='145253' | fill=00000000 | rows=[73] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L74 | value='148692' | fill=00000000 | rows=[73] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O74 | value='154425' | fill=00000000 | rows=[73] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R74 | value='156440' | fill=00000000 | rows=[73] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B75 | value='·  Adjustment for the change in pension entitlements' | fill=FFE2F2FB | rows=[74] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F75 | value='0' | fill=00000000 | rows=[74] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I75 | value='0' | fill=00000000 | rows=[74] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L75 | value='0' | fill=00000000 | rows=[74] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O75 | value='0' | fill=00000000 | rows=[74] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R75 | value='0' | fill=00000000 | rows=[74] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B76 | value='·  Saving, gross' | fill=FFE2F2FB | rows=[75] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D76 | value='30460' | fill=00000000 | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G76 | value='-72237' | fill=00000000 | rows=[75] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell J76 | value='-28822' | fill=00000000 | rows=[75] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell M76 | value='-17934' | fill=00000000 | rows=[75] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell P76 | value='16659' | fill=00000000 | rows=[75] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell B77 | value='·  ·  Saving, net' | fill=FFE2F2FB | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D77 | value='-20160' | fill=00000000 | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G77 | value='-123382' | fill=00000000 | rows=[76] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell J77 | value='-82308' | fill=00000000 | rows=[76] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell M77 | value='-74627' | fill=00000000 | rows=[76] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell P77 | value='-41185' | fill=00000000 | rows=[76] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Capital account' | fill=FFE2F2FB | rows=[77] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B79 | value='·  Consumption of fixed capital' | fill=FFE2F2FB | rows=[78] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F79 | value='50620' | fill=00000000 | rows=[78] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I79 | value='51145' | fill=00000000 | rows=[78] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L79 | value='53486' | fill=00000000 | rows=[78] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O79 | value='56693' | fill=00000000 | rows=[78] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R79 | value='57844' | fill=00000000 | rows=[78] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B80 | value='·  Capital transfers' | fill=FFE2F2FB | rows=[79] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E80 | value='4742' | fill=00000000 | rows=[79] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F80 | value='18842' | fill=00000000 | rows=[79] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H80 | value='5706' | fill=00000000 | rows=[79] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I80 | value='43326' | fill=00000000 | rows=[79] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K80 | value='11149' | fill=00000000 | rows=[79] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L80 | value='91933' | fill=00000000 | rows=[79] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell N80 | value='17838' | fill=00000000 | rows=[79] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O80 | value='101004' | fill=00000000 | rows=[79] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q80 | value='23070' | fill=00000000 | rows=[79] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R80 | value='124092' | fill=00000000 | rows=[79] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B81 | value='·  ·  Capital taxes' | fill=FFE2F2FB | rows=[80] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E81 | value='1252' | fill=00000000 | rows=[80] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H81 | value='944' | fill=00000000 | rows=[80] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K81 | value='1596' | fill=00000000 | rows=[80] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N81 | value='1707' | fill=00000000 | rows=[80] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q81 | value='1609' | fill=00000000 | rows=[80] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B82 | value='·  ·  Other capital transfers and investment grants' | fill=FFE2F2FB | rows=[81] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E82 | value='3490' | fill=00000000 | rows=[81] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H82 | value='4762' | fill=00000000 | rows=[81] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K82 | value='9553' | fill=00000000 | rows=[81] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N82 | value='16131' | fill=00000000 | rows=[81] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q82 | value='21461' | fill=00000000 | rows=[81] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B83 | value='·  ·  ·  Investment grants' | fill=FFE2F2FB | rows=[82] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E83 | value='1588' | fill=00000000 | rows=[82] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F83 | value='14172' | fill=00000000 | rows=[82] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H83 | value='2839' | fill=00000000 | rows=[82] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I83 | value='18799' | fill=00000000 | rows=[82] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K83 | value='4949' | fill=00000000 | rows=[82] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L83 | value='58837' | fill=00000000 | rows=[82] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell N83 | value='3475' | fill=00000000 | rows=[82] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O83 | value='89786' | fill=00000000 | rows=[82] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q83 | value='6500' | fill=00000000 | rows=[82] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R83 | value='115586' | fill=00000000 | rows=[82] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B84 | value='·  ·  ·  Other capital transfers' | fill=FFE2F2FB | rows=[83] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E84 | value='1902' | fill=00000000 | rows=[83] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F84 | value='4670' | fill=00000000 | rows=[83] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H84 | value='1923' | fill=00000000 | rows=[83] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I84 | value='24527' | fill=00000000 | rows=[83] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell K84 | value='4604' | fill=00000000 | rows=[83] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L84 | value='33096' | fill=00000000 | rows=[83] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell N84 | value='12656' | fill=00000000 | rows=[83] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O84 | value='11218' | fill=00000000 | rows=[83] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell Q84 | value='14961' | fill=00000000 | rows=[83] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R84 | value='8506' | fill=00000000 | rows=[83] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B85 | value='·  Gross capital formation and acquisitions less disposals of non-produced assets' | fill=FFE2F2FB | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F85 | value='42521' | fill=00000000 | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I85 | value='46770' | fill=00000000 | rows=[84] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L85 | value='53524' | fill=00000000 | rows=[84] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O85 | value='60475' | fill=00000000 | rows=[84] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R85 | value='68372' | fill=00000000 | rows=[84] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B86 | value='·  ·  Gross capital formation' | fill=FFE2F2FB | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F86 | value='42048' | fill=00000000 | rows=[85] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I86 | value='46139' | fill=00000000 | rows=[85] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L86 | value='52714' | fill=00000000 | rows=[85] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O86 | value='59528' | fill=00000000 | rows=[85] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R86 | value='67185' | fill=00000000 | rows=[85] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B87 | value='·  ·  ·  Gross fixed capital formation' | fill=FFE2F2FB | rows=[86] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F87 | value='41865' | fill=00000000 | rows=[86] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I87 | value='43885' | fill=00000000 | rows=[86] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L87 | value='52402' | fill=00000000 | rows=[86] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O87 | value='52395' | fill=00000000 | rows=[86] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R87 | value='67599' | fill=00000000 | rows=[86] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B88 | value='·  ·  ·  Changes in inventories and acquisitions less disposals of valuables' | fill=FFE2F2FB | rows=[87] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F88 | value='183' | fill=00000000 | rows=[87] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I88 | value='2254' | fill=00000000 | rows=[87] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L88 | value='312' | fill=00000000 | rows=[87] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O88 | value='7133' | fill=00000000 | rows=[87] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R88 | value='-414' | fill=00000000 | rows=[87] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B89 | value='·  ·  Acquisitions less disposals of non-financial non-produced assets' | fill=FFE2F2FB | rows=[88] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F89 | value='473' | fill=00000000 | rows=[88] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I89 | value='631' | fill=00000000 | rows=[88] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L89 | value='810' | fill=00000000 | rows=[88] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O89 | value='947' | fill=00000000 | rows=[88] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R89 | value='1187' | fill=00000000 | rows=[88] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B90 | value='·  ·  Consumption of fixed capital, capital account' | fill=FFE2F2FB | rows=[89] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E90 | value='50620' | fill=00000000 | rows=[89] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H90 | value='51145' | fill=00000000 | rows=[89] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K90 | value='53486' | fill=00000000 | rows=[89] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N90 | value='56693' | fill=00000000 | rows=[89] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q90 | value='57844' | fill=00000000 | rows=[89] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B91 | value='·  Net lending (+) / net borrowing (-)' | fill=FFE2F2FB | rows=[90] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D91 | value='-26161' | fill=00000000 | rows=[90] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G91 | value='-156627' | fill=00000000 | rows=[90] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell J91 | value='-163130' | fill=00000000 | rows=[90] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell M91 | value='-161575' | fill=00000000 | rows=[90] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell P91 | value='-152735' | fill=00000000 | rows=[90] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell B92 | value='·  ·  Total government expenditure' | fill=FFE2F2FB | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F92 | value='873598' | fill=00000000 | rows=[91] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I92 | value='948296' | fill=00000000 | rows=[91] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L92 | value='1032343' | fill=00000000 | rows=[91] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O92 | value='1096547' | fill=00000000 | rows=[91] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R92 | value='1144854' | fill=00000000 | rows=[91] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B93 | value='·  ·  Total government revenue' | fill=FFE2F2FB | rows=[92] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E93 | value='847437' | fill=00000000 | rows=[92] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H93 | value='791669' | fill=00000000 | rows=[92] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K93 | value='869213' | fill=00000000 | rows=[92] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N93 | value='934972' | fill=00000000 | rows=[92] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q93 | value='992119' | fill=00000000 | rows=[92] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B94 | value='Institutional sector: Central government' | fill=00000000 | rows=[93] | cols=[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16] | col_header=False | row_header=False | metadata=False
Cell B95 | value='Production account' | fill=FFE2F2FB | rows=[94] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B96 | value='·  Output' | fill=FFE2F2FB | rows=[95] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E96 | value='154632' | fill=00000000 | rows=[95] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H96 | value='153618' | fill=00000000 | rows=[95] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K96 | value='162248' | fill=00000000 | rows=[95] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N96 | value='166242' | fill=00000000 | rows=[95] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q96 | value='169106' | fill=00000000 | rows=[95] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B97 | value='·  ·  Market output and output for own final use' | fill=FFE2F2FB | rows=[96] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E97 | value='10071' | fill=00000000 | rows=[96] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H97 | value='9347' | fill=00000000 | rows=[96] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K97 | value='10767' | fill=00000000 | rows=[96] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N97 | value='10610' | fill=00000000 | rows=[96] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q97 | value='11652' | fill=00000000 | rows=[96] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B98 | value='·  ·  ·  Market output' | fill=FFE2F2FB | rows=[97] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E98 | value='5372' | fill=00000000 | rows=[97] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H98 | value='4442' | fill=00000000 | rows=[97] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K98 | value='5611' | fill=00000000 | rows=[97] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N98 | value='5612' | fill=00000000 | rows=[97] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q98 | value='6096' | fill=00000000 | rows=[97] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B99 | value='·  ·  ·  Output for own final use' | fill=FFE2F2FB | rows=[98] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E99 | value='4699' | fill=00000000 | rows=[98] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H99 | value='4905' | fill=00000000 | rows=[98] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K99 | value='5156' | fill=00000000 | rows=[98] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N99 | value='4998' | fill=00000000 | rows=[98] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q99 | value='5556' | fill=00000000 | rows=[98] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B100 | value='·  ·  Non-market output' | fill=FFE2F2FB | rows=[99] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E100 | value='144561' | fill=00000000 | rows=[99] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H100 | value='144271' | fill=00000000 | rows=[99] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K100 | value='151481' | fill=00000000 | rows=[99] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N100 | value='155632' | fill=00000000 | rows=[99] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q100 | value='157454' | fill=00000000 | rows=[99] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B101 | value='·  ·  ·  Payments for other non-market output' | fill=FFE2F2FB | rows=[100] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E101 | value='4014' | fill=00000000 | rows=[100] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H101 | value='3444' | fill=00000000 | rows=[100] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K101 | value='4476' | fill=00000000 | rows=[100] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N101 | value='5334' | fill=00000000 | rows=[100] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q101 | value='5717' | fill=00000000 | rows=[100] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B102 | value='·  ·  ·  Other non-market output, n.e.c.' | fill=FFE2F2FB | rows=[101] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E102 | value='140547' | fill=00000000 | rows=[101] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H102 | value='140827' | fill=00000000 | rows=[101] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K102 | value='147005' | fill=00000000 | rows=[101] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N102 | value='150298' | fill=00000000 | rows=[101] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q102 | value='151737' | fill=00000000 | rows=[101] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B103 | value='·  ·  Market output, output for own final use and payments for other non-market output' | fill=FFE2F2FB | rows=[102] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell E103 | value='14085' | fill=00000000 | rows=[102] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H103 | value='12791' | fill=00000000 | rows=[102] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell K103 | value='15243' | fill=00000000 | rows=[102] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell N103 | value='15944' | fill=00000000 | rows=[102] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q103 | value='17369' | fill=00000000 | rows=[102] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell B104 | value='·  Intermediate consumption' | fill=FFE2F2FB | rows=[103] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F104 | value='24606' | fill=00000000 | rows=[103] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I104 | value='23000' | fill=00000000 | rows=[103] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L104 | value='25925' | fill=00000000 | rows=[103] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O104 | value='28339' | fill=00000000 | rows=[103] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R104 | value='28880' | fill=00000000 | rows=[103] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B105 | value='·  Value added, gross' | fill=FFE2F2FB | rows=[104] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D105 | value='130026' | fill=00000000 | rows=[104] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G105 | value='130618' | fill=00000000 | rows=[104] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell J105 | value='136323' | fill=00000000 | rows=[104] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell M105 | value='137903' | fill=00000000 | rows=[104] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell P105 | value='140226' | fill=00000000 | rows=[104] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell B106 | value='·  ·  Consumption of fixed capital' | fill=FFE2F2FB | rows=[105] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F106 | value='20586' | fill=00000000 | rows=[105] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I106 | value='20831' | fill=00000000 | rows=[105] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L106 | value='21735' | fill=00000000 | rows=[105] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O106 | value='22840' | fill=00000000 | rows=[105] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R106 | value='23301' | fill=00000000 | rows=[105] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B107 | value='·  Value added, net' | fill=FFE2F2FB | rows=[106] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D107 | value='109440' | fill=00000000 | rows=[106] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell G107 | value='109787' | fill=00000000 | rows=[106] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell J107 | value='114588' | fill=00000000 | rows=[106] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell M107 | value='115063' | fill=00000000 | rows=[106] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell P107 | value='116925' | fill=00000000 | rows=[106] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell B108 | value='Generation of income account' | fill=FFE2F2FB | rows=[107] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell B109 | value='·  Compensation of employees' | fill=FFE2F2FB | rows=[108] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F109 | value='103584' | fill=00000000 | rows=[108] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell I109 | value='103821' | fill=00000000 | rows=[108] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell L109 | value='108347' | fill=00000000 | rows=[108] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell O109 | value='108895' | fill=00000000 | rows=[108] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell R109 | value='110848' | fill=00000000 | rows=[108] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell B110 | value='·  ·  Wages and salaries' | fill=FFE2F2FB | rows=[109] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell F110 | value='68684' | fill=00000000 | rows=[109] | cols=[5] | col_header=False | row_header=False | metadata=False
