=== economy-table28.xlsx ===
Cell B1 | value='Fossil Fuel Support - Netherlands' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell J65 | value='..' | fill=00000000 | rows=[64] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K65 | value='..' | fill=00000000 | rows=[64] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L65 | value='..' | fill=00000000 | rows=[64] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M65 | value='..' | fill=00000000 | rows=[64] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N65 | value='175000000' | fill=00000000 | rows=[64] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O65 | value='148000000' | fill=00000000 | rows=[64] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P65 | value='129000000' | fill=00000000 | rows=[64] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q65 | value='86000000' | fill=00000000 | rows=[64] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R65 | value='38000000' | fill=00000000 | rows=[64] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S65 | value='72000000' | fill=00000000 | rows=[64] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T65 | value='74000000' | fill=00000000 | rows=[64] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U65 | value='79000000' | fill=00000000 | rows=[64] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B66 | value='Exemption for use of natural gas in power plants and CHP plants' | fill=FFE2F2FB | rows=[65] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C66 | value='Total' | fill=FFE2F2FB | rows=[65] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B67 | value='Exemption for use of natural gas in power plants and CHP plants' | fill=FFE2F2FB | rows=[66] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C67 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[66] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B68 | value='Exemption for use of natural gas in power plants and CHP plants' | fill=FFE2F2FB | rows=[67] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C68 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[67] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D68 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[67] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E68 | value='Natural Gas' | fill=FFE2F2FB | rows=[67] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F68 | value='Total economy' | fill=FFE2F2FB | rows=[67] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B69 | value='Exemption for use of natural gas in power plants and CHP plants' | fill=FFE2F2FB | rows=[68] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C69 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[68] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D69 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[68] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E69 | value='Natural Gas' | fill=FFE2F2FB | rows=[68] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F69 | value='·  General government' | fill=FFE2F2FB | rows=[68] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B70 | value='Exemption for use of natural gas in power plants and CHP plants' | fill=FFE2F2FB | rows=[69] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C70 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[69] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D70 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[69] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E70 | value='Natural Gas' | fill=FFE2F2FB | rows=[69] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F70 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[69] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H70 | value='..' | fill=00000000 | rows=[69] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I70 | value='..' | fill=00000000 | rows=[69] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J70 | value='..' | fill=00000000 | rows=[69] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K70 | value='..' | fill=00000000 | rows=[69] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L70 | value='..' | fill=00000000 | rows=[69] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M70 | value='..' | fill=00000000 | rows=[69] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N70 | value='..' | fill=00000000 | rows=[69] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O70 | value='282000000' | fill=00000000 | rows=[69] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P70 | value='301000000' | fill=00000000 | rows=[69] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q70 | value='368000000' | fill=00000000 | rows=[69] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R70 | value='650000000' | fill=00000000 | rows=[69] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S70 | value='531000000' | fill=00000000 | rows=[69] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T70 | value='497000000' | fill=00000000 | rows=[69] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U70 | value='491000000' | fill=00000000 | rows=[69] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B71 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[70] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C71 | value='Total' | fill=FFE2F2FB | rows=[70] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B72 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[71] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C72 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[71] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B73 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[72] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C73 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[72] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D73 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[72] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E73 | value='Petroleum' | fill=FFE2F2FB | rows=[72] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B74 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[73] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C74 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[73] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D74 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[73] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E74 | value='·  Refinery Gas' | fill=FFE2F2FB | rows=[73] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F74 | value='Total economy' | fill=FFE2F2FB | rows=[73] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B75 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[74] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C75 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[74] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D75 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[74] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E75 | value='·  Refinery Gas' | fill=FFE2F2FB | rows=[74] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F75 | value='·  General government' | fill=FFE2F2FB | rows=[74] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B76 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[75] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C76 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[75] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D76 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[75] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E76 | value='·  Refinery Gas' | fill=FFE2F2FB | rows=[75] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F76 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[75] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H76 | value='..' | fill=00000000 | rows=[75] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I76 | value='..' | fill=00000000 | rows=[75] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J76 | value='..' | fill=00000000 | rows=[75] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K76 | value='..' | fill=00000000 | rows=[75] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L76 | value='..' | fill=00000000 | rows=[75] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M76 | value='..' | fill=00000000 | rows=[75] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N76 | value='..' | fill=00000000 | rows=[75] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O76 | value='..' | fill=00000000 | rows=[75] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P76 | value='..' | fill=00000000 | rows=[75] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q76 | value='..' | fill=00000000 | rows=[75] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R76 | value='..' | fill=00000000 | rows=[75] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S76 | value='..' | fill=00000000 | rows=[75] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T76 | value='..' | fill=00000000 | rows=[75] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U76 | value='26000000' | fill=00000000 | rows=[75] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B77 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[76] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C77 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[76] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D77 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[76] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E77 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[76] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F77 | value='Total economy' | fill=FFE2F2FB | rows=[76] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B78 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[77] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C78 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[77] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D78 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[77] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E78 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[77] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F78 | value='·  General government' | fill=FFE2F2FB | rows=[77] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B79 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[78] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C79 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[78] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D79 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[78] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E79 | value='·  Liquefied Petroleum Gases' | fill=FFE2F2FB | rows=[78] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F79 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[78] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H79 | value='..' | fill=00000000 | rows=[78] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I79 | value='..' | fill=00000000 | rows=[78] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J79 | value='..' | fill=00000000 | rows=[78] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K79 | value='..' | fill=00000000 | rows=[78] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L79 | value='..' | fill=00000000 | rows=[78] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M79 | value='..' | fill=00000000 | rows=[78] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N79 | value='..' | fill=00000000 | rows=[78] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O79 | value='..' | fill=00000000 | rows=[78] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P79 | value='..' | fill=00000000 | rows=[78] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q79 | value='..' | fill=00000000 | rows=[78] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R79 | value='..' | fill=00000000 | rows=[78] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S79 | value='..' | fill=00000000 | rows=[78] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T79 | value='..' | fill=00000000 | rows=[78] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U79 | value='26000000' | fill=00000000 | rows=[78] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B80 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[79] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C80 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[79] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D80 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[79] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E80 | value='·  Petroleum Coke' | fill=FFE2F2FB | rows=[79] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F80 | value='Total economy' | fill=FFE2F2FB | rows=[79] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B81 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[80] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C81 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[80] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D81 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[80] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E81 | value='·  Petroleum Coke' | fill=FFE2F2FB | rows=[80] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F81 | value='·  General government' | fill=FFE2F2FB | rows=[80] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B82 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[81] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C82 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[81] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D82 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[81] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E82 | value='·  Petroleum Coke' | fill=FFE2F2FB | rows=[81] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F82 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[81] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H82 | value='..' | fill=00000000 | rows=[81] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I82 | value='..' | fill=00000000 | rows=[81] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J82 | value='..' | fill=00000000 | rows=[81] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K82 | value='..' | fill=00000000 | rows=[81] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L82 | value='..' | fill=00000000 | rows=[81] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M82 | value='..' | fill=00000000 | rows=[81] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N82 | value='..' | fill=00000000 | rows=[81] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O82 | value='..' | fill=00000000 | rows=[81] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P82 | value='..' | fill=00000000 | rows=[81] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q82 | value='..' | fill=00000000 | rows=[81] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R82 | value='..' | fill=00000000 | rows=[81] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S82 | value='..' | fill=00000000 | rows=[81] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T82 | value='..' | fill=00000000 | rows=[81] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U82 | value='26000000' | fill=00000000 | rows=[81] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B83 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[82] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C83 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[82] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D83 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[82] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E83 | value='Natural Gas' | fill=FFE2F2FB | rows=[82] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F83 | value='Total economy' | fill=FFE2F2FB | rows=[82] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B84 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[83] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C84 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[83] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D84 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[83] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E84 | value='Natural Gas' | fill=FFE2F2FB | rows=[83] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F84 | value='·  General government' | fill=FFE2F2FB | rows=[83] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B85 | value='Exemption for the use of oil products in refinery processes (excise duty)' | fill=FFE2F2FB | rows=[84] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C85 | value='·  ·  Producer Support Estimate' | fill=FFE2F2FB | rows=[84] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D85 | value='Extraction or mining stage' | fill=FFE2F2FB | rows=[84] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E85 | value='Natural Gas' | fill=FFE2F2FB | rows=[84] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F85 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[84] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H85 | value='..' | fill=00000000 | rows=[84] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I85 | value='..' | fill=00000000 | rows=[84] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J85 | value='..' | fill=00000000 | rows=[84] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K85 | value='..' | fill=00000000 | rows=[84] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L85 | value='..' | fill=00000000 | rows=[84] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M85 | value='..' | fill=00000000 | rows=[84] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N85 | value='..' | fill=00000000 | rows=[84] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O85 | value='..' | fill=00000000 | rows=[84] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P85 | value='..' | fill=00000000 | rows=[84] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q85 | value='..' | fill=00000000 | rows=[84] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R85 | value='..' | fill=00000000 | rows=[84] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S85 | value='..' | fill=00000000 | rows=[84] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T85 | value='..' | fill=00000000 | rows=[84] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U85 | value='26000000' | fill=00000000 | rows=[84] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B86 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[85] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C86 | value='Total' | fill=FFE2F2FB | rows=[85] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B87 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[86] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C87 | value='·  Beneficiary' | fill=FFE2F2FB | rows=[86] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell B88 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[87] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C88 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[87] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D88 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[87] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E88 | value='Petroleum' | fill=FFE2F2FB | rows=[87] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell B89 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[88] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C89 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[88] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D89 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[88] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E89 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[88] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F89 | value='Total economy' | fill=FFE2F2FB | rows=[88] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B90 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[89] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C90 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[89] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D90 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[89] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E90 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[89] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F90 | value='·  General government' | fill=FFE2F2FB | rows=[89] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B91 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[90] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C91 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[90] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D91 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[90] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E91 | value='·  Motor gasoline excl. biofuels' | fill=FFE2F2FB | rows=[90] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F91 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[90] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H91 | value='..' | fill=00000000 | rows=[90] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I91 | value='..' | fill=00000000 | rows=[90] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J91 | value='..' | fill=00000000 | rows=[90] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K91 | value='..' | fill=00000000 | rows=[90] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L91 | value='..' | fill=00000000 | rows=[90] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M91 | value='..' | fill=00000000 | rows=[90] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N91 | value='..' | fill=00000000 | rows=[90] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O91 | value='..' | fill=00000000 | rows=[90] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P91 | value='..' | fill=00000000 | rows=[90] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q91 | value='..' | fill=00000000 | rows=[90] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R91 | value='..' | fill=00000000 | rows=[90] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S91 | value='..' | fill=00000000 | rows=[90] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T91 | value='..' | fill=00000000 | rows=[90] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U91 | value='..' | fill=00000000 | rows=[90] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell B92 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[91] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C92 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[91] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D92 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[91] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E92 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[91] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F92 | value='Total economy' | fill=FFE2F2FB | rows=[91] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B93 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[92] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C93 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[92] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D93 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[92] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E93 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[92] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F93 | value='·  General government' | fill=FFE2F2FB | rows=[92] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell B94 | value='Tax deferral on almost entirely CO2-based passenger cars and motorcycles tax' | fill=FFE2F2FB | rows=[93] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C94 | value='·  ·  Consumer Support Estimate' | fill=FFE2F2FB | rows=[93] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D94 | value='Other end uses of fossil fuels (e.g. transport and residential sectors)' | fill=FFE2F2FB | rows=[93] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E94 | value='·  Gas/diesel oil excl. biofuels' | fill=FFE2F2FB | rows=[93] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F94 | value='·  ·  Central government' | fill=FFE2F2FB | rows=[93] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell H94 | value='..' | fill=00000000 | rows=[93] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I94 | value='..' | fill=00000000 | rows=[93] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J94 | value='..' | fill=00000000 | rows=[93] | cols=[9] | col_header=False | row_header=False | metadata=False
