=== education-table18.xlsx ===
Cell A2 | value='Number and percentage of public school students retained, by race/ethnicity, disability status, and English proficiency, by gender and grade: School Year 2011-12' | fill=FF00B0F0 | rows=[1] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25] | col_header=False | row_header=False | metadata=True
Cell L15 | value='42.4864864864865' | fill=None | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='443' | fill=None | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='47.8918918918919' | fill=None | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='1-3' | fill=None | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='0.216216216216216' | fill=None | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='22' | fill=None | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='2.37837837837838' | fill=None | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='100' | fill=None | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='10.8108108108108' | fill=None | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='1-3' | fill=None | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V15 | value='0.216216216216216' | fill=None | rows=[14] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W15 | value='37' | fill=None | rows=[14] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X15 | value='4' | fill=None | rows=[14] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y15 | value='746' | fill=None | rows=[14] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z15 | value='100' | fill=None | rows=[14] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B16 | value='Male' | fill=00000000 | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='321' | fill=00000000 | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='55.632582322357' | fill=00000000 | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='1-3' | fill=00000000 | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='0.346620450606586' | fill=00000000 | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='1-3' | fill=00000000 | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='0.346620450606586' | fill=00000000 | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='23' | fill=00000000 | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='3.98613518197574' | fill=00000000 | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='168' | fill=00000000 | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='29.1161178509532' | fill=00000000 | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='122' | fill=00000000 | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='21.1438474870017' | fill=00000000 | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='1-3' | fill=00000000 | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='0.346620450606586' | fill=00000000 | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='1-3' | fill=00000000 | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='0.346620450606586' | fill=00000000 | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='45' | fill=00000000 | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='7.79896013864818' | fill=00000000 | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='5' | fill=00000000 | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V16 | value='0.866551126516464' | fill=00000000 | rows=[15] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W16 | value='15' | fill=00000000 | rows=[15] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X16 | value='2.59965337954939' | fill=00000000 | rows=[15] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y16 | value='747' | fill=00000000 | rows=[15] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z16 | value='100' | fill=00000000 | rows=[15] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A17 | value='3' | fill=None | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='Female' | fill=None | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='256' | fill=None | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='44.367417677643' | fill=None | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='1-3' | fill=None | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='0.346620450606586' | fill=None | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='0' | fill=None | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='0' | fill=None | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='21' | fill=None | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='3.63951473136915' | fill=None | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='123' | fill=None | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='21.317157712305' | fill=None | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='102' | fill=None | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='17.6776429809359' | fill=None | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='0' | fill=None | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='0' | fill=None | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='8' | fill=None | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='1.38648180242634' | fill=None | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='26' | fill=None | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='4.50606585788562' | fill=None | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='1-3' | fill=None | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V17 | value='0.346620450606586' | fill=None | rows=[16] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W17 | value='10' | fill=None | rows=[16] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X17 | value='1.73310225303293' | fill=None | rows=[16] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y17 | value='747' | fill=None | rows=[16] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z17 | value='100' | fill=None | rows=[16] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B18 | value='Total' | fill=00000000 | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='577' | fill=00000000 | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='100' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='4' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='0.693240901213172' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='1-3' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='0.346620450606586' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='44' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='7.62564991334489' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='291' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='50.4332755632582' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='224' | fill=00000000 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='38.8214904679376' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='1-3' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='0.346620450606586' | fill=00000000 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='10' | fill=00000000 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='1.73310225303293' | fill=00000000 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='71' | fill=00000000 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='12.3050259965338' | fill=00000000 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='7' | fill=00000000 | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V18 | value='1.21317157712305' | fill=00000000 | rows=[17] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W18 | value='25' | fill=00000000 | rows=[17] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X18 | value='4.33275563258232' | fill=00000000 | rows=[17] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y18 | value='747' | fill=00000000 | rows=[17] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z18 | value='100' | fill=00000000 | rows=[17] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B19 | value='Male' | fill=None | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='262' | fill=None | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='63.1325301204819' | fill=None | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='1-3' | fill=None | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='0.481927710843373' | fill=None | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='0' | fill=None | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='0' | fill=None | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='9' | fill=None | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='2.16867469879518' | fill=None | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='136' | fill=None | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='32.7710843373494' | fill=None | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='113' | fill=None | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='27.2289156626506' | fill=None | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='0' | fill=None | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='0' | fill=None | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='1-3' | fill=None | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='0.481927710843373' | fill=None | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='26' | fill=None | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='6.26506024096386' | fill=None | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U19 | value='1-3' | fill=None | rows=[18] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V19 | value='0.481927710843373' | fill=None | rows=[18] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W19 | value='7' | fill=None | rows=[18] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X19 | value='1.68674698795181' | fill=None | rows=[18] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y19 | value='743' | fill=None | rows=[18] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z19 | value='100' | fill=None | rows=[18] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A20 | value='4' | fill=00000000 | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Female' | fill=00000000 | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='153' | fill=00000000 | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='36.8674698795181' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='1-3' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='0.481927710843373' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='1-3' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='0.481927710843373' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='14' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='3.37349397590361' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='65' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='15.6626506024096' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='68' | fill=00000000 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='16.3855421686747' | fill=00000000 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='0' | fill=00000000 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='0' | fill=00000000 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='1-3' | fill=00000000 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='0.481927710843373' | fill=00000000 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='17' | fill=00000000 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='4.09638554216868' | fill=00000000 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='1-3' | fill=00000000 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='0.481927710843373' | fill=00000000 | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W20 | value='9' | fill=00000000 | rows=[19] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X20 | value='2.16867469879518' | fill=00000000 | rows=[19] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y20 | value='743' | fill=00000000 | rows=[19] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z20 | value='100' | fill=00000000 | rows=[19] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B21 | value='Total' | fill=None | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='415' | fill=None | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='100' | fill=None | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='4' | fill=None | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='0.963855421686747' | fill=None | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='1-3' | fill=None | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='0.481927710843373' | fill=None | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='23' | fill=None | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='5.54216867469879' | fill=None | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='201' | fill=None | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='48.433734939759' | fill=None | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='181' | fill=None | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='43.6144578313253' | fill=None | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='0' | fill=None | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='0' | fill=None | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='4' | fill=None | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='0.963855421686747' | fill=None | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='43' | fill=None | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='10.3614457831325' | fill=None | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='4' | fill=None | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V21 | value='0.963855421686747' | fill=None | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W21 | value='16' | fill=None | rows=[20] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X21 | value='3.85542168674699' | fill=None | rows=[20] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y21 | value='743' | fill=None | rows=[20] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z21 | value='100' | fill=None | rows=[20] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B22 | value='Male' | fill=00000000 | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='326' | fill=00000000 | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='62.4521072796935' | fill=00000000 | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='1-3' | fill=00000000 | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='0.383141762452107' | fill=00000000 | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='0' | fill=00000000 | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='0' | fill=00000000 | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='9' | fill=00000000 | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='1.72413793103448' | fill=00000000 | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='190' | fill=00000000 | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='36.3984674329502' | fill=00000000 | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='123' | fill=00000000 | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='23.5632183908046' | fill=00000000 | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='0' | fill=00000000 | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='0' | fill=00000000 | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='1-3' | fill=00000000 | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='0.383141762452107' | fill=00000000 | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='42' | fill=00000000 | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='8.04597701149425' | fill=00000000 | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='1-3' | fill=00000000 | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V22 | value='0.383141762452107' | fill=00000000 | rows=[21] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W22 | value='6' | fill=00000000 | rows=[21] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X22 | value='1.14942528735632' | fill=00000000 | rows=[21] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y22 | value='735' | fill=00000000 | rows=[21] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z22 | value='100' | fill=00000000 | rows=[21] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell A23 | value='5' | fill=None | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='Female' | fill=None | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='196' | fill=None | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='37.5478927203065' | fill=None | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='0' | fill=None | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='0' | fill=None | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='1-3' | fill=None | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='0.383141762452107' | fill=None | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='9' | fill=None | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='1.72413793103448' | fill=None | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='121' | fill=None | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='23.1800766283525' | fill=None | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='62' | fill=None | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='11.8773946360153' | fill=None | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='0' | fill=None | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='0' | fill=None | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='1-3' | fill=None | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='0.383141762452107' | fill=None | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='20' | fill=None | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='3.83141762452107' | fill=None | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='1-3' | fill=None | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V23 | value='0.383141762452107' | fill=None | rows=[22] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W23 | value='8' | fill=None | rows=[22] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X23 | value='1.53256704980843' | fill=None | rows=[22] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y23 | value='735' | fill=None | rows=[22] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z23 | value='100' | fill=None | rows=[22] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B24 | value='Total' | fill=00000000 | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='522' | fill=00000000 | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='100' | fill=00000000 | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='1-3' | fill=00000000 | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='0.383141762452107' | fill=00000000 | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='1-3' | fill=00000000 | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='0.383141762452107' | fill=00000000 | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='18' | fill=00000000 | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='3.44827586206897' | fill=00000000 | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='311' | fill=00000000 | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L24 | value='59.5785440613027' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='185' | fill=00000000 | rows=[23] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N24 | value='35.4406130268199' | fill=00000000 | rows=[23] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O24 | value='0' | fill=00000000 | rows=[23] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P24 | value='0' | fill=00000000 | rows=[23] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q24 | value='4' | fill=00000000 | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='0.766283524904215' | fill=00000000 | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='62' | fill=00000000 | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T24 | value='11.8773946360153' | fill=00000000 | rows=[23] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U24 | value='4' | fill=00000000 | rows=[23] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V24 | value='0.766283524904215' | fill=00000000 | rows=[23] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W24 | value='14' | fill=00000000 | rows=[23] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X24 | value='2.68199233716475' | fill=00000000 | rows=[23] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y24 | value='735' | fill=00000000 | rows=[23] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z24 | value='100' | fill=00000000 | rows=[23] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell B25 | value='Male' | fill=None | rows=[24] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C25 | value='560' | fill=None | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='76.3983628922237' | fill=None | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='1-3' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='0.272851296043656' | fill=None | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='1-3' | fill=None | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='0.272851296043656' | fill=None | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='10' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='1.36425648021828' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='263' | fill=None | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='35.8799454297408' | fill=None | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='281' | fill=None | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='38.3356070941337' | fill=None | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='0' | fill=None | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='0' | fill=None | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='1-3' | fill=None | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='0.272851296043656' | fill=None | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
