=== economy-table17.xlsx ===
Cell A1 | value='BUSINESS PLAN QUARTERLY DATA SUMMARY - JULY 2012' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] | col_header=True | row_header=True | metadata=True
Cell J24 | value='5.76' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L24 | value='Other Data Sets' | fill=00000000 | rows=[23] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M24 | value='Current' | fill=FFFFFF00 | rows=[23] | cols=[12] | col_header=True | row_header=False | metadata=False
Cell N24 | value='Previous' | fill=FFFFFF00 | rows=[23] | cols=[13] | col_header=True | row_header=False | metadata=False
Cell Q24 | value='Women' | fill=31 | rows=[23] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R24 | value='52.3' | fill=None | rows=[23] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S24 | value='52.3' | fill=None | rows=[23] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A25 | value='Up to top 5 contributory elements' | fill=FF00B050 | rows=[24, 25, 26, 27, 28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B25 | value='A: Crime and Policing' | fill=None | rows=[24] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='384.526' | fill=None | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='34.8' | fill=None | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G25 | value='Voluntary and community sector (VCS)/Small and medium enterprises (SME)' | fill=31 | rows=[24, 25, 26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='Procurement spend with SME (£million)' | fill=31 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='59.29' | fill=None | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='36.42' | fill=None | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L25 | value='1  Non-asylum passengers initially refused entry (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=31 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='3473' | fill=None | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='4148' | fill=None | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='Disabled' | fill=31 | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='6.7' | fill=None | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='6.7' | fill=None | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B26 | value='B: UK Border Agency' | fill=None | rows=[25] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='-7.655' | fill=None | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='23.7' | fill=None | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H26 | value='Procurement spend with VCS (£million)' | fill=31 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='2.99' | fill=None | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='Not applicable' | fill=None | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L26 | value='2 Total removals and voluntary departures  (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=31 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='13386' | fill=None | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='13661' | fill=None | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P26 | value='Workforce Diversity
[Senior Civil Servants only]
(%, current = at 31 Mar 2012, previous = at 31 Dec 2011)' | fill=FF00B050 | rows=[25, 26, 27, 28] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q26 | value='Black and Minority Ethnic' | fill=31 | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='6' | fill=None | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='5.6' | fill=None | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B27 | value='C: Security & Counter Terrorism' | fill=None | rows=[26] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='0.561' | fill=None | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='1.1' | fill=None | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H27 | value='Grants to VCS (£million)' | fill=31 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='10.96' | fill=None | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='11.89' | fill=None | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L27 | value='3 Number of asylum applications received (current = Q1 2012, previous = Q4 2011 (calendar years))' | fill=31 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='4818' | fill=None | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='5261' | fill=None | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='Women' | fill=31 | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R27 | value='38.5' | fill=None | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='38.1' | fill=None | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B28 | value='D: Identity & Passports' | fill=None | rows=[27] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D28 | value='-1.802' | fill=None | rows=[27] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E28 | value='3.4' | fill=None | rows=[27] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G28 | value='Major Projects (Top 5)' | fill=FFFFFF00 | rows=[27] | cols=[6, 7, 8] | col_header=True | row_header=False | metadata=False
Cell J28 | value='Cost' | fill=FFFFFF00 | rows=[27] | cols=[9] | col_header=True | row_header=False | metadata=False
Cell L28 | value='4 Number of hits that the Police.uk has received (current= January 2011 - June 2012, previous= January 2011 - March 2012)' | fill=31 | rows=[27] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M28 | value='484765704' | fill=None | rows=[27] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N28 | value='469678632' | fill=None | rows=[27] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q28 | value='Women (Top Management Posts)' | fill=31 | rows=[27] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R28 | value='29.6' | fill=None | rows=[27] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S28 | value='28.9' | fill=None | rows=[27] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell B29 | value='E: Central Home Office' | fill=None | rows=[28] | cols=[1, 2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='-1.4' | fill=None | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='-1.9' | fill=None | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G29 | value='A: Compass - Ongoing contract provision for UKBA accommodation and related services (£million)' | fill=31 | rows=[28] | cols=[6, 7, 8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='883' | fill=None | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L29 | value='Structural Reform Plan Actions' | fill=FFFFFF00 | rows=[28] | cols=[11] | col_header=True | row_header=False | metadata=False
Cell M29 | value='Q1 2012-13' | fill=31 | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='Q4 2011-12' | fill=31 | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='Disabled' | fill=31 | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='4.4' | fill=None | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='4.4' | fill=None | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A30 | value='Financial Indicators' | fill=FFFFFF00 | rows=[29] | cols=[0, 1, 2] | col_header=True | row_header=False | metadata=False
Cell D30 | value='Q4 2011-12' | fill=31 | rows=[29] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E30 | value='Q3 2011-12' | fill=31 | rows=[29] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G30 | value='B: e-Borders - This programme will create an integrated and more secure border for the 21st century (£million)' | fill=31 | rows=[29] | cols=[6, 7, 8] | col_header=False | row_header=False | metadata=False
Cell J30 | value='801' | fill=None | rows=[29] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L30 | value='Total number of actions completed over the quarter' | fill=31 | rows=[29] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M30 | value='17' | fill=None | rows=[29] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N30 | value='15' | fill=None | rows=[29] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P30 | value='Attendance (AWDL) (see measurement annex for time coverage)' | fill=FF00B050 | rows=[29, 30] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q30 | value='Actual' | fill=31 | rows=[29] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R30 | value='7.9' | fill=None | rows=[29] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S30 | value='7.8' | fill=None | rows=[29] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A31 | value='Accuracy of Cash Forecasting ( +/- %)' | fill=31 | rows=[30] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D31 | value='4.74' | fill=None | rows=[30] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E31 | value='6.32' | fill=None | rows=[30] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G31 | value='C: Cyclamen - To deter the illicit importation of freight entering the UK, whilst minimising the disruption to legitimate passengers and freight (£million)' | fill=31 | rows=[30] | cols=[6, 7, 8] | col_header=False | row_header=False | metadata=False
Cell J31 | value='747' | fill=None | rows=[30] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L31 | value='Total number of actions overdue at the end of the quarter' | fill=31 | rows=[30] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M31 | value='21' | fill=None | rows=[30] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N31 | value='15' | fill=None | rows=[30] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell Q31 | value='Standardised' | fill=31 | rows=[30] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R31 | value='8.1' | fill=None | rows=[30] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S31 | value='8.1' | fill=None | rows=[30] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A32 | value='Working Capital Forecast (% variance of Actual v Forecast)' | fill=31 | rows=[31] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D32 | value='38.16' | fill=None | rows=[31] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E32 | value='187.03' | fill=None | rows=[31] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G32 | value='D: Disclosure and Barring Programme - To reduce costs and enhance vetting services offered by CRB and ISA (£million)' | fill=31 | rows=[31] | cols=[6, 7, 8] | col_header=False | row_header=False | metadata=False
Cell J32 | value='708' | fill=None | rows=[31] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L32 | value='Number of overdue actions that are attributable to external factors' | fill=31 | rows=[31] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M32 | value='3' | fill=None | rows=[31] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N32 | value='0' | fill=None | rows=[31] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P32 | value='Department only; People Survey Metrics' | fill=FFFFFF00 | rows=[31] | cols=[15, 16] | col_header=True | row_header=False | metadata=False
Cell R32 | value='2011 survey' | fill=31 | rows=[31] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S32 | value='2010 survey' | fill=31 | rows=[31] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A33 | value='Net Book Value (% variance of Actual v Forecast)' | fill=31 | rows=[32] | cols=[0, 1, 2] | col_header=False | row_header=False | metadata=False
Cell D33 | value='5.03' | fill=None | rows=[32] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E33 | value='1.92' | fill=None | rows=[32] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G33 | value='E: New Passport Programme - To deliver a new supplier and design for UK passport (£million)' | fill=31 | rows=[32] | cols=[6, 7, 8] | col_header=False | row_header=False | metadata=False
Cell J33 | value='453' | fill=None | rows=[32] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L33 | value='Total number of actions ongoing' | fill=31 | rows=[32] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M33 | value='21' | fill=None | rows=[32] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N33 | value='36' | fill=None | rows=[32] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P33 | value='Engagement Index (%)' | fill=FF00B050 | rows=[32] | cols=[15, 16] | col_header=False | row_header=True | metadata=False
Cell R33 | value='58' | fill=None | rows=[32] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S33 | value='57' | fill=None | rows=[32] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell G34 | value='£m whole life cost of ALL major projects' | fill=31 | rows=[33] | cols=[6, 7, 8] | col_header=False | row_header=False | metadata=False
Cell J34 | value='7088' | fill=None | rows=[33] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell L34 | value='Total number of actions in the business plan that have yet to start' | fill=31 | rows=[33] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M34 | value='4' | fill=None | rows=[33] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N34 | value='12' | fill=None | rows=[33] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell P34 | value='Theme scores  (%)' | fill=FF00B050 | rows=[33, 34, 35, 36] | cols=[15] | col_header=False | row_header=True | metadata=False
Cell Q34 | value='Leadership and Managing Change' | fill=31 | rows=[33] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R34 | value='40' | fill=None | rows=[33] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S34 | value='38' | fill=None | rows=[33] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell Q35 | value='My Work' | fill=31 | rows=[34] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R35 | value='76' | fill=None | rows=[34] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S35 | value='72' | fill=None | rows=[34] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell A36 | value='Notes: 
(1) For more information on time periods, please refer to measurement annex;
(2) Numbers may not sum to totals due to rounding;
(3) For cells that are marked as 'not applicable' please refer to measurement annex  for specific reasons;
(4) For cells that are marked with a QDS number and a year (e.g. QDS4 2011-12) refers to the future QDS publication that the department will be able to provide the missing data. Please refer to measurement annex for specific reasons for this missing data;
(5) Cells coloured 'white' indicate missing data cells;
(6) Cells coloured "light grey" indicate where data does not conform to the technical definition requested, please refer to the measurement annex for specific reasons;
(7) Further information on input and impact indicators please visit http://www.homeoffice.gov.uk/publications/about-us/corporate-publications/business-plan/business-plan-2012-15-data/;
(8) Further information on the Structural Reform Plan Actions visit: http://transparency-archive.number10.gov.uk/transparency/srp;
(9) Outturn data for 2011/12 against each of the QDS indicators is included in Departments’ Annual Reports and Accounts. Due to changes in the way in which results are calculated, those outturn figures may differ slightly from the cumulative data to be found in the QDSs for the four quarters to March 2012' | fill=FF00B0F0 | rows=[35, 36, 37, 38, 39, 40] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11] | col_header=False | row_header=False | metadata=True
Cell Q36 | value='My Line Manager' | fill=31 | rows=[35] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R36 | value='67' | fill=None | rows=[35] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S36 | value='66' | fill=None | rows=[35] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell Q37 | value='Organisational Objectives & Purpose' | fill=31 | rows=[36] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R37 | value='82' | fill=None | rows=[36] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S37 | value='80' | fill=None | rows=[36] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell P38 | value='Contact details:
Public enquires: Members of the public should contact 020 7035 4848 or 020 7035 4742 (for people with impaired hearing).
Press enquiries: Members of the media should contact the News Desk on 020 7035 3535.' | fill=FF00B0F0 | rows=[37, 38, 39] | cols=[15, 16, 17, 18] | col_header=False | row_header=False | metadata=True
Cell A42 | value='Any interpretation of this management information must give careful consideration to the caveats noted in the measurement annex. Many of the measures are not yet directly comparable because they do not have common definitions, time periods, or data collection processes.' | fill=FF00B0F0 | rows=[41] | cols=[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13] | col_header=False | row_header=False | metadata=True

