=== economy-table24.xlsx ===
Cell B1 | value='Africa's Development Dynamics (AfDD) - all tables, all indicators' | fill=FF00B0F0 | rows=[0] | cols=[1] | col_header=False | row_header=False | metadata=True
Cell AZ16 | value='55.4' | fill=00000000 | rows=[15] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA16 | value='14.285076266' | fill=00000000 | rows=[15] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB16 | value='26.559601936' | fill=00000000 | rows=[15] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell B17 | value='·  South Africa' | fill=FFE2F2FB | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D17 | value='60414.494' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='377675.7321' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='993044.1099' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='16139.64278' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='0.6016618757' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='6.8688594923' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='63' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='20.5' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='0.713' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='0.471' | fill=00000000 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='82.133140439' | fill=00000000 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='60414.494' | fill=00000000 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='41576.650626' | fill=00000000 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='18837.843374' | fill=00000000 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='6033.7427194' | fill=00000000 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='9' | fill=00000000 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='22475.687668' | fill=00000000 | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='6' | fill=00000000 | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V17 | value='8.8864858664' | fill=00000000 | rows=[16] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W17 | value='42.976246777' | fill=00000000 | rows=[16] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X17 | value='51.862732643' | fill=00000000 | rows=[16] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y17 | value='82.133140439' | fill=00000000 | rows=[16] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z17 | value='84.595849791' | fill=00000000 | rows=[16] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA17 | value='76.697740839' | fill=00000000 | rows=[16] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB17 | value='98.82957' | fill=00000000 | rows=[16] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC17 | value='97.98624' | fill=00000000 | rows=[16] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD17 | value='98.40953' | fill=00000000 | rows=[16] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE17 | value='1.00853' | fill=00000000 | rows=[16] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF17 | value='94.53317' | fill=00000000 | rows=[16] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG17 | value='95.54537' | fill=00000000 | rows=[16] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH17 | value='95.02297' | fill=00000000 | rows=[16] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI17 | value='0.98941' | fill=00000000 | rows=[16] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ17 | value='52.382' | fill=00000000 | rows=[16] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK17 | value='64.273' | fill=00000000 | rows=[16] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL17 | value='58.079' | fill=00000000 | rows=[16] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM17 | value='60.543741682' | fill=00000000 | rows=[16] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN17 | value='4199.242' | fill=00000000 | rows=[16] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO17 | value='23.310447963' | fill=00000000 | rows=[16] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP17 | value='12313.405' | fill=00000000 | rows=[16] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ17 | value='68.35304717' | fill=00000000 | rows=[16] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR17 | value='826.722' | fill=00000000 | rows=[16] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS17 | value='4.589223522' | fill=00000000 | rows=[16] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT17 | value='4105.504' | fill=00000000 | rows=[16] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU17 | value='22.790098155' | fill=00000000 | rows=[16] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV17 | value='93.738' | fill=00000000 | rows=[16] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW17 | value='0.5203498087' | fill=00000000 | rows=[16] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX17 | value='43.3' | fill=00000000 | rows=[16] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY17 | value='41.3' | fill=00000000 | rows=[16] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ17 | value='42.2' | fill=00000000 | rows=[16] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA17 | value='15.199854831' | fill=00000000 | rows=[16] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB17 | value='24.256403488' | fill=00000000 | rows=[16] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell B18 | value='·  Zambia' | fill=FFE2F2FB | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D18 | value='20569.737' | fill=00000000 | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='28406.26667' | fill=00000000 | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='85951.22344' | fill=00000000 | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='4178.52807' | fill=00000000 | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='4.3298367371' | fill=00000000 | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='10.993203899' | fill=00000000 | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='51.5' | fill=00000000 | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='64.3' | fill=00000000 | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='0.565' | fill=00000000 | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='0.39' | fill=00000000 | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='40.970216351' | fill=00000000 | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='20569.737' | fill=00000000 | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='9530.987639' | fill=00000000 | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='11038.749361' | fill=00000000 | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='1362.8623417' | fill=00000000 | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='2' | fill=00000000 | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='3209.9026093' | fill=00000000 | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='1' | fill=00000000 | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V18 | value='3.1706301868' | fill=00000000 | rows=[17] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W18 | value='76.0970941' | fill=00000000 | rows=[17] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X18 | value='79.267724287' | fill=00000000 | rows=[17] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y18 | value='40.970216351' | fill=00000000 | rows=[17] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z18 | value='73.015160872' | fill=00000000 | rows=[17] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA18 | value='13.302229686' | fill=00000000 | rows=[17] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB18 | value='91.62819' | fill=00000000 | rows=[17] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC18 | value='92.55964' | fill=00000000 | rows=[17] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD18 | value='92.09157' | fill=00000000 | rows=[17] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE18 | value='0.98994' | fill=00000000 | rows=[17] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF18 | value='83.08344' | fill=00000000 | rows=[17] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG18 | value='90.60118' | fill=00000000 | rows=[17] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH18 | value='86.74796' | fill=00000000 | rows=[17] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI18 | value='0.91702' | fill=00000000 | rows=[17] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ18 | value='52.149' | fill=00000000 | rows=[17] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK18 | value='67.33' | fill=00000000 | rows=[17] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL18 | value='59.564' | fill=00000000 | rows=[17] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM18 | value='60.837032183' | fill=00000000 | rows=[17] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN18 | value='4520.177' | fill=00000000 | rows=[17] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO18 | value='66.929264904' | fill=00000000 | rows=[17] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP18 | value='1761.372' | fill=00000000 | rows=[17] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ18 | value='26.080247119' | fill=00000000 | rows=[17] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR18 | value='246.719' | fill=00000000 | rows=[17] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS18 | value='3.6531138732' | fill=00000000 | rows=[17] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT18 | value='4299.097' | fill=00000000 | rows=[17] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU18 | value='63.655782055' | fill=00000000 | rows=[17] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV18 | value='221.08' | fill=00000000 | rows=[17] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW18 | value='3.2734828492' | fill=00000000 | rows=[17] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX18 | value='90' | fill=00000000 | rows=[17] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY18 | value='81.7' | fill=00000000 | rows=[17] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ18 | value='85.6' | fill=00000000 | rows=[17] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA18 | value='5.3772253908' | fill=00000000 | rows=[17] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB18 | value='33.785742427' | fill=00000000 | rows=[17] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell B19 | value='·  Zimbabwe' | fill=FFE2F2FB | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D19 | value='16665.409' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='32216.02486' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='46397.14112' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='2870.349766' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='5.3129462511' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='193.3988363' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='50.3' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='39.8' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='0.593' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='0.458' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='49.596044055' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='16665.409' | fill=00000000 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='5419.0910445' | fill=00000000 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='11246.317955' | fill=00000000 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='932.98820822' | fill=00000000 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='2' | fill=00000000 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='1397.9706245' | fill=00000000 | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U19 | value='1' | fill=00000000 | rows=[18] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V19 | value='5.840810693' | fill=00000000 | rows=[18] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W19 | value='71.382710617' | fill=00000000 | rows=[18] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X19 | value='77.22352131' | fill=00000000 | rows=[18] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y19 | value='49.596044055' | fill=00000000 | rows=[18] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z19 | value='79.912462181' | fill=00000000 | rows=[18] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA19 | value='34.987935817' | fill=00000000 | rows=[18] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB19 | value='93.18835' | fill=00000000 | rows=[18] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC19 | value='87.59186' | fill=00000000 | rows=[18] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD19 | value='90.42812' | fill=00000000 | rows=[18] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE19 | value='1.06006' | fill=00000000 | rows=[18] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF19 | value='88.28383' | fill=00000000 | rows=[18] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG19 | value='89.18537' | fill=00000000 | rows=[18] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH19 | value='88.69342' | fill=00000000 | rows=[18] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI19 | value='0.98989' | fill=00000000 | rows=[18] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ19 | value='60.393' | fill=00000000 | rows=[18] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK19 | value='72.564' | fill=00000000 | rows=[18] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL19 | value='65.918' | fill=00000000 | rows=[18] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM19 | value='86.944105379' | fill=00000000 | rows=[18] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN19 | value='3543.902' | fill=00000000 | rows=[18] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO19 | value='59.434767114' | fill=00000000 | rows=[18] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP19 | value='2112.028' | fill=00000000 | rows=[18] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ19 | value='35.420813645' | fill=00000000 | rows=[18] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR19 | value='125.018' | fill=00000000 | rows=[18] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS19 | value='2.0966764078' | fill=00000000 | rows=[18] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT19 | value='3536.333' | fill=00000000 | rows=[18] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU19 | value='59.307827443' | fill=00000000 | rows=[18] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV19 | value='7.569' | fill=00000000 | rows=[18] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW19 | value='0.1269396705' | fill=00000000 | rows=[18] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX19 | value='91.6' | fill=00000000 | rows=[18] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY19 | value='85.4' | fill=00000000 | rows=[18] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ19 | value='88.4' | fill=00000000 | rows=[18] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA19 | value='4.1278754325' | fill=00000000 | rows=[18] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB19 | value='8.9280191887' | fill=00000000 | rows=[18] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell B20 | value='Central Africa (African Union)' | fill=FFE2F2FB | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D20 | value='178659.506' | fill=00000000 | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='186453.96813' | fill=00000000 | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='444276.24349' | fill=00000000 | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='2558.140404' | fill=00000000 | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='3.8665806502' | fill=00000000 | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='6.2522258494' | fill=00000000 | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='40.5' | fill=00000000 | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='39.814285714' | fill=00000000 | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='0.53' | fill=00000000 | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='0.377' | fill=00000000 | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='25.266289039' | fill=00000000 | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='178659.506' | fill=00000000 | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='82321.987369' | fill=00000000 | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='96337.518631' | fill=00000000 | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='12734.191019' | fill=00000000 | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='19' | fill=00000000 | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='45230.585339' | fill=00000000 | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='14' | fill=00000000 | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='5.2888820681' | fill=00000000 | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W20 | value='78.714874586' | fill=00000000 | rows=[19] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X20 | value='84.003756654' | fill=00000000 | rows=[19] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y20 | value='25.266289039' | fill=00000000 | rows=[19] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z20 | value='49.512245912' | fill=00000000 | rows=[19] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA20 | value='4.5477218204' | fill=00000000 | rows=[19] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB20 | value='70.86038375' | fill=00000000 | rows=[19] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC20 | value='78.67612625' | fill=00000000 | rows=[19] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD20 | value='74.6215675' | fill=00000000 | rows=[19] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE20 | value='0.85841' | fill=00000000 | rows=[19] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF20 | value='60.82250125' | fill=00000000 | rows=[19] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG20 | value='74.5479625' | fill=00000000 | rows=[19] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH20 | value='67.4973725' | fill=00000000 | rows=[19] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI20 | value='0.76939' | fill=00000000 | rows=[19] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ20 | value='63.029513074' | fill=00000000 | rows=[19] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK20 | value='71.416482163' | fill=00000000 | rows=[19] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL20 | value='67.158256738' | fill=00000000 | rows=[19] | cols=[37] | col_header=False | row_header=False | metadata=False
Cell AM20 | value='76.502852204' | fill=00000000 | rows=[19] | cols=[38] | col_header=False | row_header=False | metadata=False
Cell AN20 | value='48843.601' | fill=00000000 | rows=[19] | cols=[39] | col_header=False | row_header=False | metadata=False
Cell AO20 | value='78.176773239' | fill=00000000 | rows=[19] | cols=[40] | col_header=False | row_header=False | metadata=False
Cell AP20 | value='9708.398' | fill=00000000 | rows=[19] | cols=[41] | col_header=False | row_header=False | metadata=False
Cell AQ20 | value='15.538805768' | fill=00000000 | rows=[19] | cols=[42] | col_header=False | row_header=False | metadata=False
Cell AR20 | value='1764.342' | fill=00000000 | rows=[19] | cols=[43] | col_header=False | row_header=False | metadata=False
Cell AS20 | value='2.8239229218' | fill=00000000 | rows=[19] | cols=[44] | col_header=False | row_header=False | metadata=False
Cell AT20 | value='36653.086' | fill=00000000 | rows=[19] | cols=[45] | col_header=False | row_header=False | metadata=False
Cell AU20 | value='58.665207603' | fill=00000000 | rows=[19] | cols=[46] | col_header=False | row_header=False | metadata=False
Cell AV20 | value='12190.515' | fill=00000000 | rows=[19] | cols=[47] | col_header=False | row_header=False | metadata=False
Cell AW20 | value='19.511565636' | fill=00000000 | rows=[19] | cols=[48] | col_header=False | row_header=False | metadata=False
Cell AX20 | value='96.9' | fill=00000000 | rows=[19] | cols=[49] | col_header=False | row_header=False | metadata=False
Cell AY20 | value='92.775' | fill=00000000 | rows=[19] | cols=[50] | col_header=False | row_header=False | metadata=False
Cell AZ20 | value='94.775' | fill=00000000 | rows=[19] | cols=[51] | col_header=False | row_header=False | metadata=False
Cell BA20 | value='1.4096692582' | fill=00000000 | rows=[19] | cols=[52] | col_header=False | row_header=False | metadata=False
Cell BB20 | value='22.087481074' | fill=00000000 | rows=[19] | cols=[53] | col_header=False | row_header=False | metadata=False
Cell B21 | value='·  Burundi' | fill=FFE2F2FB | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell D21 | value='13238.559' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='4215.986466' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='11461.9576' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='883.3142581' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='2.6592168688' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='18.887811234' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='37.5' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='62.1' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='0.426' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='0.302' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='10.832837432' | fill=00000000 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='13238.559' | fill=00000000 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='1957.1885626' | fill=00000000 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='11281.370437' | fill=00000000 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='979.06579386' | fill=00000000 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='1' | fill=00000000 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='1224.2689229' | fill=00000000 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='1' | fill=00000000 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V21 | value='4.7573347522' | fill=00000000 | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W21 | value='86.23893753' | fill=00000000 | rows=[20] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X21 | value='90.996272282' | fill=00000000 | rows=[20] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell Y21 | value='10.832837432' | fill=00000000 | rows=[20] | cols=[24] | col_header=False | row_header=False | metadata=False
Cell Z21 | value='54.502080457' | fill=00000000 | rows=[20] | cols=[25] | col_header=False | row_header=False | metadata=False
Cell AA21 | value='3.2567239218' | fill=00000000 | rows=[20] | cols=[26] | col_header=False | row_header=False | metadata=False
Cell AB21 | value='85.61855' | fill=00000000 | rows=[20] | cols=[27] | col_header=False | row_header=False | metadata=False
Cell AC21 | value='91.03415' | fill=00000000 | rows=[20] | cols=[28] | col_header=False | row_header=False | metadata=False
Cell AD21 | value='88.22177' | fill=00000000 | rows=[20] | cols=[29] | col_header=False | row_header=False | metadata=False
Cell AE21 | value='0.94051' | fill=00000000 | rows=[20] | cols=[30] | col_header=False | row_header=False | metadata=False
Cell AF21 | value='61.22369' | fill=00000000 | rows=[20] | cols=[31] | col_header=False | row_header=False | metadata=False
Cell AG21 | value='76.29605' | fill=00000000 | rows=[20] | cols=[32] | col_header=False | row_header=False | metadata=False
Cell AH21 | value='68.37533' | fill=00000000 | rows=[20] | cols=[33] | col_header=False | row_header=False | metadata=False
Cell AI21 | value='0.80245' | fill=00000000 | rows=[20] | cols=[34] | col_header=False | row_header=False | metadata=False
Cell AJ21 | value='78.782' | fill=00000000 | rows=[20] | cols=[35] | col_header=False | row_header=False | metadata=False
Cell AK21 | value='78.839' | fill=00000000 | rows=[20] | cols=[36] | col_header=False | row_header=False | metadata=False
Cell AL21 | value='78.81' | fill=00000000 | rows=[20] | cols=[37] | col_header=False | row_header=False | metadata=False
