=== economy-table14.xlsx ===
Cell A1 | value='Number of tables on this sheet:' | fill=FF00B0F0 | rows=[0] | cols=[0] | col_header=True | row_header=True | metadata=True
Cell C25 | value='1612.39656033451' | fill=9 | rows=[24] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D25 | value='2185.8831451195' | fill=9 | rows=[24] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E25 | value='2060.99031947277' | fill=9 | rows=[24] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F25 | value='2303.15880188329' | fill=9 | rows=[24] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G25 | value='2290.48986910912' | fill=9 | rows=[24] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H25 | value='887.75947528178' | fill=9 | rows=[24] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I25 | value='816.934176687177' | fill=9 | rows=[24] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J25 | value='2574.77554663561' | fill=9 | rows=[24] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K25 | value='2541.1737714501' | fill=9 | rows=[24] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L25 | value='2944.94839632146' | fill=9 | rows=[24] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M25 | value='3106.14493630463' | fill=9 | rows=[24] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N25 | value='1948.21310395494' | fill=9 | rows=[24] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O25 | value='2120.68449108655' | fill=9 | rows=[24] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P25 | value='1686.82204912756' | fill=9 | rows=[24] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q25 | value='1787.52677056676' | fill=9 | rows=[24] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R25 | value='1885.13432239413' | fill=9 | rows=[24] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S25 | value='1924.44178823346' | fill=9 | rows=[24] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T25 | value='18022.7102256112' | fill=9 | rows=[24] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U25 | value='18260.7826832451' | fill=9 | rows=[24] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A26 | value='Designer Fashion' | fill=9 | rows=[25] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B26 | value='3077.505' | fill=9 | rows=[25] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C26 | value='1192.785' | fill=9 | rows=[25] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D26 | value='1753.7' | fill=9 | rows=[25] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E26 | value='1354.155' | fill=9 | rows=[25] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F26 | value='4324.38' | fill=9 | rows=[25] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G26 | value='4639.54' | fill=9 | rows=[25] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H26 | value='318.92' | fill=9 | rows=[25] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I26 | value='414.33' | fill=9 | rows=[25] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J26 | value='1597.795' | fill=9 | rows=[25] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K26 | value='1842.875' | fill=9 | rows=[25] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L26 | value='1911.86' | fill=9 | rows=[25] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M26 | value='2666.145' | fill=9 | rows=[25] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N26 | value='823.735' | fill=9 | rows=[25] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O26 | value='1484.295' | fill=9 | rows=[25] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P26 | value='1347.92' | fill=9 | rows=[25] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q26 | value='1140.53' | fill=9 | rows=[25] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R26 | value='1191.445' | fill=9 | rows=[25] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S26 | value='904.53' | fill=9 | rows=[25] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T26 | value='17396.9' | fill=9 | rows=[25] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U26 | value='17217.85' | fill=9 | rows=[25] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A27 | value='Music & the Visual & Performing Arts' | fill=9 | rows=[26] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B27 | value='8702.85' | fill=9 | rows=[26] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C27 | value='6390.94' | fill=9 | rows=[26] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D27 | value='12236.2' | fill=9 | rows=[26] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E27 | value='15211.35' | fill=9 | rows=[26] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F27 | value='63758.48' | fill=9 | rows=[26] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G27 | value='73017.95' | fill=9 | rows=[26] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H27 | value='4903.03' | fill=9 | rows=[26] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I27 | value='5822.66' | fill=9 | rows=[26] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J27 | value='12698.59' | fill=9 | rows=[26] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K27 | value='17444.98' | fill=9 | rows=[26] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L27 | value='28863.43' | fill=9 | rows=[26] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M27 | value='28772.09' | fill=9 | rows=[26] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N27 | value='18800.01' | fill=9 | rows=[26] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O27 | value='16936.36' | fill=9 | rows=[26] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P27 | value='7784.43' | fill=9 | rows=[26] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q27 | value='9140.45' | fill=9 | rows=[26] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R27 | value='12036.42' | fill=9 | rows=[26] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S27 | value='13994.85' | fill=9 | rows=[26] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T27 | value='172585.69' | fill=9 | rows=[26] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U27 | value='189158.06' | fill=9 | rows=[26] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell A29 | value='Total' | fill=FF00B050 | rows=[28] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell B29 | value='87842.8603848929' | fill=9 | rows=[28] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C29 | value='85406.0615603345' | fill=9 | rows=[28] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D29 | value='138251.413145119' | fill=9 | rows=[28] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E29 | value='133419.725319473' | fill=9 | rows=[28] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F29 | value='451787.868801883' | fill=9 | rows=[28] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G29 | value='458666.999869109' | fill=9 | rows=[28] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H29 | value='44162.5694752818' | fill=9 | rows=[28] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I29 | value='42607.4541766872' | fill=9 | rows=[28] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J29 | value='145026.400546636' | fill=9 | rows=[28] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K29 | value='141727.35877145' | fill=9 | rows=[28] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L29 | value='251488.008396321' | fill=9 | rows=[28] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M29 | value='257285.339936305' | fill=9 | rows=[28] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N29 | value='138208.098103955' | fill=9 | rows=[28] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O29 | value='137847.909491087' | fill=9 | rows=[28] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P29 | value='101333.832049128' | fill=9 | rows=[28] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q29 | value='105814.326770567' | fill=9 | rows=[28] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R29 | value='108000.339322394' | fill=9 | rows=[28] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S29 | value='109834.851788233' | fill=9 | rows=[28] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T29 | value='1479380.78022561' | fill=9 | rows=[28] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U29 | value='1487726.41268325' | fill=9 | rows=[28] | cols=[20] | col_header=False | row_header=False | metadata=False

