=== economy-table64.xlsx ===
Cell A1 | value='60507 - Fitness Memberships' | fill=FF00B0F0 | rows=[0] | cols=[0, 1, 2, 3, 4, 5, 6, 7] | col_header=True | row_header=True | metadata=True
Cell D47 | value='114003-40' | fill=46 | rows=[46] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E47 | value='1499.99' | fill=9 | rows=[46] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G47 | value='166.66' | fill=9 | rows=[46] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H47 | value='1333.33' | fill=9 | rows=[46] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A48 | value='3month' | fill=46 | rows=[47] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B48 | value='SEP' | fill=46 | rows=[47] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C48 | value='3' | fill=46 | rows=[47] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D48 | value='114003-40' | fill=46 | rows=[47] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E48 | value='480' | fill=9 | rows=[47] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G48 | value='480' | fill=9 | rows=[47] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H48 | value='0' | fill=9 | rows=[47] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A49 | value='12 month' | fill=46 | rows=[48] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B49 | value='SEP' | fill=46 | rows=[48] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C49 | value='12' | fill=46 | rows=[48] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D49 | value='114003-40' | fill=46 | rows=[48] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E49 | value='833.34' | fill=9 | rows=[48] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G49 | value='83.34' | fill=9 | rows=[48] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H49 | value='750' | fill=9 | rows=[48] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A50 | value='3month' | fill=46 | rows=[49] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B50 | value='OCT' | fill=46 | rows=[49] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C50 | value='3' | fill=46 | rows=[49] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D50 | value='114003-40' | fill=46 | rows=[49] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E50 | value='1600' | fill=9 | rows=[49] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G50 | value='800' | fill=9 | rows=[49] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H50 | value='800' | fill=9 | rows=[49] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A51 | value='12 month' | fill=46 | rows=[50] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B51 | value='OCT' | fill=46 | rows=[50] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C51 | value='12' | fill=46 | rows=[50] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D51 | value='114003-40' | fill=46 | rows=[50] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E51 | value='916.67' | fill=9 | rows=[50] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell G51 | value='83.34' | fill=9 | rows=[50] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H51 | value='833.33' | fill=9 | rows=[50] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A52 | value='3month' | fill=46 | rows=[51] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B52 | value='NOV' | fill=46 | rows=[51] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C52 | value='3' | fill=46 | rows=[51] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D52 | value='114003-40' | fill=46 | rows=[51] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E52 | value='0' | fill=9 | rows=[51] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F52 | value='2240' | fill=9 | rows=[51] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G52 | value='746.67' | fill=9 | rows=[51] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H52 | value='1493.33' | fill=9 | rows=[51] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A53 | value='12 month' | fill=46 | rows=[52] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B53 | value='NOV' | fill=46 | rows=[52] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C53 | value='12' | fill=46 | rows=[52] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D53 | value='114003-40' | fill=46 | rows=[52] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E53 | value='0.00272727272704287' | fill=9 | rows=[52] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F53 | value='1500' | fill=9 | rows=[52] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G53 | value='125' | fill=9 | rows=[52] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H53 | value='1375.00272727273' | fill=9 | rows=[52] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A54 | value='3month' | fill=46 | rows=[53] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B54 | value='DEC' | fill=46 | rows=[53] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C54 | value='3' | fill=46 | rows=[53] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D54 | value='114003-40' | fill=46 | rows=[53] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E54 | value='0' | fill=9 | rows=[53] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H54 | value='0' | fill=9 | rows=[53] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A55 | value='12 month' | fill=46 | rows=[54] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B55 | value='DEC' | fill=46 | rows=[54] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C55 | value='12' | fill=46 | rows=[54] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D55 | value='114003-40' | fill=46 | rows=[54] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E55 | value='0' | fill=9 | rows=[54] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell H55 | value='0' | fill=9 | rows=[54] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell A56 | value='TOTAL' | fill=FF00B050 | rows=[55] | cols=[0] | col_header=False | row_header=True | metadata=False
Cell D56 | value='0' | fill=00000000 | rows=[55] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E56 | value='12258.3560606061' | fill=00000000 | rows=[55] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F56 | value='3740' | fill=00000000 | rows=[55] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G56 | value='4081.71' | fill=00000000 | rows=[55] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H56 | value='11916.6460606061' | fill=00000000 | rows=[55] | cols=[7] | col_header=False | row_header=False | metadata=False

