=== education-table17.xlsx ===
Cell A1 | value='State' | fill=FFFFFF00 | rows=[0, 1] | cols=[0] | col_header=True | row_header=True | metadata=False
Cell J13 | value='81.6745' | fill=00000000 | rows=[12] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K13 | value='957' | fill=00000000 | rows=[12] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L13 | value='4.0549' | fill=00000000 | rows=[12] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M13 | value='25' | fill=00000000 | rows=[12] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N13 | value='0.1059' | fill=00000000 | rows=[12] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O13 | value='232' | fill=00000000 | rows=[12] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P13 | value='0.98301' | fill=00000000 | rows=[12] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q13 | value='4265' | fill=00000000 | rows=[12] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R13 | value='18.0713' | fill=00000000 | rows=[12] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S13 | value='318' | fill=00000000 | rows=[12] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T13 | value='1.3474' | fill=00000000 | rows=[12] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U13 | value='1429' | fill=00000000 | rows=[12] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V13 | value='6.0548' | fill=00000000 | rows=[12] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W13 | value='204' | fill=00000000 | rows=[12] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X13 | value='100' | fill=00000000 | rows=[12] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A14 | value='Florida' | fill=None | rows=[13] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B14 | value='459675' | fill=None | rows=[13] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C14 | value='1834' | fill=None | rows=[13] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D14 | value='0.399' | fill=None | rows=[13] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E14 | value='5563' | fill=None | rows=[13] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F14 | value='1.2102' | fill=None | rows=[13] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G14 | value='141500' | fill=None | rows=[13] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H14 | value='30.7826' | fill=None | rows=[13] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I14 | value='107635' | fill=None | rows=[13] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J14 | value='23.4155' | fill=None | rows=[13] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K14 | value='188106' | fill=None | rows=[13] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L14 | value='40.9215' | fill=None | rows=[13] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M14 | value='526' | fill=None | rows=[13] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N14 | value='0.1144' | fill=None | rows=[13] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O14 | value='14511' | fill=None | rows=[13] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P14 | value='3.1568' | fill=None | rows=[13] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q14 | value='91177' | fill=None | rows=[13] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R14 | value='19.8351' | fill=None | rows=[13] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S14 | value='14639' | fill=None | rows=[13] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T14 | value='3.18464' | fill=None | rows=[13] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U14 | value='35235' | fill=None | rows=[13] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V14 | value='7.6652' | fill=None | rows=[13] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W14 | value='3954' | fill=None | rows=[13] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X14 | value='100' | fill=None | rows=[13] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A15 | value='Georgia' | fill=00000000 | rows=[14] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B15 | value='189481' | fill=00000000 | rows=[14] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C15 | value='416' | fill=00000000 | rows=[14] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D15 | value='0.2195' | fill=00000000 | rows=[14] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E15 | value='2533' | fill=00000000 | rows=[14] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F15 | value='1.3368' | fill=00000000 | rows=[14] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G15 | value='23037' | fill=00000000 | rows=[14] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H15 | value='12.1579' | fill=00000000 | rows=[14] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I15 | value='73454' | fill=00000000 | rows=[14] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J15 | value='38.7659' | fill=00000000 | rows=[14] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K15 | value='83540' | fill=00000000 | rows=[14] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L15 | value='44.0889' | fill=00000000 | rows=[14] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M15 | value='222' | fill=00000000 | rows=[14] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N15 | value='0.1172' | fill=00000000 | rows=[14] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O15 | value='6279' | fill=00000000 | rows=[14] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P15 | value='3.31379' | fill=00000000 | rows=[14] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q15 | value='31602' | fill=00000000 | rows=[14] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R15 | value='16.6782' | fill=00000000 | rows=[14] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S15 | value='2805' | fill=00000000 | rows=[14] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T15 | value='1.48036' | fill=00000000 | rows=[14] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U15 | value='8090' | fill=00000000 | rows=[14] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V15 | value='4.2696' | fill=00000000 | rows=[14] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W15 | value='2444' | fill=00000000 | rows=[14] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X15 | value='99.795' | fill=00000000 | rows=[14] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A16 | value='Hawaii' | fill=None | rows=[15] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B16 | value='36536' | fill=None | rows=[15] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C16 | value='207' | fill=None | rows=[15] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D16 | value='0.5666' | fill=None | rows=[15] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E16 | value='6194' | fill=None | rows=[15] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F16 | value='16.9531' | fill=None | rows=[15] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G16 | value='4252' | fill=None | rows=[15] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H16 | value='11.6378' | fill=None | rows=[15] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I16 | value='450' | fill=None | rows=[15] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J16 | value='1.2317' | fill=None | rows=[15] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K16 | value='4741' | fill=None | rows=[15] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L16 | value='12.9762' | fill=None | rows=[15] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M16 | value='17040' | fill=None | rows=[15] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N16 | value='46.6389' | fill=None | rows=[15] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O16 | value='3652' | fill=None | rows=[15] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P16 | value='9.99562' | fill=None | rows=[15] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q16 | value='729' | fill=None | rows=[15] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R16 | value='1.9953' | fill=None | rows=[15] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S16 | value='43' | fill=None | rows=[15] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T16 | value='0.11769' | fill=None | rows=[15] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U16 | value='4777' | fill=None | rows=[15] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V16 | value='13.0748' | fill=None | rows=[15] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W16 | value='287' | fill=None | rows=[15] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X16 | value='100' | fill=None | rows=[15] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A17 | value='Idaho' | fill=00000000 | rows=[16] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B17 | value='29261' | fill=00000000 | rows=[16] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C17 | value='718' | fill=00000000 | rows=[16] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D17 | value='2.4538' | fill=00000000 | rows=[16] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E17 | value='251' | fill=00000000 | rows=[16] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F17 | value='0.8578' | fill=00000000 | rows=[16] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G17 | value='5142' | fill=00000000 | rows=[16] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H17 | value='17.5729' | fill=00000000 | rows=[16] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I17 | value='257' | fill=00000000 | rows=[16] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J17 | value='0.8783' | fill=00000000 | rows=[16] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K17 | value='22094' | fill=00000000 | rows=[16] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L17 | value='75.5066' | fill=00000000 | rows=[16] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M17 | value='91' | fill=00000000 | rows=[16] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N17 | value='0.311' | fill=00000000 | rows=[16] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O17 | value='708' | fill=00000000 | rows=[16] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P17 | value='2.4196' | fill=00000000 | rows=[16] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q17 | value='3450' | fill=00000000 | rows=[16] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R17 | value='11.7904' | fill=00000000 | rows=[16] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S17 | value='1015' | fill=00000000 | rows=[16] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T17 | value='3.46878' | fill=00000000 | rows=[16] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U17 | value='1472' | fill=00000000 | rows=[16] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V17 | value='5.0306' | fill=00000000 | rows=[16] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W17 | value='715' | fill=00000000 | rows=[16] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X17 | value='100' | fill=00000000 | rows=[16] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A18 | value='Illinois' | fill=None | rows=[17] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B18 | value='261977' | fill=None | rows=[17] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C18 | value='826' | fill=None | rows=[17] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D18 | value='0.3153' | fill=None | rows=[17] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E18 | value='6297' | fill=None | rows=[17] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F18 | value='2.4036' | fill=None | rows=[17] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G18 | value='58645' | fill=None | rows=[17] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H18 | value='22.3856' | fill=None | rows=[17] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I18 | value='75589' | fill=None | rows=[17] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J18 | value='28.8533' | fill=None | rows=[17] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K18 | value='111652' | fill=None | rows=[17] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L18 | value='42.619' | fill=None | rows=[17] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M18 | value='232' | fill=None | rows=[17] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N18 | value='0.0886' | fill=None | rows=[17] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O18 | value='8736' | fill=None | rows=[17] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P18 | value='3.33464' | fill=None | rows=[17] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q18 | value='44290' | fill=None | rows=[17] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R18 | value='16.9061' | fill=None | rows=[17] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S18 | value='6238' | fill=None | rows=[17] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T18 | value='2.38113' | fill=None | rows=[17] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U18 | value='16406' | fill=None | rows=[17] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V18 | value='6.2624' | fill=None | rows=[17] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W18 | value='4134' | fill=None | rows=[17] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X18 | value='99.976' | fill=None | rows=[17] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A19 | value='Indiana' | fill=00000000 | rows=[18] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B19 | value='98474' | fill=00000000 | rows=[18] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C19 | value='272' | fill=00000000 | rows=[18] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D19 | value='0.2762' | fill=00000000 | rows=[18] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E19 | value='908' | fill=00000000 | rows=[18] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F19 | value='0.9221' | fill=00000000 | rows=[18] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G19 | value='10297' | fill=00000000 | rows=[18] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H19 | value='10.4566' | fill=00000000 | rows=[18] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I19 | value='16948' | fill=00000000 | rows=[18] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J19 | value='17.2106' | fill=00000000 | rows=[18] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K19 | value='64461' | fill=00000000 | rows=[18] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L19 | value='65.4599' | fill=00000000 | rows=[18] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M19 | value='63' | fill=00000000 | rows=[18] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N19 | value='0.064' | fill=00000000 | rows=[18] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O19 | value='5525' | fill=00000000 | rows=[18] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P19 | value='5.61062' | fill=00000000 | rows=[18] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q19 | value='17534' | fill=00000000 | rows=[18] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R19 | value='17.8057' | fill=00000000 | rows=[18] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S19 | value='1839' | fill=00000000 | rows=[18] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T19 | value='1.8675' | fill=00000000 | rows=[18] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U19 | value='5209' | fill=00000000 | rows=[18] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V19 | value='5.2897' | fill=00000000 | rows=[18] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W19 | value='1864' | fill=00000000 | rows=[18] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X19 | value='100' | fill=00000000 | rows=[18] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A20 | value='Iowa' | fill=None | rows=[19] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B20 | value='62059' | fill=None | rows=[19] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C20 | value='484' | fill=None | rows=[19] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D20 | value='0.7799' | fill=None | rows=[19] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E20 | value='884' | fill=None | rows=[19] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F20 | value='1.4245' | fill=None | rows=[19] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G20 | value='8289' | fill=None | rows=[19] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H20 | value='13.3566' | fill=None | rows=[19] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I20 | value='5502' | fill=None | rows=[19] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J20 | value='8.8658' | fill=None | rows=[19] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K20 | value='44316' | fill=None | rows=[19] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L20 | value='71.4095' | fill=None | rows=[19] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M20 | value='165' | fill=None | rows=[19] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N20 | value='0.2659' | fill=None | rows=[19] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O20 | value='2419' | fill=None | rows=[19] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P20 | value='3.8979' | fill=None | rows=[19] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q20 | value='11427' | fill=None | rows=[19] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R20 | value='18.4131' | fill=None | rows=[19] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S20 | value='1036' | fill=None | rows=[19] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T20 | value='1.66938' | fill=None | rows=[19] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U20 | value='3305' | fill=None | rows=[19] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V20 | value='5.3256' | fill=None | rows=[19] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W20 | value='1424' | fill=None | rows=[19] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X20 | value='100' | fill=None | rows=[19] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A21 | value='Kansas' | fill=00000000 | rows=[20] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B21 | value='67470' | fill=00000000 | rows=[20] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C21 | value='1060' | fill=00000000 | rows=[20] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D21 | value='1.5711' | fill=00000000 | rows=[20] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E21 | value='1019' | fill=00000000 | rows=[20] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F21 | value='1.5103' | fill=00000000 | rows=[20] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G21 | value='14339' | fill=00000000 | rows=[20] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H21 | value='21.2524' | fill=00000000 | rows=[20] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I21 | value='7252' | fill=00000000 | rows=[20] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J21 | value='10.7485' | fill=00000000 | rows=[20] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K21 | value='39731' | fill=00000000 | rows=[20] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L21 | value='58.8869' | fill=00000000 | rows=[20] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M21 | value='145' | fill=00000000 | rows=[20] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N21 | value='0.2149' | fill=00000000 | rows=[20] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O21 | value='3924' | fill=00000000 | rows=[20] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P21 | value='5.81592' | fill=00000000 | rows=[20] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q21 | value='11756' | fill=00000000 | rows=[20] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R21 | value='17.424' | fill=00000000 | rows=[20] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S21 | value='505' | fill=00000000 | rows=[20] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T21 | value='0.74848' | fill=00000000 | rows=[20] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U21 | value='6881' | fill=00000000 | rows=[20] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V21 | value='10.1986' | fill=00000000 | rows=[20] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W21 | value='1396' | fill=00000000 | rows=[20] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X21 | value='100' | fill=00000000 | rows=[20] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A22 | value='Kentucky' | fill=None | rows=[21] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B22 | value='97834' | fill=None | rows=[21] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C22 | value='157' | fill=None | rows=[21] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D22 | value='0.1605' | fill=None | rows=[21] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E22 | value='513' | fill=None | rows=[21] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F22 | value='0.5244' | fill=None | rows=[21] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G22 | value='3904' | fill=None | rows=[21] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H22 | value='3.9904' | fill=None | rows=[21] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I22 | value='11317' | fill=None | rows=[21] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J22 | value='11.5676' | fill=None | rows=[21] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K22 | value='79317' | fill=None | rows=[21] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L22 | value='81.073' | fill=None | rows=[21] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M22 | value='59' | fill=None | rows=[21] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N22 | value='0.0603' | fill=None | rows=[21] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O22 | value='2567' | fill=None | rows=[21] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P22 | value='2.62383' | fill=None | rows=[21] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q22 | value='15780' | fill=None | rows=[21] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R22 | value='16.1294' | fill=None | rows=[21] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S22 | value='394' | fill=None | rows=[21] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T22 | value='0.40272' | fill=None | rows=[21] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U22 | value='1639' | fill=None | rows=[21] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V22 | value='1.6753' | fill=None | rows=[21] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W22 | value='1422' | fill=None | rows=[21] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X22 | value='100' | fill=None | rows=[21] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A23 | value='Louisiana' | fill=00000000 | rows=[22] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B23 | value='92844' | fill=00000000 | rows=[22] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C23 | value='924' | fill=00000000 | rows=[22] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D23 | value='0.9952' | fill=00000000 | rows=[22] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E23 | value='627' | fill=00000000 | rows=[22] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F23 | value='0.6753' | fill=00000000 | rows=[22] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G23 | value='4382' | fill=00000000 | rows=[22] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H23 | value='4.7197' | fill=00000000 | rows=[22] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I23 | value='43799' | fill=00000000 | rows=[22] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J23 | value='47.1748' | fill=00000000 | rows=[22] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K23 | value='41379' | fill=00000000 | rows=[22] | cols=[10] | col_header=False | row_header=False | metadata=False
Cell L23 | value='44.5683' | fill=00000000 | rows=[22] | cols=[11] | col_header=False | row_header=False | metadata=False
Cell M23 | value='59' | fill=00000000 | rows=[22] | cols=[12] | col_header=False | row_header=False | metadata=False
Cell N23 | value='0.0635' | fill=00000000 | rows=[22] | cols=[13] | col_header=False | row_header=False | metadata=False
Cell O23 | value='1674' | fill=00000000 | rows=[22] | cols=[14] | col_header=False | row_header=False | metadata=False
Cell P23 | value='1.80302' | fill=00000000 | rows=[22] | cols=[15] | col_header=False | row_header=False | metadata=False
Cell Q23 | value='12980' | fill=00000000 | rows=[22] | cols=[16] | col_header=False | row_header=False | metadata=False
Cell R23 | value='13.9804' | fill=00000000 | rows=[22] | cols=[17] | col_header=False | row_header=False | metadata=False
Cell S23 | value='6783' | fill=00000000 | rows=[22] | cols=[18] | col_header=False | row_header=False | metadata=False
Cell T23 | value='7.3058' | fill=00000000 | rows=[22] | cols=[19] | col_header=False | row_header=False | metadata=False
Cell U23 | value='1714' | fill=00000000 | rows=[22] | cols=[20] | col_header=False | row_header=False | metadata=False
Cell V23 | value='1.8461' | fill=00000000 | rows=[22] | cols=[21] | col_header=False | row_header=False | metadata=False
Cell W23 | value='1343' | fill=00000000 | rows=[22] | cols=[22] | col_header=False | row_header=False | metadata=False
Cell X23 | value='100' | fill=00000000 | rows=[22] | cols=[23] | col_header=False | row_header=False | metadata=False
Cell A24 | value='Maine' | fill=None | rows=[23] | cols=[0] | col_header=False | row_header=False | metadata=False
Cell B24 | value='25111' | fill=None | rows=[23] | cols=[1] | col_header=False | row_header=False | metadata=False
Cell C24 | value='240' | fill=None | rows=[23] | cols=[2] | col_header=False | row_header=False | metadata=False
Cell D24 | value='0.9558' | fill=None | rows=[23] | cols=[3] | col_header=False | row_header=False | metadata=False
Cell E24 | value='260' | fill=None | rows=[23] | cols=[4] | col_header=False | row_header=False | metadata=False
Cell F24 | value='1.0354' | fill=None | rows=[23] | cols=[5] | col_header=False | row_header=False | metadata=False
Cell G24 | value='526' | fill=None | rows=[23] | cols=[6] | col_header=False | row_header=False | metadata=False
Cell H24 | value='2.0947' | fill=None | rows=[23] | cols=[7] | col_header=False | row_header=False | metadata=False
Cell I24 | value='793' | fill=None | rows=[23] | cols=[8] | col_header=False | row_header=False | metadata=False
Cell J24 | value='3.158' | fill=None | rows=[23] | cols=[9] | col_header=False | row_header=False | metadata=False
Cell K24 | value='22778' | fill=None | rows=[23] | cols=[10] | col_header=False | row_header=False | metadata=False
